关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1上半场参数	[评价]1参数	[评价]2条件	[评价]2上半场参数	[评价]2参数	[评价]3条件	[评价]3上半场参数	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	怪物等级	是否分路
134	45	2	3508	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100,38:100	7:100,22:100,34:100	81	1
135	45	3	3608	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100,38:100	19:100	84	1
136	46	1	3409	2	233739003,3024,20	233739003,3024,20	2	233739003,3024,40	233739003,3024,40	2	233739003,3024,60	233739003,3024,60	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,31:100	87	1
137	46	2	3509	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,34:100	89	1
138	46	3	3609	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	19:100	91	1
139	47	1	3100	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,34:100	94	1
140	47	2	3200	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,34:100	97	1
141	47	3	3300	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	19:100	99	1
142	48	1	3101	2	233741003,3024,20	233741003,3024,20	2	233741003,3024,40	233741003,3024,40	2	233741003,3024,60	233741003,3024,60	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,31:100	87	1
143	48	2	3201	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	89	1
144	48	3	3301	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	19:100	91	1
145	49	1	3102	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	94	1
146	49	2	3202	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	15:100,25:100,26:100,28:100,29:100,35:100	7:100,22:100,34:100	97	1
147	49	3	3302	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,23:100	16:100,25:100,26:100,28:100,29:100,35:100	19:100	99	1
148	50	1	3103	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,31:100	87	1
149	50	2	3203	3	1,60	2,60	3	1,180	2,180	3	1,300	2,300	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,34:100	89	1
150	50	3	3303	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	19:100	91	1
151	51	1	3104	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,34:100	94	1
152	51	2	3204	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	7:100,22:100,34:100	97	1
153	51	3	3304	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,4:100,5:100,20:100,21:100,23:100,24:100	15:100,25:100,26:100,28:100,29:100,30:100,35:100	19:100	99	1
