子任务ID,父任务ID,序列,子任务组,禁止进入联机,显示状态,[领取条件]组合,[领取条件]1类型,[领取条件]1参数1,[领取条件]1参数2,[领取条件]1参数3,[领取条件]2类型,[领取条件]2参数1,[领取条件]2参数2,[领取条件]2参数3,[领取条件]3类型,[领取条件]3参数1,[领取条件]3参数2,[领取条件]3参数3,[完成条件]组合,[完成条件]1类型,[完成条件]1参数1,[完成条件]1参数2,[完成条件]1复杂参数,[完成条件]1次数,[完成条件]2类型,[完成条件]2参数1,[完成条件]2复杂参数,[完成条件]2次数,[完成条件]3类型,[完成条件]3参数1,[完成条件]3复杂参数,[完成条件]3次数,[失败条件]组合,[失败条件]1类型,[失败条件]1参数1,[失败条件]1复杂参数,[失败条件]1次数,[失败条件]2类型,[失败条件]2参数1,[失败条件]2复杂参数,[失败条件]2次数,[任务指引]类型,[任务指引]自动开启或关闭,[任务指引]参数1,[任务指引]参数2,[任务指引]场景ID,[任务指引]样式,[任务指引]显示层级,场景内指引,完成父任务,失败父任务,是存档点,[任务道具]ID,[任务道具]数量,[执行]1类型,[执行]1参数1,[执行]1参数2,[执行]1参数3,[执行]2类型,[执行]2参数1,[执行]2参数2,[执行]2参数3,[执行]3类型,[执行]3参数1,[执行]3参数2,[执行]3参数3,[失败执行]1类型,[失败执行]1参数1,[失败执行]1参数2,[失败执行]2类型,[失败执行]2参数1,[失败执行]2参数2,[失败执行]3类型,[失败执行]3参数1,[失败执行]3参数2,[开始执行]1类型,[开始执行]1参数1,[开始执行]1参数2,[开始执行]2类型,[开始执行]2参数1,[开始执行]2参数2,独占NPC,共享NPC,独占优先级,试用角色列表,加载技能组,独占情境ID,CoopPointID,刷新是否限定单机,关卡映射
7155514,71555,7,,,1,1,1,7155504,3,,1,7155508,2,,,,,,2,2,7155504,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7155502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155515,71555,9,,,1,1,1,7155505,3,,1,7155508,2,,,,,,2,2,7155505,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7155502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155516,71555,11,,,1,1,1,7155502,3,,1,7155508,2,,,,,,2,20,,,7155516_finish,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155517,71555,13,,,1,1,1,7155516,3,,1,7155508,2,,,,,,2,2,7155513,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7155507,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155518,71555,18,,,1,1,1,7155502,3,,1,7155508,2,,,,,,2,2,7155512,,,,20,,7155507_finish,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155519,71555,11,,,0,1,1,7155508,2,,1,7155507,3,,,,,,,20,,,7155507_finish,,,,,,,,,,,,,,,,,,,1,,WQ7155517,50,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100901,71009,1,,,0,,1,99902,3,,,,,,,,,,,2,7100901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100902,71009,2,1,,0,,1,99902,3,,,,,,,,,,,24,7100902,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100903,71009,3,,,0,,1,99902,3,,,,,,,,,,,20,,,7100903_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7100902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100904,71009,4,,,0,,1,99902,3,,,,,,,,,,,20,,,7100904_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7100902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100905,71009,5,,,0,,1,99902,3,,,,,,,,,,,20,,,7100905_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7100902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100906,71009,6,,,0,,1,99902,3,,,,,,,,,,,20,,,7100906_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,7100902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100907,71009,7,,,1,,1,99902,3,,,,,,,,,,,4,7100907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100908,71009,8,,,0,,1,99902,3,,,,,,,,,,,20,,,7100908_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,3,133006002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100909,71009,9,,,0,,1,99902,3,,,,,,,,,,,20,,,7100909_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100910,71009,10,,,0,,1,99902,3,,,,,,,,,,,20,,,7100910_finish,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100911,71009,11,,,0,,1,99902,3,,,,,,,,,,,18,0,,3#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,133006001#1,,,,,,,,,,,,
7100912,71009,12,,,0,,1,99902,3,,,,,,,,,,,,,,,,,,,,,,,,,18,0,4#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,133006001#2,,,,,,,,,,,,
