等级,[曲线]1类型,[曲线]1运算,[曲线]1值,[曲线]2类型,[曲线]2运算,[曲线]2值,[曲线]3类型,[曲线]3运算,[曲线]3值,[曲线]4类型,[曲线]4运算,[曲线]4值,[曲线]5类型,[曲线]5运算,[曲线]5值,[曲线]6类型,[曲线]6运算,[曲线]6值,[曲线]7类型,[曲线]7运算,[曲线]7值,[曲线]8类型,[曲线]8运算,[曲线]8值,[曲线]9类型,[曲线]9运算,[曲线]9值,[曲线]10类型,[曲线]10运算,[曲线]10值,[曲线]11类型,[曲线]11运算,[曲线]11值,[曲线]12类型,[曲线]12运算,[曲线]12值
138,1,2,7318.681979,2,2,210.97178,12,2,2.38,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7797.678056,19,2,361.699959,23,2,7600.800133,24,2,210.97178
139,1,2,7445.415783,2,2,211.370134,12,2,2.39,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7884.991988,19,2,365.341286,23,2,7702.157759,24,2,211.370134
140,1,2,7573.772747,2,2,211.768754,12,2,2.4,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,7972.30592,19,2,368.982612,23,2,7804.509496,24,2,211.768754
141,1,2,7703.766637,2,2,212.167684,12,2,2.41,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8059.619852,19,2,372.623938,23,2,7907.86197,24,2,212.167684
142,1,2,7835.411366,2,2,212.566879,12,2,2.42,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8146.933784,19,2,376.265265,23,2,8012.221731,24,2,212.566879
143,1,2,7968.720554,2,2,212.966339,12,2,2.43,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8234.247716,19,2,379.906591,23,2,8117.595554,24,2,212.966339
144,1,2,8103.708039,2,2,213.366065,12,2,2.44,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8321.561648,19,2,383.547918,23,2,8223.989915,24,2,213.366065
145,1,2,8240.387515,2,2,213.766056,12,2,2.45,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8408.87558,19,2,387.189244,23,2,8331.41144,24,2,213.766056
146,1,2,8378.772895,2,2,214.166357,12,2,2.46,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8496.189512,19,2,390.83057,23,2,8439.866902,24,2,214.166357
147,1,2,8518.877797,2,2,214.566879,12,2,2.47,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8583.503444,19,2,394.471897,23,2,8549.362706,24,2,214.566879
148,1,2,8660.716137,2,2,214.967711,12,2,2.48,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8670.817376,19,2,398.113223,23,2,8659.905698,24,2,214.967711
149,1,2,8804.301531,2,2,215.368808,12,2,2.49,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8758.131308,19,2,401.75455,23,2,8771.502282,24,2,215.368808
150,1,2,8949.647821,2,2,215.77017,12,2,2.5,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8845.44524,19,2,405.395876,23,2,8884.159231,24,2,215.77017
151,1,2,9096.768846,2,2,216.171798,12,2,2.51,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,8932.759172,19,2,409.037202,23,2,8997.883171,24,2,216.171798
152,1,2,9245.678224,2,2,216.573735,12,2,2.52,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9020.073104,19,2,412.678529,23,2,9112.68058,24,2,216.573735
153,1,2,9396.38987,2,2,216.975893,12,2,2.53,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9107.387036,19,2,416.319855,23,2,9228.55823,24,2,216.975893
154,1,2,9548.917476,2,2,217.378362,12,2,2.54,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9194.700968,19,2,419.961182,23,2,9345.522674,24,2,217.378362
155,1,2,9703.274809,2,2,217.781095,12,2,2.55,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9282.0149,19,2,423.602508,23,2,9463.58061,24,2,217.781095
156,1,2,9859.475633,2,2,218.184094,12,2,2.56,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9369.328832,19,2,427.243834,23,2,9582.738516,24,2,218.184094
157,1,2,10017.533716,2,2,218.587358,12,2,2.57,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9456.642764,19,2,430.885161,23,2,9703.003092,24,2,218.587358
158,1,2,10177.462898,2,2,218.990932,12,2,2.58,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9543.956696,19,2,434.526487,23,2,9824.380963,24,2,218.990932
159,1,2,10339.27687,2,2,219.394728,12,2,2.59,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9631.270628,19,2,438.167814,23,2,9946.878828,24,2,219.394728
160,1,2,10502.989473,2,2,219.798832,12,2,2.6,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9718.58456,19,2,441.80914,23,2,10070.503165,24,2,219.798832
161,1,2,10585.561985,2,2,220.203202,12,2,2.61,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9805.898492,19,2,445.450466,23,2,10195.260674,24,2,220.203202
162,1,2,10668.614399,2,2,220.607838,12,2,2.62,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9893.212424,19,2,449.091793,23,2,10321.15798,24,2,220.607838
163,1,2,10752.148263,2,2,221.012739,12,2,2.63,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,9980.526356,19,2,452.733119,23,2,10448.201634,24,2,221.012739
164,1,2,10836.165415,2,2,221.417949,12,2,2.64,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10067.840288,19,2,456.374446,23,2,10576.39841,24,2,221.417949
165,1,2,10920.66755,2,2,221.823381,12,2,2.65,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10155.15422,19,2,460.015772,23,2,10705.754711,24,2,221.823381
166,1,2,11005.65636,2,2,222.229122,12,2,2.66,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10242.468152,19,2,463.657098,23,2,10836.277385,24,2,222.229122
167,1,2,11091.133613,2,2,222.635129,12,2,2.67,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10329.782084,19,2,467.298425,23,2,10967.972909,24,2,222.635129
168,1,2,11177.100928,2,2,223.041401,12,2,2.68,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10417.096016,19,2,470.939751,23,2,11100.847909,24,2,223.041401
169,1,2,11263.560218,2,2,223.447939,12,2,2.69,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10504.409948,19,2,474.581078,23,2,11234.909084,24,2,223.447939
170,1,2,11350.512956,2,2,223.854742,12,2,2.7,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10591.72388,19,2,478.222404,23,2,11370.163059,24,2,223.854742
171,1,2,11437.961057,2,2,224.261854,12,2,2.71,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10679.037812,19,2,481.86373,23,2,11506.616387,24,2,224.261854
172,1,2,11525.906213,2,2,224.669232,12,2,2.72,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10766.351744,19,2,485.505057,23,2,11644.275692,24,2,224.669232
173,1,2,11614.350044,2,2,225.076831,12,2,2.73,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10853.665676,19,2,489.146383,23,2,11783.1476,24,2,225.076831
174,1,2,11703.29439,2,2,225.48474,12,2,2.74,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,10940.979608,19,2,492.78771,23,2,11923.23881,24,2,225.48474
175,1,2,11792.740945,2,2,225.892958,12,2,2.75,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11028.29354,19,2,496.429036,23,2,12064.555801,24,2,225.892958
176,1,2,11882.691328,2,2,226.301398,12,2,2.76,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11115.607472,19,2,500.070362,23,2,12207.105345,24,2,226.301398
177,1,2,11973.147379,2,2,226.710103,12,2,2.77,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11202.921404,19,2,503.711689,23,2,12350.893993,24,2,226.710103
178,1,2,12064.110792,2,2,227.119117,12,2,2.78,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11290.235336,19,2,507.353015,23,2,12495.928372,24,2,227.119117
179,1,2,12155.58326,2,2,227.528397,12,2,2.79,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11377.549268,19,2,510.994342,23,2,12642.215106,24,2,227.528397
180,1,2,12247.566475,2,2,227.937942,12,2,2.8,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11464.8632,19,2,514.635668,23,2,12789.760748,24,2,227.937942
181,1,2,12340.062279,2,2,228.347753,12,2,2.81,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11552.177132,19,2,518.276994,23,2,12938.57207,24,2,228.347753
182,1,2,12433.072217,2,2,228.757829,12,2,2.82,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11639.491064,19,2,521.918321,23,2,13088.655624,24,2,228.757829
183,1,2,12526.598204,2,2,229.168215,12,2,2.83,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11726.804996,19,2,525.559647,23,2,13240.017962,24,2,229.168215
184,1,2,12620.641784,2,2,229.578822,12,2,2.84,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11814.118928,19,2,529.200974,23,2,13392.665783,24,2,229.578822
185,1,2,12715.2048,2,2,229.989738,12,2,2.85,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11901.43286,19,2,532.8423,23,2,13546.605639,24,2,229.989738
186,1,2,12810.288943,2,2,230.40092,12,2,2.86,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,11988.746792,19,2,536.483626,23,2,13701.844302,24,2,230.40092
187,1,2,12905.895907,2,2,230.812367,12,2,2.87,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12076.060724,19,2,540.124953,23,2,13858.388177,24,2,230.812367
188,1,2,13002.027459,2,2,231.22408,12,2,2.88,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12163.374656,19,2,543.766279,23,2,14016.244111,24,2,231.22408
189,1,2,13098.685292,2,2,231.636102,12,2,2.89,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12250.688588,19,2,547.407606,23,2,14175.418581,24,2,231.636102
190,1,2,13195.871098,2,2,232.048346,12,2,2.9,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12338.00252,19,2,551.048932,23,2,14335.918213,24,2,232.048346
191,1,2,13293.586646,2,2,232.460899,12,2,2.91,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12425.316452,19,2,554.690258,23,2,14497.749706,24,2,232.460899
192,1,2,13391.833628,2,2,232.873717,12,2,2.92,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12512.630384,19,2,558.331585,23,2,14660.919611,24,2,232.873717
193,1,2,13490.613737,2,2,233.286801,12,2,2.93,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12599.944316,19,2,561.972911,23,2,14825.434555,24,2,233.286801
194,1,2,13589.92874,2,2,233.700195,12,2,2.94,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12687.258248,19,2,565.614238,23,2,14991.301163,24,2,233.700195
195,1,2,13689.780403,2,2,234.113809,12,2,2.95,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12774.57218,19,2,569.255564,23,2,15158.526134,24,2,234.113809
196,1,2,13790.170347,2,2,234.527689,12,2,2.96,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12861.886112,19,2,572.89689,23,2,15327.116019,24,2,234.527689
197,1,2,13891.100339,2,2,234.941879,12,2,2.97,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,12949.200044,19,2,576.538217,23,2,15497.077444,24,2,234.941879
198,1,2,13992.572144,2,2,235.356334,12,2,2.98,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,13036.513976,19,2,580.179543,23,2,15668.417035,24,2,235.356334
199,1,2,14094.587382,2,2,235.771054,12,2,2.99,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,13123.827908,19,2,583.82087,23,2,15841.141416,24,2,235.771054
200,1,2,14197.147895,2,2,236.18604,12,2,3,4,1,0,9,1,0,10,1,0,11,2,2,14,2,1,18,2,13211.14184,19,2,587.462196,23,2,16016.257214,24,2,236.18604
