对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
2006709		3																																						5	2006710,2006711,2006712	200670901		1405	20067																																
2006710		3																																						5	2006713	200671001		1405	20067			8	1	1	20067																										
2006711		3																																						5	2006713	200671101		1405	20067																																
2006712		3																																						5	2006713	200671201		1405	20067																																
2006713		3																																						5		200671301		1405	20067																																
2006714	2	3		1	2006704	2																																		5		200671401		1405	20067																																
2006801	2		1	1	2006801	2																																		5		200680101		1429	20068																																
2006802	2		1	19	2006802	3				1	2006801	3																												6		200680201		1429	20068																																
2006803	2		1	1	2006803	2																																		5		200680301		1567	20068																																
2006804	2		1	1	2006804	2																																		11		200680401		1429	20068																																
2006805	2			1	2006803	2																																		6		200680501		1429	20068																																
2006806	2		2	1	2006802	2				1	2006801	2																												6		200680601		1567	20068																																
2006901	2		1	1	2006901	2				44	40002	0																												5		200690101		1425	20069																																
2006902	2		1	1	2006905	2				44	40002	0																												5		200690201		1425	20069																																
2006903	2		1	1	2006901	2				44	40002	1																												5		200690301		1425	20069																																
2006904	2		1	1	2006909	2				44	40002	1																												5		200690401		1425	20069																																
2006999	2		4	1	2006901	3				41	2006909	1				41	2006905	1																						3		200699904		1425	20069																																
2007001	2		4	1	2007004	2				44	40004	0				44	40005	0																						5		200700101		1425	20070																																
2007002	2		1	1	2007007	2																																		5		200700201		1425	20070																																
2007003	2		1	1	99902	2																																		5		200700301		1425	20070																																
2007004	2		1	1	2007014	2				44	40004	1				44	40005	1																						5		200700401		1425	20070																																
2007005	2		1	1	2007015	2																																		5		200700501		1425	20070																																
2007101	2		4	1	2007107	2				44	40003	0				44	40004	0																						3		200710101		1425	20071																																
2007102	2		1	1	2007109	2																																		5		200710201		1425	20071																																
2007103	2		1	1	2007111	2				44	40004	1				44	40003	1																						4		200710301		1425	20071																																
2007104	2		1	1	2007112	2																																		5		200710401		1425	20071																																
2007201	2		4	1	2007208	2				44	40003	0				44	40005	0																						3		200720101		1425	20072																																
2007202	2		1	1	2007210	2																																		5		200720201		1425	20072																																
2007203	2		1	1	2007212	2				44	40003	1				44	40005	1																						4		200720301		1425	20072																																
2007204	2		1	1	2007213	2																																		5		200720401		1425	20072																																
2007301	2		1	1	2007301	2																																		5		200730101		1671	20073																																
2007302	2		1	1	2007306	2																																		5		200730201		1671	20073																																
2007303	2		1	1	2007302	2				19	2007301																													5		200730301		20209	20073																																
2007304	2		1	1	2007304	2				19	2007302																													5		200730401		20210	20073																																
2007305	2		1	1	2007303	2				19	2007303					1	2007307	3																						5		200730501		20211	20073																																
2007313	2		4	1	2007302	3				1	2007304	2				1	2007306	2				1	2007303	2																3		200731301		20209	20073																																
2007314	2		4	1	2007304	3				1	2007303	2				1	2007306	2																						3		200731401		20210	20073																																
2007315	2			1	2007306	2																																		3		200731501		20211	20073																																
2007316	2		2	1	2007302	2				1	2007304	2				1	2007303	2																						3		200731601		1671	20073																																
2007391	2		1																																							200739101		20209																																	
2007392	2		1																																							200739201		20210																																	
2007393	2		1																																							200739301		20211																																	
2010401	2			1	2010401	2																																				201040101		1596	20104																																
2010402	2		1	1	2010404	2				1	2010402	3																												3		201040201		1596	20104																																
2010403	2		1	1	2010404	2				1	2010403	3																												5		201040301		1596	20104																																
2010405	2			1	2010402	2																																				201040501		1596	20104																																
2010406	2			1	2010402	2																																				201040601		1595	20104																																
2051101	2			1	2051101	2																																		5		205110101		1408	20511																																
2051102	2			1	2051102	2																																		5		205110201		1408	20511																																
2051103	2			1	2051103	2																																		5		205110301		1408	20511																																
2051104	2			1	2051104	2																																		5		205110401		1408	20511																																
2051201	2			1	2051201	2																																		5		205120101		1408	20512																																
2051202	2			1	2051202	2																																		5		205120201		1408	20512																																
2051203	2			1	2051203	2																																		5		205120301		1408	20512																																
2051301	2			1	2051301	2																																		5		205130101		1408	20513																																
2051302	2			1	2051302	2																																		5		205130201		1408	20513																																
2051303	2			1	2051303	2																																		5		205130301		1408	20513																																
2051401	2			1	2051401	2																																		5		205140101		1408	20514																																
2051402	2			1	2051402	2																																		5		205140201		1405	20514																																
2051403	2			1	2051403	2																																		5		205140301		1408	20514																																
2051404	2			1	2051404	2																																		5		205140401		1409	20514																																
2051405	2			1	2051405	2																																		5		205140501		1405	20514																																
2051406	2			1	2051406	2																																		5		205140601		1408	20514																																
2051407	2		2	1	2051404	2				1	2051405	2																												5		205140701		1408	20514																																
2051408	2		2	1	2051401	2				1	2051403	2				1	2051406	2																						5		205140801		1405	20514																																
2051409	2		2	1	2051405	2				1	2051406	2																												5		205140901		1409	20514																																
2051501	2			1	2051501	2																																		5		205150101		1408	20515																																
2051502	2			1	2051502	2																																		5		205150201		1405	20515																																
2051503	2			1	2051503	2																																		5		205150301		1408	20515																																
2051504	2			1	2051504	2																																		5		205150401		1602	20515																																
2051505	2			1	2051505	2																																		5		205150501		1405	20515																																
2051506	2			1	2051506	2																																		5		205150601		1408	20515																																
2051507	2		2	1	2051504	2				1	2051505	2																												5		205150701		1408	20515																																
2051508	2		2	1	2051501	2				1	2051503	2				1	2051506	2																						5		205150801		1405	20515																																
2051509	2		2	1	2051505	2				1	2051506	2																												5		205150901		1602	20515																																
2051601	2			1	2051601	2																																		5		205160101		1408	20516																																
2051602	2			1	2051602	2																																		5		205160201		1405	20516																																
2051603	2			1	2051603	2																																		5		205160301		1408	20516																																
2051604	2			1	2051604	2																																		5		205160401		1429	20516																																
2051605	2			1	2051605	2																																		5		205160501		1405	20516																																
2051606	2			1	2051606	2																																		5		205160601		1408	20516																																
2051607	2		2	1	2051604	2				1	2051605	2																												5		205160701		1408	20516																																
2051608	2		2	1	2051601	2				1	2051603	2				1	2051606	2																						5		205160801		1405	20516																																
2051609	2		2	1	2051605	2				1	2051606	2																												5		205160901		1429	20516																																
2051701	2			1	2051701	2																																		5	2051711,2051712,2051713,2051740	205170101		160001	20517																																
2051702				1	2051702	2																																		5	2051706,2051707	205170201		1435	20517																																
2051703	2		2	1	2051702	2				1	2051705	2																												5		205170301		160001	20517																																
2051704	2			1	2051704	2																																		5		205170401		160001	20517																																
2051705	2			1	2051706	2																																		5		205170501		160001	20517																																
2051706																																								5	2051708,2051709	205170601		1435	20517																																
2051707																																								5		205170701		1435	20517																																
2051708				3	202	900																																		5		205170801		1435	20517																																
2051709				8	202	900																																		5		205170901		1435	20517																																
2051710			1	1	2051705	2				19	2051705																													5		205171001		1435	20517																																
2051711				1	2051708	2																																		5		205171101		160001	20517																																
2051712				1	2051709	2																																		5		205171201		160001	20517																																
2051713				1	2051710	2																																		5		205171301		160001	20517																																
2051714				1	2051711	2																																		5		205171401		1419	20517																																
2051715	2			1	2051712	2																																		5		205171501		1455	20517																																
2051716				1	2051713	2																																		5		205171601		1419	20517																																
2051717	2			1	2051714	2																																		5		205171701		160001	20517																																
2051718	2		2	1	2051711	2				1	2051712	2				1	2051713	2																						5		205171801		160001	20517																																
2051719	2		2	1	2051713	2				1	2051714	2																												5		205171901		1455	20517																																
2051720	2			1	2051715	2																																		5		205172001		1403	20517																																
2051721	2		2	1	2051718	2																																		5		205172101		1403	20517																																
2051722	2			1	2051719	2																																		5		205172201		160001	20517																																
2051723	2		2	1	2051715	2				1	2051716	2				1	2051717	2																						5		205172301		160001	20517																																
2051724	2			1	2051718	2																																		5		205172401		160001	20517																																
2051725	2		2	1	2051716	2				1	2051717	2																												5		205172501		1403	20517																																
2051726	2			1	2051719	2																																		5		205172601		1403	20517																																
2051727	2			1	2051720	2																																		5		205172701		1403	20517																																
2051728	2			1	2051722	2																																		5		205172801		1403	20517																																
2051729	2			1	2051721	2																																		5		205172901		1403	20517																																
2051730	2			1	2051723	2																																		5		205173001		1403	20517																																
2051731	2			1	2051723	2																																		5		205173101		160001	20517																																
2051732				1	2051739	2																																		5		205173201		1419	20517																																
2051733	2			1	2051739	2																																		5		205173301		1455	20517																																
2051734	2		2	1	2051720	2				1	2051721	2				1	2051722	2																						5		205173401		160001	20517																																
2051735				1	2051714	2																																		5		205173501		1419	20517																																
2051736	2			1	2051743	2																																		5		205173601		1435	20517																																
2051740				1	2051730	2																																		5		205174001		160001	20517																																
2051741	2			1	2051731	2																																		5		205174101		1525	20517																																
2051742	2			1	2051732	2																																		5	2051748	205174201		160001	20517																																
2051743	2			1	2051733	2																																		5	2051749	205174301		160001,1005	20517																																
2051744	2			1	2051734	2																																		5		205174401		1525	20517																																
2051745	2			1	2051737	2																																		5		205174501		1473	20517																																
2051746	2			1	2051738	2																																		5		205174601		160001	20517																																
2051747	1	1		1	2051735	2																																		5		205174701		20141,1473,1005	20517																																
2051748	1		1	1	2051740	2																																		5		205174801		1005	20517																																
2051749	1		1	1	99902	3																																		5		205174901		1005	20517																																
2051792	2		1	33	24900	3	1			1	2051731	2																												5		205179201		160001	20517																																
2051793	2		1	33	24900	3	9																																	5		205179301		1525	20517																																
2051794	2		1	33	24900	3	9																																	5		205179401		1473	20517																																
2051795	2		1	33	24900	3	8																																	5		205179501		1473	20517																																
2051796	2		1	33	24900	3	5																																	5		205179601		1525	20517																																
2051797	2		1	34	24900	3	8			32	24900	3	3																											5		205179701		160001	20517																																
2051798	2		2	33	24900	3	2			33	24900	3	1																											5		205179801		1473	20517																																
2051799	2		2	33	24900	3	2			33	24900	3	3																											5		205179901		1525	20517																																
2051801	2			1	2051801	2																																		3		205180101		1525	20518																																
2051802	2			1	2051804	2																																		3		205180201		1525	20518																																
2051803	2			1	2051805	2																																		3		205180301		1433	20518																																
2051804	2			1	2051806	2																																		3		205180401		1525	20518																																
2051805	2		2	1	2051802	2				1	2051803	2																												3		205180501		1525	20518																																
2051806	2		2	1	2051802	2				1	2051803	2				1	2051804	2																						3		205180601		1473	20518																																
2051807	2			1	2051806	2																																		3		205180701		1473	20518																																
2051808	2		2	1	2051806	2				1	2051804	2																												3		205180801		1433	20518																																
2051809	2		2	1	2051801	2				1	2051803	2																												3		205180901		1433	20518																																
2051901	2			1	2051901	2																																		3		205190101		1525	20519																																
2051902	2		2	1	2051904	2				1	2051903	2																												3		205190201		1525	20519																																
2051903	2			1	2051902	2																																		3		205190301		1433	20519																																
2051904	2		2	1	2051902	2				1	2051903	2																												3		205190401		1525	20519																																
2051905	2		2	1	2051902	2				1	2051903	2				1	2051904	2																						3		205190501		1473	20519																																
2051906	2		2	1	2051904	2				1	2051901	2																												3		205190601		1433	20519																																
2052001	2			1	2052001	2																																		5	2052002,2052003	205200101		167201	20520																																
2052002				1	2052001	3																																		5		205200201		167201	20520																																
2052003				1	2052001	3																																		5		205200301		167201	20520																																
2052004	2		4	1	2052007	2				1	2052004	3				1	2052006	3																						5		205200401		167201	20520																																
2052005	2		1	1	2052009	3				1	2052010	2																												5		205200501		167201	20520																																
2052006	2		1	1	2052010	3				1	2052011	2																												5		205200601		167201	20520																																
2052008	2		1	1	2052005	3				1	2052006	2				19	2052006																							5		205200801		167201	20520																																
2052009	2		1	1	2052002	3				1	2052004	2																												5		205200901		167201	20520																																
2052010	2		1	1	2052003	3				1	2052005	2																												5		205201001		167201	20520																																
2052011	2		1	1	2052007	3				1	2052009	2																												5		205201101		167201	20520																																
2052101	2		1	1	2052101	2																																		5		205210101		1664	20521																																
2052102	2		1	1	2052101	3																																		5	2052103	205210201		166501	20521																																
2052103			1	1	2052103	2																																		5		205210301		166501	20521																																
2052105	2		1	1	2052101	3				1	2052102	2																												5		205210501		1664	20521																																
2060001	2			1	2060001	2																																		10	2060002,2060003,2060004	206000101		1517	20600																																
2060002			1	1	2060002	2																																		10		206000201		1517	20600																																
2060003			1	1	2060003	2																																		10		206000301		1517	20600																																
2060004			1	1	2060004	2																																		10		206000401		1517	20600																																
2060005	2		2	1	2060005	2																																		10		206000501		1517	20600																																
2060006	2		1	1	2060005	3				1	2060006	2																												10		206000601		1517	20600																																
2060007	2		2	1	2060007	2																																		10		206000701		1517	20600																																
2060008	2		1	1	2060007	3				1	2060008	2																												10		206000801		1517	20600																																
2060009	2		2	1	2060009	2																																		10		206000901		1517	20600																																
2060010	2		1	1	2060009	3				1	2060010	2																												10		206001001		1517	20600																																
2060101	2	1		42	2060101																																			5	2060102,2060103	206010101		1409																																	
2060102		1	1																																					5		206010201		1409																																	
2060103		1	1																																					5		206010301		1409																																	
2060104	2	1	1	1	2060101	3				41	2060107	1																												5		206010401		1409	20601																																
2060105	2	1	1	1	2060105	2																																		5		206010501		1413	20601																																
2060106	2	1		1	2060108	2																																		5		206010601		1413	20601																																
2060107	2	1	1	1	2060108	2																																		5		206010701		1409	20601																																
2060108	2	1	1	1	2060109	2																																		5		206010801		1409	20601																																
2060109	2	1		1	2060109	2																																		5		206011001		1413	20601																																
2060201	2	1		42	2060201																																			5	2060202,2060203,2060204	206020101		1409																																	
2060202		1		42	2060201																																			5		206020201		1409																																	
2060203		1		42	2060201																																			5		206020301		1409																																	
2060204		1		42	2060201																																			5		206020401		1409																																	
2060205	2	1		1	2060213	2																																		5		206020501		1409	20602																																
2060206	2	1		1	2060201	3				1	2060213	0																												5		206020601		1409	20602																																
2060301	2	1		42	2060301																																			5	2060302,2060303	206030101		1409																																	
2060302		1		42	2060301																																			5		206030201		1409																																	
2060303		1		42	2060301																																			5		206030301		1409																																	
2060304	2	1	1	1	2060301	3				1	2060313	0																												5		206030401		1409	20603																																
2060305	2	1		1	2060313	2																																		5		206030501		1409	20603																																
2070001	2		1	1	2070001	2																																		5	2070021,2070031,2070041	207000101		1654	20700																																
2070002			1	1	2070002	3				1	2070026	2				1	2070023	3																						5		207000201		1654	20700																																
2070005			1	1	2070002	3				1	2070026	3				1	2070023	3																						5		207000304		1654	20700																																
2070007	2		1	1	2070001	3				1	2070002	2																												5		207000602		1654	20700																																
2070021			1	1	2070009	2																																		5		207002101		1654	20700																																
2070025	2		1	1	2070002	3																																		5	2070002,2070005	207002501		1654	20700																																
2070031			1	1	2070010	2																																		5		207003101		1654	20700																																
2070032			1	1	2070007	3				1	2070025	2				1	2070024	3																						5		207003201		1654	20700																																
2070033			1	1	2070007	3				1	2070025	3				1	2070024	3																						5		207003301		1654	20700																																
2070035	2		1	1	2070007	3																																		5	2070032,2070033	207003501		1654	20700																																
2070039	2		1	1	2070007	2																																		5		207003901		1654	20700																																
2070041			1	1	2070011	2																																		5		207004101		1654	20700																																
2070042			1	1	2070020	3				1	2070021	3																												5		207004201		1654	20700																																
2070043			2	1	2070020	4				1	2070021	4																												5		207004301		1654	20700																																
2070045	2		1	1	2070008	3																																		5	2070042,2070043	207003501		1654	20700																																
2070049	2		1	1	2070008	2																																		5		207004901		1654	20700																																
2070101	2		1	1	2070101	2																																		5	2070102,2070103	207010101		1631	20701																																
2070102			1	1	2070101	2																																		5		207010201		1631	20701																																
2070103			1	1	2070101	2																																		5		207010301		1631	20701																																
2070104	2		1	1	2070101	3				1	2070102	2																												5		207010401		1631	20701																																
2070105	2		1	19	2070103					1	2070102	3																												5		207010501		1631	20701																																
2070106	2		1	1	2070103	3				1	2070104	2																												5		207010502		1631	20701																																
2070107	2		1	1	2070103	3				1	2070105	2																												5		207010510		1631	20701																																
2070108	2		1	1	2070103	3				1	2070106	2																												5		207010520		1631	20701																																
2070201	2		1	1	2070201	2																																		5	2070202,2070203	207020101		1437	20702																																
2070202			1	1	2070201	2																																		5		207020201		1437	20702																																
2070203			1	1	2070201	2																																		5		207020301		1437	20702																																
2070210	2		1	1	2070202	2																																		5	2070211,2070212,2070213	207021001		1437	20702																																
2070211			1	1	2070202	2																																		5	2070215	207021101		1437	20702																																
2070212			1	1	2070202	2																																		5	2070215	207021201		1437	20702																																
2070213			1	1	2070202	2																																		5	2070214	207021301		1437	20702																																
2070214			1	1	2070202	2																																		5	2070220	207021401		1437	20702																																
2070215			1	1	2070202	2																																		5	2070220	207021501		1437	20702																																
2070220			1	1	2070202	2																																		5	2070221,2070222,2070223	207022001		1437	20702																																
2070221			1	1	2070202	2																																		5	2070225	207022101		1437	20702																																
2070222			1	1	2070202	2																																		5	2070224	207022201		1437	20702																																
2070223			1	1	2070202	2																																		5	2070225	207022301		1437	20702																																
2070224			1	1	2070202	2																																		5	2070230	207022401		1437	20702																																
2070225			1	1	2070202	2																																		5	2070230	207022501		1437	20702																																
2070230			1	1	2070202	2																																		5	2070231,2070232,2070233	207023001		1437	20702																																
2070231			1	1	2070202	2																																		5	2070235	207023101		1437	20702																																
2070232			1	1	2070202	2																																		5	2070234	207023201		1437	20702																																
2070233			1	1	2070202	2																																		5	2070235	207023301		1437	20702																																
2070234			1	1	2070202	2																																		5	2070290	207023401		1437	20702																																
2070235			1	1	2070202	2																																		5	2070290	207023501		1437	20702																																
2070290			1	1	2070202	2																																		5	2070291,2070292,2070293,2070294	207029001		1437	20702																																
2070291			1	1	2070202	2				1	2070206	3																												5		207029101		1437	20702																																
2070292			2	1	2070208	3				1	2070209	3				1	2070210	3																						5		207029201		1437	20702																																
2070293			1	1	2070202	2				1	2070207	3																												5		207029301		1437	20702																																
2070294			2	1	2070211	3				1	2070212	3				1	2070213	3																						5		207029401		1437	20702																																
2070301	2		1	1	2070301	2																																		5	2070302,2070303	207030101		1555	20703																																
2070302			1	1	2070301	2																																		5		207030201		1555	20703																																
2070303			1	1	2070301	2																																		5		207030301		1555	20703																																
2070304	2		1	1	2070301	3				1	2070302	2																												5		207030401		1555	20703																																
2070305	2		1	1	2070302	3																																		5		207030501		1555	20703																																
2070401	2		1	1	2070401	2																																		5	2070402,2070406	207040101		2093																																	
2070402			1	1	2070401	2																																		5	2070403	207040201		2093	20704																																
2070403			1	1	2070401	2																																		5	2070404	207040301		2093	20704																																
2070404			1	1	2070401	2																																		5	2070405	207040401		2093	20704																																
2070405	2		1	1	2070401	2																																		5		207040501		2093	20704																																
2070406			1	1	2070401	2																																		5		207040601		2093	20704																																
2070407	2		1	1	2070403	2																																		5		207040701		2093	20704																																
2070408	2		1	1	2070405	3																																		5		207040801		2093	20704																																
2070409	2		1	1	2070402	2																																		5		207040901		2093	20704																																
2070410	2		2	1	2070405	2				1	2070404	2																												5		207041001		2093	20704																																
2074001	2	1	1	42	2074001																																			5	2074002,2074003	207400102		1425																																	
2074002		1	1																																					5		207400201		1425																																	
2074003		1	1																																					5		207400301		1425																																	
2074004		1	1	1	2074005	2																																		5		207400401		1425	20740																																
2074005		1	1	1	2074010	2																																		5		207400501		1425	20740																																
2074006		1	2	1	2074002	2				1	2074003	2				1	2074004	2				1	2074011	2																5		207400601		1425	20740																																
2074007		1		1	2074009	2																																		5		207400701		1425	20740																																
2074008	2	1	1	1	2074012	2																																		5	2074009	207400508		1425	20740																																
2074009		1	1	1	2074012	2																																		5		207400509		1425	20740																																
2074101	2	1	1	42	2074101																																			5	2074102,2074103	207410101		1429																																	
2074102		1	1																																					5	2074104	207410201		1429																																	
2074103		1	1																																					5	2074104	207410301		1429																																	
2074104		1	1																																					5	2074105,2074106	207410401		1429																																	
2074105		1	1																																					5		207410501		1429																																	
2074106		1	1																																					5		207410601		1429																																	
2074110	2	1	1	1	2074103	2																																		5		207411001		1429	20741																																
2074120	2	1	1	1	2074105	2																																		5		207412001		1429	20741																																
2074190	2	1	2	1	2074102	2				1	2074104	2																												5		207419001		1429	20741																																
2074201		1	1	1	2074202	2																																		5	2074202,2074203	207420101		1425	20742																																
2074202		1	1	1	2074202	2																																		5	2074204	207420201		1425	20742																																
2074203		1	1	1	2074202	2																																		5	2074204	207420301		1425	20742																																
2074204		1	1	1	2074202	2																																		5		207420401		1425	20742																																
2074205		1	1	1	2074204	2																																		5		207420501		1425	20742																																
2074206		1	1	1	2074203	2																																		5		207420601		1425	20742																																
2074207	2	1	1	1	2074206	2																																		5	2074202,2074203	207420701		1425	20742																																
2074301	2	1	1	42	2074301																																			5	2074302,2074304	207430101		1527																																	
2074302		1	1																																					5		207430201		1527																																	
2074304		1	1																																					5		207430401		1527																																	
2074310	2	1	1	1	2074305	2																																		5		207431001		1527	20743																																
2074320	2	1		1	2074306	2																																		5		207432001		1527	20743																																
2100001	2	3		1	2100001	2																																		5		210000101		2031,1005	21000																																
2100002	2	3	1	1	2100002	3				1	2100003	2																												5		210000201		2031	21000																																
2100003	2	3	1	1	2100006	3				1	2100007	2																												5		210000301		2031	21000																																
2100005	1	3	1	1	2100017	3				1	2100011	2																												5		210000501		2031,1005	21000																																
2100006	2	3	1	1	2100012	3				1	2100013	2																												5		210000601		2031	21000																																
2100007	2	3	1	1	2100014	3				1	2100015	2																												5		210000701		2031	21000																																
2100008	2	3		1	2100014	2																																		5		210000801		12383	21000																																
2100011	2	3	1	1	2100007	3				1	2100010	2																												5		210001101		2031	21000																																
2100012	2	3	1	19	2100001					1	2100017	2																												5		210001201		2031	21000																																
2102601	2	3		1	2102601	2																																		5		210260101		2411	21026																																
2102609	2	3	1	1	2102601	3				1	2102602	2																												5		210260901		2411	21026																																
2102610	2	3	1	1	2102602	3				1	2102603	2																												5		210261001		2411	21026																																
2102611	2	3		1	2102603	2																																		5		210261101		12383	21026																																
2102701	2	3		1	2102701	2																																		5		210270101		2031	21027																																
2102702	2	3	1	1	2102702	3				1	2102703	2																												5	2102703,2102704,2102705	210270201		2045,2031	21027																																
2102703		3																																						5	2102706	210270301		1005	21027			7	1	1	21027																										
2102704		3																																						5	2102706	210270401		1005	21027			7	1	2	21027																										
2102705		3																																						5	2102706	210270501		1005	21027			7	1	3	21027																										
2102706		3																																						5	2102707,2102708,2102709	210270601		2031	21027																																
2102707		3																																						5	2102710	210270701		1005	21027			7	2	1	21027																										
2102708		3																																						5	2102710	210270801		1005	21027			7	2	2	21027																										
2102709		3																																						5	2102710	210270901		2031	21027			7	2	3	21027																										
2102710		3																																						5		210271001		2031	21027																																
2102711	2	3	1	19	2102701					1	2102704	2																												5		210271101		2031	21027																																
2102712	2	3		1	2102707	2																																		5		210271201		2031	21027																																
2102713	2	3	1	1	2102708	2																																		5	2102715	210271301		2031	21027																																
2102714	2	3	1	1	2102709	2																																		5	2102715	210271401		2031	21027																																
2102715		3																																						5		210271501		2031	21027																																
2102717	2	3	1	1	2102705	2				19	2102702																													5		210271101		2031	21027																																
2102718	2	3	1	1	2102706	2				19	2102703																													5		210271101		2031	21027																																
2102801	2	3		1	2102801	2																																		5		210280101		2031	21028																																
2102802	2	3	1	1	2102802	3				1	2102803	2																												5		210280201		2103,2031	21028																																
2102803	2	3	1	19	2102801					1	2102803	3				1	2102804	2																						5		210280301		2031	21028																																
2102804	2	3	1	1	2102804	3				1	2102805	2																												5		210280401		2031,2103	21028																																
2102805	2	3		1	2102804	2																																		5		210280501		2103	21028																																
2102901	2	3		1	2102902	2																																		5	2102904,2102907,2102908	210290101		2031	21029																																
2102902	2	3		1	2102903	2																																		5	2102904,2102907,2102908	210290201		2031	21029																																
2102903	2	3		1	2102904	2																																		5	2102904,2102907,2102908	210290301		2031	21029																																
2102904		3																																						5	2102909	210290401		1005	21029			7	2	1	21029																										
2102907		3																																						5	2102909	210290701		1005	21029			7	2	2	21029																										
2102908		3																																						5	2102909	210290801		1005,2031	21029			7	2	3	21029																										
2102909		3																																						5		210290901		2031	21029																																
2102910	2	3	1	19	2102901					1	2102905	2																												5		210291001		2031	21029																																
2102911	2	3		1	2102908	2																																		5		210291101		2031,1005	21029																																
2102912	2	3		1	2102909	2																																		5		210291201		2031,1005	21029																																
2102913	2	3		1	2102910	2																																		5		210291301		2031,1005	21029																																
2102915	2	3	1	19	2102902					1	2102906	2																												5		210291001		2031	21029																																
2102916	2	3	1	1	2102907	2				19	2102903																													5		210291001		2031	21029																																
2103001	2	3		1	2103001	2																																		5		210300101		2031,2048	21030																																
2103002	2	3	1	1	2103002	3				1	2103003	2																												5		210300201		2048,2031	21030																																
2103003	2	3	1	1	2103001	3				1	2103002	2																												5		210300301		2031	21030																																
2103004	2	3	1	1	2103001	3				1	2103002	2																												5		210300401		2048	21030																																
2103101	2	3		1	2103101	2																																		5		210310101		2202	21031																																
2103102	2	3		1	2103107	2																																		5		210310201		1005	21031																																
2103103	2	3		1	2103104	2																																		5		210310301		10204	21031																																
2103104	2	3		1	2103105	2																																		5		210310401		2202	21031																																
2103105	2	3		1	2103106	2																																		5		210310501		2202	21031																																
2200901	2			1	2200901	2																																		3		220090101		2211	22009																																
2200902	2			1	2200902	2																																		3		220090201		2211	22009																																
2200903	2			1	2200903	2																																		3		220090301		2211	22009																																
2201001	2	3		1	2201001	2																																		5	2201002,2201003,2201004	220100101		3033,3032	22010																																
2201002		3	1	1	2201001	2				24	0	1	22010																											5		220100201		3032	22010																																
2201003		3	1	1	2201001	2				24	0	2	22010																											5		220100301		3032	22010																																
2201004		3	1	1	2201001	2				24	0	3	22010																											5		220100401		3032	22010																																
2201005	2	3	2	1	2201002	2				1	2201003	2				1	2201004	2																						5		220100501		3033	22010																																
2201006	2	3	1	1	2201002	2																																		5		220100601		3032	22010																																
2201007	2	3	1	1	2201003	2																																		5		220100701		3032	22010																																
2201008	2	3	1	1	2201004	2																																		5		220100801		3032	22010																																
2201009	2	3	1	1	2201005	2				1	2201002	3																												5	2201012,2201013	220100901		3032,3033	22010																																
2201010	2	3	1	1	2201005	2				1	2201003	3																												5	2201012,2201013	220101001		3032,3033	22010																																
2201011	2	3	1	1	2201005	2				1	2201004	3																												5	2201012,2201013	220101101		3032,3033	22010																																
2201012		3	1	1	2201005	2																																		5		220100916		3032,3033	22010																																
2201013		3	1	1	2201005	2																																		5		220100922		3032,3033	22010																																
2201101	2	3		1	2201101	2																																		5		220110101		3107	22011																																
2201102	2	3		1	2201105	2																																		5		220110201		3107	22011																																
2201103	2	3	2	1	2201102	2				1	2201103	2				1	2201104	2																						5		220110301		3107	22011																																
2201201	2			1	2201201	2																																		5		220120101		3107	22012																																
2201203	2			1	2201203	2																																		5		220120301		3106	22012																																
2201204	2			1	2201204	2																																		5		220120401		3107	22012																																
2201301	2	3		1	2201301	2																																		5		220130101		3033,3032	22013																																
2201302	2	3	2	1	2201302	2				1	2201303	2				1	2201304	2																						5		220130201		3033	22013																																
2201303	2	3		1	2201302	2																																		5		220130301		3023	22013																																
2201304	2	3		1	2201303	2																																		5		220130401		3021	22013																																
