ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]1参数4	[使用]1参数5	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	饱食度参数	摧毁规则	摧毁返还道具	摧毁返还数量	组ID	强制获得提示
100549	2	1	305	70520005				任务道具	2			999																1						
100550	2	1	307	70540018				任务道具	2			999																1						
100551	2	1	307	70540019				任务道具	2			999																1						
100552	2	1	307	70510004				任务道具	2			999																1						
100553	2	1	10					任务道具	2			1															1							
100554	2	1	10					任务道具	2			999																						
100555	2	1	10					任务道具	2			100000																						
100556	2	1	201	70710152				任务道具	2			3																1						
100557	2	1	10					任务道具	2			1															1							
100558	2	1	10					任务道具	2			1															1							
100559	2	1	10					任务道具	2			1															1							
100560	2	1	10					任务道具	2			1															1							
100561	2	1	10					任务道具	2			1															1							
100562	2	1	10	71700123				任务道具	2			1															1							
100563	2	1	10					任务道具	2			1															1							
100564	2	1	10	71700124				任务道具	2			1																						
100565	2	1	10	71700125				任务道具	2			5		1			34	50017001								3							1016	
100566	2	1	10	71700126				任务道具	2			5		1			34	50017002								3							1016	
100567	2	1	10	71700127				任务道具	2			5		1			34	50017003								3							1016	
100568	2	1	10	71700128				任务道具	2			5		1			34	50018001								4							1017	
100569	2	1	10	71700129				任务道具	2			5		1			34	50018002								4							1017	
100570	2	1	10	71700130				任务道具	2			5		1			34	50018003								4							1017	
100571	2	1	10	71700131				任务道具	2			5		1			34	50018004								4							1017	
100572	2	1	10	71700132				任务道具	2			5		1			34	50018005								4							1017	
100573	2	1	10	71700133				任务道具	2			5		1			34	50019001								3							1018	
100574	2	1	10	71700134				任务道具	2			5		1			34	50019002								3							1018	
100575	2	1	10	71700135				任务道具	2			5		1			34	50019003								3							1018	
100576	2	1	10	71700136				任务道具	2			5		1			34	50019004								3							1018	
100577	2	1	10	71700137				任务道具	2			5		1			34	50020001								3							1019	
100578	2	1	10	71700138				任务道具	2			5		1			34	50020002								3							1019	
100579	2	1	10	71700139				任务道具	2			5		1			34	50020003								3							1019	
100580	2	1	10	71700140				任务道具	2			5		1			34	50020004								3							1019	
100581	2	1	10					任务道具	2			1															1							
100582	2	1	10					任务道具	2			1															1							
100583	2	1	10	70710170				任务道具	2			1																						
100584	2	1	10					任务道具	2			1														5								
100585	2	1	10					任务道具	2			1														5								
100586	2	1	10	71700141				任务道具	2			5		1			34	50023001								3							1022	
100587	2	1	10	71700142				任务道具	2			5		1			34	50023002								3							1022	
100588	2	1	10	71700143				任务道具	2			5		1			34	50023003								3							1022	
100589	2	1	10	71700144				任务道具	2			5		1			34	50023004								3							1022	
100590	2	1	10	71700145				任务道具	2			5		1			34	50024001								4							1023	
100591	2	1	10	71700146				任务道具	2			5		1			34	50024002								4							1023	
100592	2	1	10	71700147				任务道具	2			5		1			34	50024003								4							1023	
100593	2	1	10	71700148				任务道具	2			5		1			34	50024004								4							1023	
100594	2	1	10					任务道具	2			1															1							
100595	2	1	10					任务道具	2			10																						
100596	2	1	10					任务道具	2			10																						
100597	2	1	10					任务道具	2			10																						
100598	2	1	10					任务道具	2			10																						
100599	2	1	10					任务道具	2			10																						
100600	2	1	10					任务道具	2			10																						
100601	2	1	10	71700149				任务道具	2			1																						
100602	2	1	10					任务道具	2			1															1							
100603	2	1	10					任务道具	2			1															1							
100604	2	0	10					任务道具	2			1															1							
100605	2	0	10					任务道具	2			1															1							
100606	2	0	10					任务道具	2			1															1							
100607	2	1	10	71700155				任务道具	2			5		1			34	50003004								4							1	
100608	2	1	10	71700156				任务道具	2			5		1			34	50003008								4							1	
100609	2	1	10	71700157				任务道具	2			5		1			34	50003009								4							1	
100610	2	1	10	71700158				任务道具	2			5		1			34	50005006								4							4	
100611	2	1	10	71700159				任务道具	2			5		1			34	50001004								3							3	
100612	2	1	10	71700160				任务道具	2			5		1			34	50001006								3							3	
100613	2	1	10	71700161				任务道具	2			5		1			34	50001007								3							3	
100614	2	1	10	71700162				任务道具	2			5		1			34	50001008								3							3	
100615	2	1	10	71700163				任务道具	2			5		1			34	50010003								3							1009	
100616	2	1	10	71700164				任务道具	2			5														3								
100617	2	1	10	71700165				任务道具	2			5																						
100618	2	0	200					任务道具	4			999																						
100619	2	0	200					任务道具	4			999																						
100620	2	0	10					任务道具	2			1																						
100621	2	0	10					任务道具	2			1																						
100622	2	0	10					任务道具	2			1																						
100623	2	1	10	70710196				任务道具	2			3																						
100624	2	1	10	71700166				任务道具	2			5		1			34	50025002								3							1024	
100625	2	1	10					任务道具	2			1															1							
100626	2	0	10					任务道具	2			1																						
100627	2	0	10					任务道具	2			1																						
100628	2	0	10					任务道具	2			1																						
100629	2	0	10					任务道具	2			1																						
100630	2	0	10					任务道具	2			3																						
100631	2	1	10					任务道具	2			1																						
100632	2	0	10					任务道具	2			1																						
100633	2	0	10					任务道具	2			1																						
100634	2	0	10					任务道具	2			1																						
100635	2	0	10					任务道具	2			1																						
100636	2	0	10				1	任务道具	2			1															1							
100637	2	1	10	71700167				任务道具	2			5		1			34	50009003								3							1008	
100638	2	1	10	71700168				任务道具	2			5		1			34	50009004								3							1008	
100639	2	1	10	71700169				任务道具	2			5																						
100640	2	1	10	71700170				任务道具	2			5		1			34	50025003								3							1024	
100641	2	1	10	71700171				任务道具	2			5		1			34	50025004								3							1024	
100642	2	1	10	71700172				任务道具	2			5		1			34	50026001								3							1025	
100643	2	1	10	71700173				任务道具	2			5		1			34	50026004								3							1025	
100644	2	1	10	71700174				任务道具	2			5		1			34	50026005								3							1025	
100645	2	1	10	71700175				任务道具	2			5																						
100692	2	1	10	71700176				任务道具	2			5																						
100693	2	1	10	71700177				任务道具	2			5																						
100646	2	0	10					任务道具	2			1																						
100647	2	0	10					任务道具	2			1																						
100648	2	0	10					任务道具	2			1																						
100649	2	0	10					任务道具	2			1																						
100650	2	0	10					任务道具	2			1																						
100651	2	0	10					任务道具	2			1																						
100652	2	0	10					任务道具	2			1																						
100653	2	0	10					任务道具	2			1																						
100654	2	0	10					任务道具	2			1																						
100655	2	0	10					任务道具	2			1																						
100656	2	0	10					任务道具	2			1																						
100657	2	0	10					任务道具	2			1																						
100658	2	0	10					任务道具	2			1																						
100659	2	0	10					任务道具	2			1																						
100660	2	0	10					任务道具	2			1																						
100661	2	0	10					任务道具	2			1																						
100662	2	0	10					任务道具	2			1																						
100663	2	0	10					任务道具	2			1																						
100664	2	0	10					任务道具	2			1																						
100665	2	0	10					任务道具	2			1																						
100666	2	0	10					任务道具	2			1																						
100667	2	0	10					任务道具	2			2																						
100668	2	0	10					任务道具	2			1															1							
100669	2	0	10					任务道具	2			1															1							
100670	2	0	10					任务道具	2			1															1							
100671	2	0	10					任务道具	2			1		1	1	2	10	0									1							
100672	2	0	10					任务道具	2			3															1							
100673	2	0	10					任务道具	2			3															1							
100674	2	0	10					任务道具	2			3															1							
100675	2	0	10					任务道具	2			3															1							
100676	2	0	10					任务道具	2			3															1							
100677	2	0	10					任务道具	2			3															1							
100678	2	0	10					任务道具	2			1															1							
100679	2	0	10					任务道具	2			1															1							
100680	2	0	10					任务道具	2			1															1							
100681	2	0	10					任务道具	2			1																						
100682	2	0	10					任务道具	2			1																						
100683	2	0	10					任务道具	2			1																						
100684	2	0	10					任务道具	2			1																						
100685	2	0	10					任务道具	2			1																						
100686	2	0	10					任务道具	2			1																						
100687	2	0	10					任务道具	2			1																						
100688	2	0	10					任务道具	2			1																						
100689	2	0	10					任务道具	2			1																						
100690	2	0	10					任务道具	2			1																						
100691	2	1	10	71700144				任务道具	2			5														3							1022	
100694	2	1	10					任务道具	2			10000																						
100695	2	1	10					任务道具	2			1																						
100696	2	0	10					任务道具	2			1																						
100697	2	0	10					任务道具	2			1																						
100698	2	0	10					任务道具	2			1																						
100699	2	0	10					任务道具	2			1																						
100700	2	0	10					任务道具	2			1																						
100701	2	0	10					任务道具	2			1																						
100702	2	0	10					任务道具	2			1																						
100703	2	0	10	71700178				任务道具	2			1																						
100704	2	0	10					任务道具	2			1	1													5								
100705	2	1	10					任务道具	2			1																						
100706	2	1	10	71700180				任务道具	2			5		1			34	50007009								3							1006	
100707	2	0	10					任务道具	2			1																						
100708	2	0	10					任务道具	2			1																						
100709	2	1	10	71700074				任务道具	2			5																						
100710	2	1	10					任务道具	2			1																						
100711	2	1	10	71700181				任务道具	2			1																						
100712	2	1	10	71700182				任务道具	2			1																						
100713	2	1	10					任务道具	2			1																						
100714	2	1	10					任务道具	2			1																						
100715	2	1	10	71700169				任务道具	2			1																						
100721	2	1	10					任务道具	2			1																						
100722	2	1	10					任务道具	2			1																						
100723	2	1	10					任务道具	2			2																						
100724	2	1	10	70800017				任务道具	2			1	1				24	70800017								4								
100729	2	1	10					任务道具	2			1																						
100716	2	1	302	70710250				任务道具	2			1																1						
100717	2	1	302	70710251				任务道具	2			1																1						
100718	2	1	302	70710252				任务道具	2			1																1						
100719	2	1	302	70710257				任务道具	2			1																1						
100720	2	1	302	70710258				任务道具	2			1																1						
100727	2	1	302	70710258				任务道具	2			9999																1						
100725	2	0	10					任务道具	2			1																						
100726	2	1	10					任务道具	2			1																						
100728	2	0	10					任务道具	2			1																						
100730	2	1	10	71700185				任务道具	2			5		1			34	50009005								3							1008	
100731	2	1	10	71700186				任务道具	2			5		1			34	50009006								3							1008	
100732	2	1	10	71700187				任务道具	2			5		1			34	50027002								3							1026	
100734	2	1	10	71700189				任务道具	2			5		1			34	50018006								4							1017	
100735	2	1	10	71700190				任务道具	2			5		1			34	50018007								4							1017	
100736	2	1	10	71700191				任务道具	2			5		1			34	50018008								4							1017	
100737	2	0	10					任务道具	2			1																						
100738	2	0	10					任务道具	2			1																						
100739	2	1	10					任务道具	2			1																						
100740	2	1	10					任务道具	2			1																						
100741	2	0	10		0			任务道具	2			999																						
100742	2	1	302	70560002				任务道具	2			9999																1						
100743	2	1	302	70560004				任务道具	2			9999																1						
100744	2	1	10					任务道具	2			9999																						
100745	2	1	10					任务道具	2			9999																						
100746	2	1	10					任务道具	2			1															1							
100747	2	1	10					任务道具	2			3															1							
100748	2	1	10					任务道具	2			3														2	1							
100749	2	0	10					任务道具	2			1																						
100750	2	1	10					任务道具	2			1																						
100751	2	0	10		0			任务道具	2			999																						
100752	2	0	10					任务道具	2			1																						
100753	2	0	10					任务道具	2			1																						
100754	2	0	10					任务道具	2			1																						
100755	2	0	10					任务道具	2			1																						
100756	2	1	10					任务道具	2			3														1	1							
100757	2	1	305	70520016				任务道具	2			1																1						
100758	2	1	305	70560006				任务道具	2			1																1						
100759	2	0	10					任务道具	2			1																						
100760	2	0	10					任务道具	2			1																						
100761	2	0	10					任务道具	2			1																						
100762	2	0	10					任务道具	2			1																						
100763	2	0	10					任务道具	2			1																						
100764	2	1	10					任务道具	2			4																						
100765	2	1	10					任务道具	2			4																						
100766	2	1	10					任务道具	2	0	0	1																						
100767	2	1	10	70710335				任务道具	2			1																						
100768	2	0	10					任务道具	2			1															1							
100769	2	0	10					任务道具	2			1															1							
100770	2	0	10					任务道具	2			1															1							
100771	2	0	10					任务道具	2			1															1							
100772	2	0	10					任务道具	2			1															1							
100773	2	0	10					任务道具	2			1															1							
100774	2	0	10					任务道具	2			1															1							
100775	2	0	10					任务道具	2			1															1							
100776	2	0	10					任务道具	2			1															1							
100777	2	0	10					任务道具	2			1															1							
100778	2	0	10					任务道具	2			1															1							
100779	2	1	10	71700209				任务道具	2			3																						
100780	2	1	10	71700210				任务道具	2			3																						
100781	2	1	10					任务道具	2			1																						
100782	2	1	10					任务道具	2			1																						
100783	2	1	10	71700203				任务道具	2			5		1			34	50018009								4							1017	
100784	2	1	10	71700204				任务道具	2			5		1			34	50018012								4							1017	
100785	2	1	10	71700205				任务道具	2			5		1			34	50018013								4							1017	
100786	2	1	10	71700206				任务道具	2			5		1			34	50026006								3							1025	
100787	2	1	10	71700207				任务道具	2			5		1			34	50026007								3							1025	
100788	2	1	10	71700208				任务道具	2			5														4								
100733	2	1	10	71700188				任务道具	2			5		1			34	50027004								3							1026	
100789	2	0	10		0			任务道具	2			1															1							
100790	2	0	10		0			任务道具	2			1															1							
100791	2	0	10		0			任务道具	2			1															1							
100792	2	0	10		0			任务道具	2			1															1							
100793	2	0	10		0			任务道具	2			1															1							
100794	2	0	10		0			任务道具	2			1															1							
100795	2	0	10		0			任务道具	2			1															1							
100796	2	0	10		0			任务道具	2			1															1							
100797	2	0	10		0			任务道具	2			1															1							
100798	2	0	10	71700239	0			任务道具	2			1															1							
100799	2	0	10	71700240	0			任务道具	2			1															1							
100800	2	0	10	71700241	0			任务道具	2			1															1							
100801	2	0	10	71700242	0			任务道具	2			1															1							
100802	2	0	10	71700243	0			任务道具	2			1															1							
100803	2	0	10	71700244	0			任务道具	2			1															1							
100804	2	0	10	71700245	0			任务道具	2			1															1							
100805	2	0	10	71700246	0			任务道具	2			1															1							
100806	2	0	10	71700247	0			任务道具	2			1															1							
100807	2	0	10	71700248	0			任务道具	2			1															1							
100808	2	0	10	71700249	0			任务道具	2			1															1							
100809	2	0	10	71700250	0			任务道具	2			1															1							
100810	2	0	10	71700251	0			任务道具	2			1															1							
100811	2	0	10					任务道具	2			1																						
100812	2	0	10					任务道具	2			1																						
100813	2	0	10					任务道具	2			1																						
100814	2	0	10					任务道具	2			1																						
100815	2	0	10					任务道具	2			99																						
100816	2	0	10					任务道具	2			1																						
100817	2	0	10					任务道具	2			1																						
100818	2	0	10					任务道具	2			99	1																					
100819	2	0	10					任务道具	2			1															1							
100820	2	0	10					任务道具	2			1															1							
100821	2	0	10					任务道具	2			1															1							
100822	2	0	10					任务道具	2			1															1							
100823	2	0	10					任务道具	2			1															1							
100824	2	0	10					任务道具	2			1															1							
100825	2	0	10					任务道具	2			1															1							
100826	2	1	10					任务道具	2			9999																						
100827	2	1	10					任务道具	2			9999																						
100828	2	1	10					任务道具	2			9999																						
100829	2	1	10					任务道具	2			9999																						
100830	2	1	10	71700211				任务道具	2			1																						
100831	2	1	10					任务道具	2			1														4								
100832	2	1	10	71700222				任务道具	2			1																						
100833	2	1	10	71700223				任务道具	2			1																						
100834	2	1	10	71700149				任务道具	2			1																						
100835	2	1	10					任务道具	2			1																						
100836	2	1	10					任务道具	2			1																						
100837	2	1	10					任务道具	2			1																						
100838	2	1	10					任务道具	2			1																						
100839	2	1	10					任务道具	2			1																						
100840	2	1	10					任务道具	2			9999																						
100841	2	0	10					任务道具	2			1																						
100842	2	0	10					任务道具	2			1																						
100843	2	0	10					任务道具	2			1																						
100844	2	0	10					任务道具	2			1																						
100845	2	1	10					任务道具	2			1																						
100846	2	1	10	70560005				任务道具	2			9999																						
100847	2	1	10	71700149				任务道具	2			1																						
100848	2	1	10	71700149				任务道具	2			1																						
100849	2	1	10	71700149				任务道具	2			1																						
100850	2	1	10					任务道具	2			1																						
100851	2	0	10					任务道具	2			1																						
100852	2	0	10					任务道具	2			1															1							
100853	2	0	10					任务道具	2			1															1							
100854	2	0	10					任务道具	2			1															1							
100855	2	0	10					任务道具	2			1															1							
100856	2	0	10					任务道具	2			1															1							
100857	2	0	10					任务道具	2			1															1							
100858	2	0	10					任务道具	2			1															1							
100859	2	0	10					任务道具	2			99															1							
100860	2	0	10	71700224				任务道具	2			1																						
100861	2	0	10	71700149				任务道具	2			1																						
100862	2	0	10	71700149				任务道具	2			1																						
100863	2	0	10	71700149				任务道具	2			1																						
100864	2	0	10					任务道具	2			1															1							
100865	2	0	10	70600021	0		1	废弃道具	5			2000	1				32	15004								4	1							
100866	2	0	10					任务道具	2			1															1							
100867	2	0	10					任务道具	2			1															1							
100868	2	0	10	71700253	0			任务道具	2			1															1							
100869	2	0	10	71700254	0			任务道具	2			1															1							
100870	2	0	10	71700255	0			任务道具	2			1															1							
100871	2	0	10	71700256	0			任务道具	2			1															1							
100872	2	0	10	71700257	0			任务道具	2			1															1							
100873	2	0	10	71700258	0			任务道具	2			1															1							
100874	2	0	10	71700259	0			任务道具	2			1															1							
100875	2	0	10					任务道具	2			1															1							
100876	2	0	10					任务道具	2			1															1							
100880	2	0	10					任务道具	2			1															1							
100881	2	0	10					任务道具	2			4															1							
100882	2	0	10					任务道具	2			1															1							
100883	2	0	10	70710390				任务道具	2			99															1							
100884	2	0	10	70710391				任务道具	2			99															1							
100885	2	0	10					任务道具	2			1															1							
100886	2	0	10					任务道具	2			1															1							
100887	2	0	10					任务道具	2			1															1							
100888	2	0	10					任务道具	2			1															1							
100889	2	0	10					任务道具	2			1															1							
100890	2	1	10					任务道具	2			1															1							
100891	2	1	10					任务道具	2			1															1							
100892	2	0	10					任务道具	2			99	1																					
100893	2	0	10					任务道具	2			1														4								
100894	2	1	10					任务道具	2			4														4	1							
100895	2	1	10					任务道具	2			1														4	1							
100896	2	1	10					任务道具	2			1															1							
100897	2	1	10					任务道具	2			1															1							
100898	2	1	10					任务道具	2			1															1							
100899	2	1	10					任务道具	2			1															1							
100900	2	1	10					任务道具	2			1															1							
100901	2	1	10					任务道具	2			1															1							
100902	2	1	10					任务道具	2			1															1							
100903	2	1	10					任务道具	2			1															1							
100904	2	1	10	70520016				任务道具	2			1															1							
100905	2	1	10	71700229				任务道具	2			1															1							
100906	2	1	10					任务道具	2			1																						
100907	2	1	10	71700252				任务道具	2			1															1							
100908	2	0	10		0			任务道具	2			1															1							
100909	2	0	10		0			任务道具	2			1															1							
100910	2	0	10		0			任务道具	2			1															1							
100911	2	0	10		0			任务道具	2			1															1							
100912	2	0	10		0			任务道具	2			1															1							
100913	2	0	10		0			任务道具	2			1															1							
100914	2	0	10		0			任务道具	2			1															1							
100915	2	0	10	71700260	0			任务道具	2			1															1							
100916	2	1	10					任务道具	2			1															1							
100917	2	1	10					任务道具	2			1															1							
100918	2	1	10					任务道具	2			1															1							
100919	2	1	10					任务道具	2			1															1							
100920	2	0	10		0			任务道具	2			1															1							
100921	2	0	10		0			任务道具	2			1															1							
100922	2	0	10		0			任务道具	2			1															1							
100923	2	0	10		0			任务道具	2			1															1							
100924	2	0	10		0			任务道具	2			1															1							
100925	2	0	10		0			任务道具	2			1															1							
100926	2	0	10		0			任务道具	2			1															1							
100927	2	0	10		0			任务道具	2			1															1							
100928	2	0	10		0			任务道具	2			1															1							
100929	2	0	10		0			任务道具	2			1														3	1							
100930	2	0	10		0			任务道具	2			1															1							
100931	2	0	10		0			任务道具	2			1															1							
100932	2	0	10		0			任务道具	2			1															1							
100933	2	0	10		0			任务道具	2			1															1							
100934	2	0	430041		0			探索道具	5			99															1							
100935	2	0	430041		0			探索道具	5			99															1							
100936	2	0	430041		0			探索道具	5			99															1							
100937	2	0	430041		0			探索道具	5			99															1							
100938	2	0	430041		0			探索道具	5			99															1							
100939	2	0	10		0			任务道具	2			1															1							
100940	2	0	10		0			任务道具	2			1															1							
100941	2	0	10		0			任务道具	2			1															1							
100942	2	0	10		0			任务道具	2			1															1							
100943	2	0	10					任务道具	2			1															1							
100944	2	0	10		0			任务道具	2			1															1							
100945	2	0	10		0			任务道具	2			1															1							
100946	2	0	10					任务道具	2			1															1							
100947	2	0	10					任务道具	2			1															1							
100948	2	0	10					任务道具	2			1															1							
100949	2	0	10					任务道具	2			1															1							
100950	2	0	10					任务道具	2			1														4	1							
100951	2	0	10					任务道具	2			1															1							
100952	2	0	10					任务道具	2			1															1							
100953	2	0	10					任务道具	2			1															1							
100954	2	0	10					任务道具	2			1															1							
100955	2	0	10					任务道具	2			3															1							
100956	2	0	10					任务道具	2			3															1							
100957	2	1	10					任务道具	2			1														5								
100958	2	0	10					任务道具	2			1															1							
100959	2	0	10					任务道具	2			1															1							
100960	2	0	10					任务道具	2			1															1							
100961	2	0	10					任务道具	2			1															1							
100962	2	0	10					任务道具	2			1															1							
100963	2	0	10					任务道具	2			1															1							
100964	2	0	10					任务道具	2			1															1							
100965	2	0	10					任务道具	2			1															1							
100966	2	0	10					任务道具	2			1														4	1							
100967	2	1	10					任务道具	2			1																						
100968	2	0	10					任务道具	2			3															1							
100969	2	0	10	70600021				任务道具	2			1															1							
100970	2	0	10	70600021				任务道具	2			1															1							
100971	2	1	10	70600021				任务道具	2			1															1							
100972	2	1	10	70600021				任务道具	2			1															1							
100973	2	1	10	70600021				任务道具	2			1															1							
100974	2	1	10	70600021				任务道具	2			1															1							
100975	2	1	10	70600021				任务道具	2			1															1							
100976	2	0	10					任务道具	2			3															1							
100977	2	0	10					任务道具	2			7															1							
100978	2	0	10					任务道具	2			1															1							
100979	2	1	10	70600021				任务道具	2			1																						
100980	2	1	10					任务道具	2			1																						
100981	2	0	10					任务道具	2			3															1							
100982	2	1	10					任务道具	2			1																						
100983	2	0	10					任务道具	2			3															1							
100984	2	0	10					任务道具	2			1															1							
100985	2	0	10					任务道具	2			4															1							
100986	2	1	10	71700295				任务道具	2			1															1							
100987	2	1	10	71700296				任务道具	2			1															1							
100988	2	1	10	71700297				任务道具	2			1															1							
100989	2	1	10	71700298				任务道具	2			1															1							
100990	2	1	10	71700299				任务道具	2			1															1							
100991	2	1	10	71700300				任务道具	2			1															1							
100992	2	1	10	71700315				任务道具	2			1															1							
100993	2	0	10					任务道具	2			1															1							
100994	2	0	10					任务道具	2			1														4	1							
100995	2	0	10					任务道具	2			1															1							
100996	2	0	10					任务道具	2			1															1							
100997	2	0	10	70710552				任务道具	2			1															1							
100998	2	0	10	70710551				任务道具	2			1															1							
100999	2	0	10					任务道具	2			1															1							
101000	2	0	10					任务道具	2			1															1							
101501	2	1	10				10	任务道具	2			100	10				43	10	101507	1						1	1							
101502	2	1	10				10	任务道具	2			100	10				43	10	101508	1						1	1							
101503	2	1	10				10	任务道具	2			100	10				43	10	101509	1						1	1							
101504	2	1	10				10	任务道具	2			100	10				43	10	101510	1						1	1							
101505	2	1	10				10	任务道具	2			100	10				43	10	101511	1						1	1							
101506	2	1	10				10	任务道具	2			100	10				43	10	101512	1						1	1							
101507	2	1	10					任务道具	2			1		1			34	50030001								4							1029	
101508	2	1	10					任务道具	2			1		1			34	50030002								4							1029	
101509	2	1	10					任务道具	2			1		1			34	50030003								4							1029	
101510	2	1	10					任务道具	2			1		1			34	50030004								4							1029	
101511	2	1	10					任务道具	2			1		1			34	50030005								4							1029	
101512	2	1	10					任务道具	2			1		1			34	50030006								4							1029	
101513	2	1	10					任务道具	2			1														1	1							
101514	2	1	10					任务道具	2			1														2	1							
101515	2	1	10					任务道具	2			1														5								
101516	2							任务道具	21			1														4								
101517	2	0	10					任务道具	2			1															1							
101518	2	0	10					任务道具	2			1															1							
101519	2	0	10					任务道具	2			1															1							
101539	2	0	10					任务道具	2			1															1							
101520	2	0	10					任务道具	2			20															1							
101521	2	0	10	70520008				任务道具	2			20															1							
101522	2	0	10	70540004				任务道具	2			20															1							
101538	2	1	305	70520004				任务道具	2			10																1						
101523	2	1	10	71700264				任务道具	2			5		1			34	50031001								4							1030	
101524	2	1	10	71700265				任务道具	2			5		1			34	50031002								4							1030	
101525	2	1	10	71700266				任务道具	2			5		1			34	50031003								4							1030	
101526	2	1	10	71700267				任务道具	2			5		1			34	50031004								4							1030	
101527	2	1	10	71700268				任务道具	2			5		1			34	50031005								4							1030	
101528	2	1	10	71700269				任务道具	2			5														3								
101529	2	1	10	71700270				任务道具	2			5		1			34	50033001								3							1031	
101530	2	1	10	71700271				任务道具	2			5		1			34	50033002								3							1031	
101531	2	1	10	71700272				任务道具	2			5		1			34	50033003								3							1031	
101532	2	1	10	71700273				任务道具	2			5		1			34	50032001								4							1032	
101533	2	1	10	71700274				任务道具	2			5		1			34	50032002								4							1032	
101534	2	1	10	71700275				任务道具	2			5		1			34	50032003								4							1032	
101535	2	1	10	71700276				任务道具	2			5		1			34	50032004								4							1032	
101536	2	1	10	71700277				任务道具	2			5		1			34	50032005								4							1032	
101537	2	1	10	71700278				任务道具	2			5														3								
101541	2	1	10	71700281				任务道具	2			5		1			34	50007010								3							1006	
101540	2	1	10	71700282				任务道具	2			5		1			34	50008006								3							1007	
101542	2	1	10					任务道具	2			1																						
101543	2	1	10					任务道具	2			1																						
101544	2	1	10					任务道具	2			1																						
101545	2	1	10					任务道具	2			1																						
101546	2	1	10					任务道具	2			9999															1							
101547	2	1	10					任务道具	2			9999																						
101548	2	1	10	71700301				任务道具	2			5		1			34	50034001								4							1033	
101549	2	1	10	71700302				任务道具	2			5		1			34	50034002								4							1033	
101550	2	1	10	71700303				任务道具	2			5		1			34	50034003								4							1033	
101551	2	1	10	71700304				任务道具	2			5		1			34	50034004								4							1033	
101552	2	1	10	71700305				任务道具	2			5		1			34	50034005								4							1033	
101553	2	1	10	71700306				任务道具	2			5		1			34	50034006								4							1033	
101554	2	1	10	71700307				任务道具	2			5		1			34	50035001								4							1034	
101555	2	1	10	71700308				任务道具	2			5														4								
101556	2	1	10	71700309				任务道具	2			5														4								
101557	2	1	10	71700310				任务道具	2			5														4								
101558	2	1	10	71700311				任务道具	2			5		1			34	50029003								3							1028	
101559	2	1	10	71700312			1	任务道具	2			5														3								
101560	2	1	10	71700313				任务道具	2			5														3								
101561	2	1	10					任务道具	2			1														4								
101570	2	1	10				1	任务道具	2			1														4								
101571	2	1	10					任务道具	2			1															1							
101572	2	1	10					任务道具	2			1															1							
101573	2	1	10					任务道具	2			1															1							
101574	2	0	10					任务道具	2			5															1							
101575	2	0	10					任务道具	2			1															1							
101576	2	0	10					任务道具	2			1															1							
101577	2	0	10					任务道具	2			1															1							
101578	2	0	10					任务道具	2			1															1							
101579	2	0	10					任务道具	2			1															1							
101580	2	0	10					任务道具	2			1															1							
101581	2	0	10				1	任务道具	2			2															1							
101582	2	0	10					任务道具	2			1															1							
101583	2	0	10					任务道具	2			1															1							
101584	2	0	10					任务道具	2			1															1							
101585	2	0	10					任务道具	2			1															1							
101586	2	0	10					任务道具	2			1															1							
101587	2	1	10					任务道具	2			1																						
101588	2	1	10					任务道具	2			5		1			34	50031006								4							1030	
101589	2	0	10					任务道具	2			1															1							
101590	2	0	10					任务道具	2			1															1							
101591	2	0	10					任务道具	2			1															1							
101592	2	0	10					任务道具	2			3															1							
101593	2	0	10					任务道具	2			1															1							
101594	2	0	10					任务道具	2			1															1							
101595	2	0	10					任务道具	2			1															1							
101596	2	1	10	71700324				任务道具	2			5														3								
101597	2	1	10	71700325				任务道具	2			5														3								
101598	2	1	10	71700326				任务道具	2			5														3								
101599	2	1	10	71700327				任务道具	2			5		1			34	50036001								3							1035	
101600	2	0	10					任务道具	2			3															1							
101601	2	1	10	71700328				任务道具	2			5		1			34	50007011								3							1006	
101602	2	1	305					任务道具	2			9999																1						
101603	2	1	305					任务道具	2			9999																1						
101604	2	0	10					任务道具	2			1															1							
101605	2	0	10					任务道具	2			1															1							
101606	2	1	10					任务道具	2			1																						
101607	2	0	10					任务道具	2			1															1							
101608	2	0	10					任务道具	2			1															1							
101609	2	1	10					任务道具	2			50														4	1							
101610	2	1	10					任务道具	2			1														4	1							
101611	2	1	10					任务道具	2			1														5	1							
101612	2	1	10					任务道具	2			1														5	1							
101613	2	1	10					任务道具	2			1														3	1							
101614	2	1	10					任务道具	2			1														3	1							
101615	2	1	10					任务道具	2			1														3	1							
101616	2	0	10					任务道具	2			1															1							
101617	2	0	10					任务道具	2			1															1							
101618	2	1	10					任务道具	2			1																						
101619	2	1	10					任务道具	2			1																						
101620	2	1	10					任务道具	2			2																						
101621	2	1	10					任务道具	2			1																						
101622	2	1	10					任务道具	2			1																						
101623	2	1	10					任务道具	2			1																						
101624	2	1	10					任务道具	2			1																						
101625	2	1	10					任务道具	2			3														3								
101626	2	1	10					任务道具	2			1																						
101627	2	1	10					任务道具	2			5																						
