CondId	默认激活	通知客户端	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	[条件]5类型	[条件]5参数	[生效执行]1类型	[生效执行]1参数	[生效执行]2类型	[生效执行]2参数	[生效执行]3类型	[生效执行]3参数	[生效执行]4类型	[生效执行]4参数	[生效执行]5类型	[生效执行]5参数	[失效执行]1类型	[失效执行]1参数	[失效执行]2类型	[失效执行]2参数	[失效执行]3类型	[失效执行]3参数	[失效执行]4类型	[失效执行]4参数	[失效执行]5类型	[失效执行]5参数	生效一次
5033024	0		2	12	21	4	4001103							3	7901001	17	144004107							4	79010	18	144004107							
5033025	0		2	12	21	4	4001103							3	7901101	17	144004108							4	79011	18	144004108							
5033026	0		2	12	21	4	4001015							65	4									64	4									
5033027	0		2	12	21	4	4001103							3	7901401									4	79014									
5033028	0		2	12	21	4	4001103							3	7901501									4	79015									
5033029	1		1	12	1	4	7900105							17	133001004									18	133001004									
5033030	1		1	12	1	13	45							60	4,28,29,30									61	4,28,29,30									
5033031	0		2	12	21	4	4001103							61	4,28,29,30	59	5033030,否																	
5033032	1		1	12	1	4	7900504							3	7901601									4	79016									
5033033	0		2	12	21	4	4001103							17	144001117,144002037,144003018,144004059									18	144001117,144002037,144003018,144004059									
5033034	1		1	12	21	13	45							3	7900801									4	79008									
5033035	1		1	12	21	13	45							3	7901701	17	144004134							4	79017	18	144004134							
5032001	1	1	1	12	1	13	11							3	7900701									4	79007									
5032002	1		1	12	1	13	11							55	1																			
5032009	1		1	12	1	13	11	4	7900706					1	25,4									2	25,4									
5032003	1		1	12	3	13	11							55	2																			
5032004	1		1	12	5	13	11							55	3																			
5032005	1		1	12	11									56																				
5032006	1		1	12	1	13	11							17	144003052									18	144003052									
5032007	1		1	12	1	13	11	4	7900704					59	5032006,否	17	144003005							18	144003005									
5032008	1		1	12	7	13	11							47	24																			
5034001	1		1	12	1	13	11	4	7280704					17	133209014,133209029	1	315	3	7265001					18	133209014,133209029	2	315	4	72650					
5034002	1		1	12	7	13	11							47	30																			
50350101	1		1	12	1	14	30	13	11	4	201310			3	7265101	3	7265102							4	72651									
50350102	1		1	12	1	14	30	13	15	4	201310			17	133220190									18	133220190									
50350103	1		1	12	7	13	11							47	27																			
2006001	1	1	1	12	1	13	19	4	201310					3	7265201	27	133209018,2							4	72652									
2006006	1	1	1	12	1	13	19	4	201310	4	7265201			17	133220053	27	133209018,1							18	133220053									
2006002	1	1	1	12	3	13	19	4	201310	4	7265203			3	7265301									4	72653									
2006007	1	1	1	12	3	13	19	4	201310	4	7265301																							
2006003	1	1	1	12	6	13	19	4	201310	4	7265302			3	7265401									4	72654									
2006008	1	1	1	12	6	13	19	4	201310	4	7265401																							
2006004	1	1	1	12	9	13	19	4	201310	4	7265402			3	7265501									4	72655									
2006009	1	1	1	12	9	13	19	4	201310	4	7265504																							
2006005	1	1	1	12	19									27	133209018,3	63																		
2006101	1	1	1	12	1	13	19	4	201310					62	1																			
2006102	1	1	1	12	3	13	19	4	201310					62	2																			
2006103	1	1	1	12	6	13	19	4	201310					62	3																			
2006104	1	1	1	12	9	13	19	4	201310					62	4																			
2006105	1	1	1	12	1	13	19	4	201310	4	7265203			17	133212361,133212183									18	133212361,133212183									
2006106	1	1	1	12	2	13	19	4	201310	4	7265203			17	133220172,133212185,133212033									18	133220172,133212185,133212033									
2006107	1	1	1	12	9	13	19	4	201310	4	7265503			1	334,3									2	334,3									
2006108	1	1	1	12	3	13	19	4	201310	4	7265301																							
2006109	1	1	1	12	6	13	19	4	201310	4	7265401																							
2006110	1	1	1	12	15	13	19							47	29																			
2006111	1	1	1	12	1																													
2006112	1	1	1	12	9	13	19	4	201310	4	7265503			74																				
50370101	1	1	1	12	1	13	15	4	201310					3	7265601	17	133220278							4	72656	18	133220278							
50370102	1	1	1	12	1	13	15	4	201310					1	344,3									2	344,3									
50370103	1	1	1	12	12	13	15							47	31																			
50370104	1	1	1	12	15									70																				
5041001	1		1	12	7	13	11							47	28																			
5041002	1	1	1	12	1	13	11	4	201310	32	70661,1			3	7265901									4	72659									
5041004	1	1	1	12	1	13	11	4	201310	32	70661,1	4	7265902	17	133105044									18	133105044									
5041003	1	1	1	12	2	13	11	4	201310	32	70661,1	4	7265902	17	133104269									18	133104269									
5041005	1	1	1	12	3	13	11	4	201310	32	70661,1			3	7266101									4	72661									
5041007	1	1	1	12	4	13	11	4	201310	32	70661,1	4	7265902	17	133213494									18	133213494									
5041006	1	1	1	12	5	13	11	4	201310	32	70661,1	4	7265902	17	133001050									18	133001050									
5041008	1	1	1	12	6	13	11	4	201310	32	70661,1			3	7266201									4	72662									
5041009	1	1	1	12	7	13	11	4	201310	32	70661,1			3	7266301									4	72663									
5041010	1	1	1	12	7	13	11	4	201310	32	70661,1	4	7266304	17	133212532	3	7266701	3	7266801					18	133212532	4	72667	4	72668					
2007000	1	1		12	1	4	100404	4	1100519	4	102510			19	4	57	3,119	17	133107183,133107184					20	4	58	3,119	18	133107183,133107184	27	133107010,1	27	133107181,3	
2007001	1	1		12	1			4	1100519	4	102510			3	4001420									4	40014									
2007002	1	1		12	1			4	4001419	36	1000			3	4001501									4	40015									
2007003	1	1		12	1			4	4001419					3	7150012									4	71500									
2007004	1	1		12	5			4	7150008					3	7050117									4	70501									
2007005	1	1		12	9			4	7050110					3	7050011									4	70500									
2007006	1	1		12	1			4	4001419					3	7266401	17	133107178	1	388					4	72664	18	133107178	2	388					
2007101	1			12	1			4	7266401					68	20070101									73	20070101,20070102,20070103,20070104,20070105,20070106									
2007102	1			12	5			4	7266401					68	20070201									73	20070201,20070202,20070203,20070204,20070205,20070206									
2007103	1			12	9			4	7266401					68	20070301									73	20070301,20070302,20070303,20070304,20070305,20070306									
2007201	1			12	1			4	7266401					17	133104277	17	133104325,133104326,133104362,133104366,133104372,133104376,133104390,133104392,133104403,133104449							18	133104277	18	133104325,133104326,133104362,133104366,133104372,133104376,133104390,133104392,133104403,133104449							
2007202	1			12	5			4	7266401					17	133003044	17	133003051,133003060,133003061,133003063,133003064,133003066,133003067,133003068							18	133003044	18	133003051,133003060,133003061,133003063,133003064,133003066,133003067,133003068							
2007203	1			12	9			4	7266401					17	133008121	17	133008662,133008663,133008664,133008665,133008666,133008667							18	133008121	18	133008662,133008663,133008664,133008665,133008666,133008667							
2007301	1			12	1			4	7266401					17	133104287									18	133104287									
2007302	1			12	5			4	7266401					17	133003059									18	133003059									
2007303	1			12	9			4	7266401					17	133008416									18	133008416									
2007401	1			12	11									47	32																			
2007501	1	1																																
2007601	1	1		12	1			4	1100519	4	102510	3	27																					
2007602	1	1		12	1			4	7266401																									
5040001	1		1	12	1									67	1																			
5040002	1		1	12	2									67	2																			
5040003	1		1	12	3									67	3																			
5040004	1		1	12	4									67	4																			
5040005	1		1	12	5									67	5																			
5040006	1		1	12	6									67	6																			
5040007	1		1	12	7									47	40																			
5040101	1		1	12	1	4	201310							3	7266001									4	72660									
5040102	1		1	12	1	4	7266001							1	357	71	357							2	357									
5040103	1	1	1	12	1	4	7266002							17	133221028	72	357							18	133221028									
50440101	1		1	12	1	4	201310	13	8					3	7165601									4	71656									
50440102	1			12	8									31																				
50440103	1		1	12	8	13	11							3	7165701									4	71657									
50440104	1	1	1	12	6	13	8							47	36																			
5047001	1		1	12	1	13	7	14	30	4	201310	4	1100811	3	7265801									4	72658									
5047002	1		1	12	1	13	11	14	30	4	201310	4	1100811	17	133220650									18	133220650									
5047003	1	1	1	12	1	13	11	4	7265801					27	133220650,2																			
5047004	1	1	1	35																														
5047005	1	1	1	12	7	13	11																											
5047006	1	1	1	12	7	13	11	32	72658,0	4	201310	4	1100811	17	133220650	27	133220650,2							18	133220650									
5047101	1	1	1	12	6	13	11							47	34																			
5047102	1	1	1	12	7									77																				
5047103	1	1	1	12	1	13	11	4	7265801					1	408,3									2	408,3									
2008001	1	1	1	12	1	13	19	4	202102					3	4002001	78	1							4	40020									
2008006	1	1	1	12	1	13	19	4	4002007					1	417	71	417							2	417									
2008007	1	1	1	12	1	13	19	4	4002010					72	417																			
2008005	1	1	1	12	1	13	19	4	4002017					17	133220676									18	133220676									
2008002	1	1	1	12	4	13	19	4	4002017					3	4002110	78	2							4	40021									
2008003	1	1	1	12	7	13	19	4	4002109					3	4002209	78	3							4	40022									
2008004	1	1	1	12	10	13	19	4	4002208					3	4002301	18	133220676	17	133220677	78	4	78	5	4	40023	18	133220677							
2008008	1	1	1	12	11	13	19							47	49																			
2008009	1	1	1	32	40023,1																													
2008010	1	1	1	12	19									79																				
50490001	1	1	1	12	1	13	11	4	7002601					68	50490001									73	50490001	18	133225015							
50490002	1	1	1	12	1	13	11	4	7002801					73	50490001	18	133225015																	
50490003	1	1	1	12	1	13	14							17	133209062									18	133209062									
50490101	1	1	1	12	1	13	11	4	200711					3	7002601									4	70026									
50490102	1	1	1	12	1	13	11	4	7002604					68	50490101,50490102,50490103,50490104	17	133007089,133105059,133106042,133212601							73	50490101,50490102,50490103,50490104	18	133007089,133105059,133106042,133212601	18	133007082,133105048,133106028,133212576					
50490201	1	1	1	12	3	13	11	33	1					3	7002701									4	70027									
50490202	1	1	1	12	3	13	11	4	7002701					18	133007089,133105059,133106042,133212601	68	50490201,50490202,50490203,50490204							73	50490201,50490202,50490203,50490204	18	133007088,133105052,133106029,133212585							
50490301	1	1	1	12	5	13	11	33	2					3	7002801									4	70028									
50490302	1	1	1	12	5	13	11	4	7002803					68	50490301									73	50490301	18	133225009							
50490303	1	1	1	12	5	13	11	4	7002801					68	50490302									73	50490302	18	133223271							
50490304	1	1	1	12	5	13	11	4	7002803					73	50490302	18	133223271																	
50490401	1	1	1	12	3	13	11	33	2					68	50490401,50490403									73	50490401,50490403	18	133008668,133108193							
50490402	1	1	1	12	3	13	11	34	50490401					68	50490402									73	50490402	18	133008669							
50490403	1	1	1	12	3	13	11	34	50490403					68	50490404									73	50490404	18	133108194							
50490501	1	1	1	12	11	13	14	11	15049009					3	7002901									4	70029									
50490502	1	1	1	12	11	13	14	4	7002901																									
50490601	1	1	1	12	7	13	11							47	48																			
50500101	1	1	1	12	1	13	11	4	7003007					76	1	17	133103228	1	415	3	7003201			18	133103228	2	415	4	70032					
50500102	1	1	1	12	2	13	11	4	7003007					76	2	17	133107186	1	414	3	7003301			18	133107186	2	414	4	70033					
50500103	1	1	1	12	3	13	11	4	7003007					76	3	17	133107185	1	413	3	7003401			18	133107185	2	413	4	70034					
50500104	1	1	1	12	4	13	11	4	7003007					76	4	17	133104469	1	412	3	7003501			18	133104469	2	412	4	70035					
50500105	1	1	1	12	5	13	11	4	7003007					76	5	17	133210488	1	411	3	7003601			18	133210488	2	411	4	70036					
50500106	1	1	1	12	6	13	11	4	7003007					76	6	17	133220688	1	410	3	7003701			18	133220688	2	410	4	70037					
50500107	1	1	1	12	7	13	11	4	7003007					76	7	17	133220687	1	409	3	7003801			18	133220687	2	409	4	70038					
50500108	1	1	1	12	1	13	11	4	202102					3	7003001									4	70030									
50500109	1	1	1	12	8	13	11							47	51																			
2009001	1		1	12	15	13	19							47	41																			
2009002	1	1	1	12	1	13	19	4	7012305	4	1104505			3	4002501									4	40025,40026,40046									
2009003	1	1	1	12	7	13	19	4	7012305	4	1104505	4	4002615	3	4002701									4	40027,40028									
2009004	1	1	1	12	10	13	19	4	7012305	4	1104505	4	4002817	3	4002901									4	40029,40044,40045									
2009005	1	1	1	12	1	13	19	4	4002615					81		82		83		17	133001077			18	133001077	84		86	1					
2009006	1	1	1	12	1	13	19	4	7012305	4	1104505			57	3,124	19	5							58	3,124	20	5							
2009007	1	1	1	12	7	13	19	4	4002817					10	5	11	5							12	5									
2009008	1	1	1	12	1	13	19	4	4002615					68	20090401									18	133001059	73	20090401							
2009009	1	1	1	12	4	13	19	4	4002615					17	133001066									18	133001066									
2009010	1	1	1	12	7	13	19	4	4002615					17	133001070									18	133001070									
2009011	1	1	1	12	10	13	19	4	4002615	4	4002906			17	133001071									18	133001071									
2009012	1	1	1	12	7	13	10	4	4002817					17	133001072									18	133001072									
2009013	1	1	1	12	1	13	19							3	4004301									4	40043									
2009014	1	1	1	12	19									84																				
5051001	1	1	1	12	1	13	14	4	200711					80	1	3	4003101							4	40031									
5051002	1	1	1	12	3	13	14	37	1					80	2	3	4003204							4	40032									
5051004	1	1	1	12	5	13	14	37	2					80	3	3	4003304							4	40033									
5051006	1	1	1	12	7	13	14	37	3					80	4	3	4003413							4	40034									
5051007	1	1	1	12	7	13	14	4	4003411					1	426									2	426									
5051008	1	1	1	12	11	13	14							47	53																			
5051013	1	1	1	12	1	13	14	4	4003102	40	0			17	133212590									85	133212590									
5051014	1	1	1	12	1	13	14	4	4003105	41	0			17	133212598									85	133212598									
5051015	1	1	1	12	3	13	14	4	4003201	40	1			17	133221068									85	133221068									
5051016	1	1	1	12	3	13	14	4	4003201	41	1			17	133220703									85	133220703									
5051017	1	1	1	12	5	13	14	4	4003301	40	2			17	133213554									85	133213554									
5051018	1	1	1	12	5	13	14	4	4003301	41	2			17	133213555									85	133213555									
5053001	1	1	1	12	1	13	11							3	7267001,7267101,7268001,7268101	17	133107189	1	428,3					4	72670,72671,72680,72681	18	133107189	2	428,3					
5053002	1		1	12	1	13	11	4	7267001					41	1									42	1									
5053003	1		1	12	3	13	11	4	7267001					41	2									42	2									
5053004	1		1	12	5	13	11	4	7267001					41	3									42	3									
5053005	1	1	1	12	1	13	11	38		4	7267003			48		1	436,3							49		2	436,3							
5053006	1		1	12	1	13	11	39	1	4	7267003			50	5																			
5053007	1		1	12	3	13	11	39	2	4	7267003			50	6																			
5053008	1		1	12	5	13	11	39	3	4	7267003			50	7																			
5053009	1		1	12	8	13	11							47	50																			
5054001	1		1	12	1									46	7,8																			
5054002	1		1	12	3									46	9,10																			
5054003	1		1	12	5									46	11,12,13																			
5054004	1		1	12	7									47	45																			
5055001	1	1	1	12	1	13	11	14	30	4	201310	4	7210818	3	7267401	3	7267901							4	72674,72679									
5055002	1	1	1	12	8	13	11							47	52																			
5055003	1	1	1	12	1	4	7267403	13	11					3	7226411									4	72264									
5055004	1	1	1	12	2	4	7226409	13	11					3	7267509									4	72675									
5055005	1	1	1	12	3	4	7267508	13	11					3	7267614									4	72676									
5055006	1	1	1	12	4	4	7267612	13	11					3	7226101									4	72261									
5055007	1	1	1	12	5	4	7226107	13	11	4	1100811	32	70661,1	3	7226201									4	72262									
5055008	1	1	1	12	6	4	7226210	13	11					3	7267709									4	72677									
5055009	1	1	1	12	7	4	7267707	13	11					3	7267810									4	72678									
5055010	1			12	11									97		4	72674,72264,72675,72676,72261,72262,72677,72678,72679																	
5055011	1	1	1	12	1	13	11	14	30	4	201310			3	4005301									4	40053									
5061001	1	1	1	12	1	14	30	4	201310					3	4005201									4	40052									
2010001	1	1	1	12	1	13	19																											
2010002	1	1	1	12	1	13	19	4	1101505					57	3,104	17	133107221,133107233,133107225,133104819,133107242							58	3,104	18	133107221,133107233,133107225,133104819,133107242							
2010003	1	1	1	12	1	13	19	4	102510																									
2010004	1	1	1	12	1	13	19	4	1101505																									
2010005	1	1	1	12	19									96		4	40038	4	40041															
2010006	1	1	1	12	15	13	19	4	1101505					47	55																			
2010007	1	1	1	12	1			32	40038,1																									
2010008	1	1	1	12	1			32	40038,1																									
2010201	1	1	1	12	1	13	19	4	1101505					3	4003501									4	40035									
2010202	1	1	1	12	3	13	19	4	4003507					3	4003601									4	40036									
2010203	1	1	1	12	7	13	19	4	4003614					3	4003701									4	40037									
2010205	1	1	1	12	1	13	19	4	4003503					95	1																			
2010210	1	1	1	12	3	13	19	4	4003614					95	2																			
2010211	1	1	1	12	7	13	19	4	4003712					95	3																			
2010206	1	1	1	12	1	13	19	32	40035,1					17	133107198,133102207									18	133107198,133102207									
2010207	1	1	1	12	1	13	19	32	40036,1					17	133107200,133101017,133104810,133107202,133107203									18	133107200,133101017,133104810,133107202,133107203									
2010208	1	1	1	12	1	13	19	32	40038,1					17	133102178,133107196,133107199,133107210,133102220,133102217	3	7165801							18	133102178,133107196,133107199,133107210,133102220,133102217	4	71658							
2010209	1	1	1	12	1	13	19	32	40035,1	32	40039,1			3	7166101									4	71661									
2010301	1	1	1	12	1	13	19	32	11008,1					17	133107241									18	133107241									
2010401	1	1	1	12	1	13	19	4	1101505					3	4003901									4	40039									
2010402	1	1	1	12	1	13	19	4	4003912					91	1																			
2010403	1	1	1	12	3	13	19	42	1					91	2																			
2010404	1	1	1	12	7	13	19	42	2					91	3																			
2010405	1	1	1	12	1	13	19	32	40039,1					17	133107197									18	133107197									
2010406	1	1	1	12	1	13	19	4	4003904					61	3,458,459,514,515									60	3,458,459,514,515									
2010601	1	1	1	12	1	13	19	4	1101505					3	4004001	17	133107211	1	467,3					4	40040	18	133107211	2	467,3					
2010602	1	1	1	12	1	13	19	4	4004001					89	1	17	133107227							90		18	133107227							
2010603	1	1	1	12	3	13	19	4	4004001					89	2									90										
2010604	1	1	1	12	7	13	19	4	4004001					89	3									90										
2010605	1	1	1	12	1	13	19	14	28					94																				
2010606	1	1	1	12	3	13	19	11	12010601,12010602,12010603					18	133107225	17	133107224							18	133107224									
2010607	1	1	1	12	7	13	19	11	12010604,12010605,12010606					18	133107224	17	133107226							18	133107226									
2010802	1	1	1	12	7	13	19	4	1101505					92		1	457,3									2	457,3							
5058001	1	1	1	12	1	4	7165904							88	1	1	447							2	447									
5058002	1	1	1	12	3	4	7165904							88	2	1	449							2	449									
5058003	1	1	1	12	5	4	7165904							88	3	1	451							2	451									
5058004	1	1	1	12	1	4	101609							3	7165901									4	71659									
5058005	1	1	1	12	5	4	7165905	44						3	7166001									4	71660									
5058006	1	1	1	12	8									47	54																			
5062001	1	1	1	12	1	13	12	4	1101505	4	1012214			3	7050201									4	70502									
5062002	1	1	1	12	8	13	12							47	56																			
5062003	1	1	1	12	1	13	12	4	7050205					100	1,2	3	7050401,7050501	17	133004064	1	511,3			4	70504,70505	18	133004064	2	511,3					
5062004	1	1	1	12	2	13	12	4	7050404,7050503					100	3,4	3	7050601,7050701							4	70506,70507									
5062005	1	1	1	12	3	13	12	4	7050604,7050703					100	5,6,7	3	7050301,7050801,7050901							4	70503,70508,70509									
5062006	1	1	1	12	4	13	12	11	15062001					101	1																			
5062007	1	1	1	12	4	13	12	11	15062001	43	1			101	2																			
5062008	1	1	1	12	5	13	12	11	15062001	43	2			101	3																			
5062009	1	1	1	12	5	13	12	11	15062001	43	3			101	4																			
5062010	1	1	1	12	4	13	12	11	15062001					102																				
5062011	1	1	1	12	1	13	12							99	410001,410002,410003,410004,410009																			
5062012	1	1	1	12	2	13	12							99	410005																			
5062013	1	1	1	12	3	13	12							99	410006,410008																			
5062014	1	1	1	12	4	13	12							99	410007																			
5062015	1	1	1	12	12	13	15	11	15062001					3	7051001									4	70510									
5062016	1	1	1	12	1	13	12																	117										
5062017	1	1	1	12	12	13	15							117																				
5062018	1	1	1	12	3	13	12	11	15062001																									
2011001	1	1	1	4	200908									3	4006001									4	40060									
2011002	1	1	1	4	200908									3	4006101	3	4006104							4	40061									
2011003	1	1	1	4	4004703									65	7									64	7									
2011004	1	1	1	4	200908	4	7227506							3	4004701									4	40047,40048,40049,40050,40051,40062									
2011005	1	1	1	4	4004717									3	7227601									4	72276									
2011006	1	1	1	4	200908	4	7227506							17	177002012									18	177002012									
2011101	1	1	1	12	1									98	1	19	6							20	6									
2011102	1	1	1	12	1									98	2																			
2011103	1	1	1	12	1									98	3																			
2011104	1	1	1	4	4004814									68	20111001,20111002									73	20111001,20111002									
2011105	1	1	1	4	4004914									68	20111003,20111004									73	20111003,20111004									
2011106	1	1	1	4	4005014									68	20111005,20111006									73	20111005,20111006									
2011107	1	1	1	4	4005116									68	20112001									73	20112001									
2011201	1	1	1	12	38									47	57																			
2011202	1	1	1	12	1	14	30							94																				
5065001	1	1	1	12	1	4	102510							103	1001	3	7166201							104		4	71662							
5065002	1	1	1	12	1	4	7166202							106	2122	72	512																	
5065003	1	1	1	12	2	45	2122							106	2120																			
5065004	1	1	1	12	3	45	2120							106	2121																			
5065005	1	1	1	12	4	45	2121							106	2119																			
5065006	1	1	1	12	5	45	2119							106	2123																			
5065007	1	1	1	12	1	4	7166207							105																				
5065008	1	1	1	12	16									47	59																			
5065009	1	1	1	12	1	4	7166201							1	512	71	512							2	512									
5065010	1	1	1	12	1	4	7166207							17	133103359									18	133103359									
5066001	1	1	1	12	1	4	7166302	4	7165501					115	6900212,6900317,6900615,6901415,6901515,6901615,6902015,6902110,6902210,6902310,6902410,6902510,6902610,6902710,6902910,6903010,6903110,6903210,6903310,6903410,6903510,6903610,6903710,6903810,6903910,6904110,6904210,6904310,6904410,6904510,6904610,6904712,6904810,6904912,6905012,6905110,6905213,6905217,6905312,6905412,6905512,6905612,6905712,6905812,6906312,6906412,6906612									116	6900212,6900317,6900615,6901415,6901515,6901615,6902015,6902110,6902210,6902310,6902410,6902510,6902610,6902710,6902910,6903010,6903110,6903210,6903310,6903410,6903510,6903610,6903710,6903810,6903910,6904110,6904210,6904310,6904410,6904510,6904610,6904712,6904810,6904912,6905012,6905110,6905213,6905217,6905312,6905412,6905512,6905612,6905712,6905812,6906312,6906412,6906612									
5066002	1	1	1	12	1									3	7166301									4	71663									
5066003	1	1	1	12	1	4	7166302							110	1	17	133107244									18	133107244							
5066004	1	1	1	12	2	4	7166302							110	2																			
5066005	1	1	1	12	3	4	7166302							110	3																			
5066006	1	1	1	12	4	4	7166302							110	4																			
5066007	1	1	1	12	5	4	7166302							110	5																			
5066008	1	1	1	12	6	4	7166302							110	6																			
5066009	1	1	1	12	7	4	7166302							110	7																			
5066010	1	1	1	12	22									47	61																			
5066011	1	1	1	12	1	4	7166302	4	7165501					115	6900812,6900912									116	6900812,6900912									
5067001	1	1	1	12	1									107	1																			
5067002	1	1	1	12	2									107	2																			
5067003	1	1	1	12	3									107	3																			
5067004	1	1	1	12	4									107	4																			
5067005	1	1	1	12	5									107	5																			
5067006	1	1	1	12	6									107	6																			
5067007	1	1	1	12	11									47	58																			
5067008	1	1	1	12	1	4	102510							3	7166401									4	71664									
5067009	1	1	1	12	1	4	7166401							1	520	71	520							2	520									
5067010	1	1	1	12	1	4	7166402							17	133106477	72	520							18	133106477									
2012001	1	1	1	12	1	13	19																											
2012002	1	1	1	12	1	13	19	4	4005402					57	3,147	17	133209073,133209071,133209092,133209101							58	3,147	18	133209073,133209071,133209092,133209101							
2012003	1	1	1	12	1	46	1202405	46	1203510	46	1204209	4	201310	3	4005401									4	40054	4	40055							
2012004	1	1	1	12	3	13	19	4	4005513					3	4005601									4	40056									
2012005	1	1	1	12	5	13	19	4	4005610					3	4005701									4	40057									
2012006	1	1	1	12	7	13	19	4	4005714					3	4005801									4	40058	4	40059							
2012007	1	1	1	12	7	13	19	4	4005914																									
2012008	1	1	1	12	1	13	19	4	4005513					3	7269101	17	133209078	1	563,3					4	72691	18	133209078	2	563,3					
2012009	1	1	1	12	2	13	19	4	7269105					3	7269206									4	72692									
2012010	1	1	1	12	3	13	19	4	7269205					3	7269306									4	72693									
2012011	1	1	1	12	3	13	19	4	4005610					3	7268501	17	133209077							4	72685	18	133209077							
2012012	1	1	1	12	5	13	19	4	4005714					3	7268601	17	133209099							4	72686	18	133209099							
2012013	1	1	1	12	5	13	19	4	7268601					3	7269801	1	566,3	17	133209079					4	72698	2	566,3	18	133209079					
2012014	1	1	1	12	6	13	19	4	7269801					3	7269901	17	133209080							4	72699	18	133209080							
2012015	1	1	1	12	7	13	19	4	7269901					3	7272001	17	133209081							4	72720	18	133209081							
2012016	1	1	1	12	8	13	19	4	7272001					3	7272101	17	133209082							4	72721	18	133209082							
2012017	1	1	1	12	5	13	19	4	4005714					3	7268701,7272201,7272301,7272501									4	72687,72722,72723,72725									
2012018	1	1	1	12	6	13	19	4	4005714	4	7268702			3	7268801									4	72688									
2012019	1	1	1	12	7	13	19	4	4005714	4	7268803			3	7268901									4	72689									
2012020	1	1	1	12	8	13	19	4	4005714	4	7268903			3	7269001									4	72690									
2012021	1	1	1	12	1	13	19	4	4005513					3	7227827									4	72278									
2012022	1	1	1	12	3	13	19	4	4005610					3	7227919									4	72279									
2012023	1	1	1	12	5	13	19	4	4005714					3	7228018									4	72280									
2012024	1	1	1	12	7	13	19	4	4005914					3	7228118									4	72281									
2012025	1	1	1	12	1	13	19	4	7228013					18	133209101																			
2012101	1	1	1	12	1	13	19	4	4005513																									
2012102	1	1	1	12	2	13	19	4	4005513	4	7269105																							
2012103	1	1	1	12	3	13	19	4	4005513	4	7269205																							
2012104	1	1	1	12	3	13	19	4	7268501					112		1	565,3							2	565,3									
2012108	1	1	1	12	5	13	19	4	7269801					113	1																			
2012109	1	1	1	12	6	13	19	4	7269901					113	2																			
2012110	1	1	1	12	7	13	19	4	7272001					113	3																			
2012111	1	1	1	12	8	13	19	4	7272101					113	4																			
2012112	1	1	1	12	5	13	19	4	4005714	4	7268701																							
2012113	1	1	1	12	6	13	19	4	4005714	4	7268702																							
2012114	1	1	1	12	7	13	19	4	4005714	4	7268803																							
2012115	1	1	1	12	8	13	19	4	4005714	4	7268903																							
2012116	1	1	1	12	5	13	19	4	7268701					114	1	27	133209076,2							18	133209076									
2012117	1	1	1	12	6	13	19	4	7268802					114	2	27	133209088,2							18	133209088									
2012118	1	1	1	12	7	13	19	4	7268902					114	3	27	133209089,2							18	133209089									
2012119	1	1	1	12	8	13	19	4	7269002					114	4	27	133209090,2							18	133209090									
2012120	1	1	1	12	1																													
2012121	1	1	1	12	1	13	19	4	7269101					111	1																			
2012122	1	1	1	12	2	13	19	4	7269201					111	2																			
2012123	1	1	1	12	3	13	19	4	7269301					111	3																			
2012124	1	1	1	12	5	13	19	4	4005714					17	133209076	1	564,3							18	133209076	2	564,3							
2012125	1	1	1	12	6	13	19	4	4005714	4	7268801			17	133209088									18	133209088									
2012126	1	1	1	12	7	13	19	4	4005714	4	7268901			17	133209089									18	133209089									
2012127	1	1	1	12	8	13	19	4	4005714	4	7269001			17	133209090									18	133209090									
2012128	1	1	1	12	1	13	19	14	30					94																				
2012129	1	1	1	12	1	13	19	4	7227823					17	133209084									18	133209084									
2012130	1	1	1	12	1	13	19	4	7227919					17	133209066									18	133209066									
2012131	1	1	1	12	16									47	63																			
5068001	1	1	1	12	1	4	201310	4	7268302					109	1,2									123	1,2									
5068002	1	1	1	12	2	4	201310	4	7268302					109	3,4									123	3,4									
5068003	1	1	1	12	3	4	201310	4	7268302					109	5,6									123	5,6									
5068004	1	1	1	12	4	4	201310	4	7268302					109	7,8									123	7,8									
5068005	1	1	1	12	5	4	201310	4	7268302					109	9,10									123	9,10									
5068006	1	1	1	12	6	4	201310	4	7268302					109	11,12									123	11,12									
5068007	1	1	1	12	7	4	201310	4	7268302					109	13,14									123	13,14									
5068008	1	1	1	47	1,2																													
5068009	1	1	1	47	3,4																													
5068010	1	1	1	47	5,6																													
5068011	1	1	1	47	7,8																													
5068012	1	1	1	47	9,10																													
5068013	1	1	1	47	11,12																													
5068014	1	1	1	47	13,14																													
5068015	1	1	1	12	1	4	7181107	4	201310					3	7268301	17	133221077							4	72683	18	133221077							
5068016	1	1	1	12	1	4	201310							3	7272401									4	72724									
5068017	1	1	1	12	7									47	62																			
5072001	1	1	1	12	1	13	22	4	7268407					76	1	17	133209097							18	133209097	2	570							
5072002	1	1	1	12	2	13	22	4	7268407					76	2	17	133209102							18	133209102									
5072003	1	1	1	12	3	13	22	4	7268407					76	3	17	133209103							18	133209103									
5072004	1	1	1	12	4	13	22	4	7268407					76	4	17	133209104							18	133209104									
5072005	1	1	1	12	5	13	22	4	7268407					76	5	17	133209105							18	133209105									
5072006	1	1	1	12	6	13	22	4	7268407					76	6																			
