等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值
183	1	2	12526.598204	2	2	229.168215	12	2	2.83	4	1	0	9	1	0	10	1	0	17	2	229.168215	23	2	13240.017962	24	2	229.168215
184	1	2	12620.641784	2	2	229.578822	12	2	2.84	4	1	0	9	1	0	10	1	0	17	2	229.578822	23	2	13392.665783	24	2	229.578822
185	1	2	12715.2048	2	2	229.989738	12	2	2.85	4	1	0	9	1	0	10	1	0	17	2	229.989738	23	2	13546.605639	24	2	229.989738
186	1	2	12810.288943	2	2	230.40092	12	2	2.86	4	1	0	9	1	0	10	1	0	17	2	230.40092	23	2	13701.844302	24	2	230.40092
187	1	2	12905.895907	2	2	230.812367	12	2	2.87	4	1	0	9	1	0	10	1	0	17	2	230.812367	23	2	13858.388177	24	2	230.812367
188	1	2	13002.027459	2	2	231.22408	12	2	2.88	4	1	0	9	1	0	10	1	0	17	2	231.22408	23	2	14016.244111	24	2	231.22408
189	1	2	13098.685292	2	2	231.636102	12	2	2.89	4	1	0	9	1	0	10	1	0	17	2	231.636102	23	2	14175.418581	24	2	231.636102
190	1	2	13195.871098	2	2	232.048346	12	2	2.9	4	1	0	9	1	0	10	1	0	17	2	232.048346	23	2	14335.918213	24	2	232.048346
191	1	2	13293.586646	2	2	232.460899	12	2	2.91	4	1	0	9	1	0	10	1	0	17	2	232.460899	23	2	14497.749706	24	2	232.460899
192	1	2	13391.833628	2	2	232.873717	12	2	2.92	4	1	0	9	1	0	10	1	0	17	2	232.873717	23	2	14660.919611	24	2	232.873717
193	1	2	13490.613737	2	2	233.286801	12	2	2.93	4	1	0	9	1	0	10	1	0	17	2	233.286801	23	2	14825.434555	24	2	233.286801
194	1	2	13589.92874	2	2	233.700195	12	2	2.94	4	1	0	9	1	0	10	1	0	17	2	233.700195	23	2	14991.301163	24	2	233.700195
195	1	2	13689.780403	2	2	234.113809	12	2	2.95	4	1	0	9	1	0	10	1	0	17	2	234.113809	23	2	15158.526134	24	2	234.113809
196	1	2	13790.170347	2	2	234.527689	12	2	2.96	4	1	0	9	1	0	10	1	0	17	2	234.527689	23	2	15327.116019	24	2	234.527689
197	1	2	13891.100339	2	2	234.941879	12	2	2.97	4	1	0	9	1	0	10	1	0	17	2	234.941879	23	2	15497.077444	24	2	234.941879
198	1	2	13992.572144	2	2	235.356334	12	2	2.98	4	1	0	9	1	0	10	1	0	17	2	235.356334	23	2	15668.417035	24	2	235.356334
199	1	2	14094.587382	2	2	235.771054	12	2	2.99	4	1	0	9	1	0	10	1	0	17	2	235.771054	23	2	15841.141416	24	2	235.771054
200	1	2	14197.147895	2	2	236.18604	12	2	3	4	1	0	9	1	0	10	1	0	17	2	236.18604	23	2	16016.257214	24	2	236.18604
