ID	说明	AbilityName	是否通用	最先加载	图标	group用途
5028	尾巴拍地水柱增加，追钟水球数量增加，冲刺段数增加	MonsterAffix_Oceanid_02_SkillUp3		1		
5029	风冰分身需要同时挂上	MonsterAffix_Samurai_Ningyo_Ghost_DieInSameTime	1	1		
5030	角色护盾弹反对其造成的伤害降低	MonsterAffix_Drake_Primo_Rock_Broken_DamageDown		1		
5031	去除角色护盾弹反后的全抗性降低效果	MonsterAffix_Drake_Primo_Rock_Broken_WithouDefenseDown		1		
5032	原岩喷吐对角色护盾造成的伤害提升	MonsterAffix_Drake_Primo_Rock_ElementExplode_ShieldDamageUp		1		
5033	原岩喷吐命中角色后使其全队护盾强效降低，永续，可叠加	MonsterAffix_Drake_Primo_Rock_ElementExplode_AvatarShieldDown		1		
5034	游走钻出地面时给自身附加一个抵挡伤害的岩元素护盾	MonsterAffix_Drake_Primo_Rock_Glide_ElementShield		1		
5035	甩尾命中角色后时使其全队防御力降低，永续，可叠加	MonsterAffix_Drake_Primo_Rock_TailSweep_AvatarDefenseDown		1		
5036	鳞片存在时间增加，会发生三次鳞片爆破（Lv1）	MonsterAffix_Drake_Primo_Rock_ScaleGadget_ActivityCycle_Lv1		1		
5037	松鼠 老鹰	MonsterAffix_Oceanid_02_AnimalSelect_Two		1		
5038	松鼠 鸭子	MonsterAffix_Oceanid_02_AnimalSelect_One		1		
5039	傀儡将军添加面具额外分身	MonsterAffix_Samurai_Ningyo_GhostMask_Add	1	1		
5040	额外选2个平台造成伤害	MonsterAffix_Oceanid_02_MorePlatFormDamage	1	1		
5041	纯水动物死亡爆裂词缀	MonsterAffix_Oceanid_02_Animal_DeathExplode		1		
5042	鳞片存在时间增加，会发生五次鳞片爆破（Lv2）	MonsterAffix_Drake_Primo_Rock_ScaleGadget_ActivityCycle_Lv2		1		
5043	鳞片存在时间增加，会发生无限次鳞片爆破（Lv3）	MonsterAffix_Drake_Primo_Rock_ScaleGadget_ActivityCycle_Lv3		1		
5044	增强属性，GCD降低，霸体增加	MonsterAffix_Samurai_Kairagi_Ghost		1		
5045	非幽灵海乱鬼成就判定	MonsterAffix_Samurai_Kairagi_Watcher_82107		1		
5101	用于任务中增减技能的怪物，将怪物技能组设为101	MonsterAffix_AlternativeSkillSet_101	1	1		
5102	血量削弱	MonsterAffix_Samurai_Kairagi_GhostChallenge_First	1	1		
5103	平级提升	MonsterAffix_Samurai_Kairagi_GhostChallenge_Second	1	1		
5104	血量提升，霸体提高	MonsterAffix_Samurai_Kairagi_GhostChallenge_Third	1	1		
5105	攻击提升，霸体提升，自动回复，复活一次	MonsterAffix_Samurai_Kairagi_GhostChallenge_Fourth	1	1		
5106	攻击大幅提升，霸体大幅提升，自动回复，复活一次，gcd大幅降低	MonsterAffix_Samurai_Kairagi_GhostChallenge_Surprise	1	1		
5107	七本刀第一波 浪人普通	MonsterAffix_Samurai_Samurai_SevenBlade_First	1	1		
5108	七本刀第二波 浪人山贼	MonsterAffix_Samurai_Samurai_SevenBlade_Second	1	1		
5109	七本刀第三波 浪人暗部	MonsterAffix_Samurai_Samurai_SevenBlade_Third	1	1		
5110	七本刀第四波 雷海乱鬼	MonsterAffix_Samurai_Samurai_SevenBlade_Fourth	1	1		
5111	七本刀第五波 火海乱鬼	MonsterAffix_Samurai_Samurai_SevenBlade_Fifth	1	1		
5112	七本刀第六波 幕府武士	MonsterAffix_Samurai_Samurai_SevenBlade_Sixth	1	1		
5113	七本刀第七波 双海乱鬼	MonsterAffix_Samurai_Samurai_SevenBlade_SevenTh	1	1		
5114	特殊词缀解冻后不会逃跑。只会冲撞	MonsterAffix_Animal_Boar_Frozen_Special	1	1		
5115	boss战中假死逻辑	Monster_Apparatus_Enigma_FakeDie		1		
5116	普通版本拟生机关	MonsterAffix_Enigma_Summoned_Normal		1		
5117	强化版本拟生机关	MonsterAffix_Enigma_Summoned_Enhanced		1		
5118	塔防丘丘格挡判断词缀	Monster_Hili_Defend_Affix_NoCombat	1	1		
5119	走路的狗配词缀	Animal_Inu_Shihandai_BlinkPose	1	1		
5120	武士狗活动护盾机制	Animal_Inu_Shihandai_ProtectType_One	1	1		
5121	武士狗活动藤曼机制	Animal_Inu_Shihandai_ProtectType_Two	1	1		
5122	武士狗活动隐身机制	Animal_Inu_Shihandai_ProtectType_Three	1	1		
5123	肉鸽特供起死回生	Activity_Rogue_Monster_SelfHeal	1			
5124	表示武士狗活动中的动物	MonsterAffix_AnimalTag_Inu_Shihandai_Event	1			
5125	2.2鹤观雷音剧情reminder词缀	MonsterAffix_Monster_Raijin_SpecailQuest	1	1		
5126	奥赛尔老婆左头标记	MonsterAffix_Eldritch_Minor_LeftPosition	1			
5127	奥赛尔老婆主头标记	MonsterAffix_Eldritch_Minor_MiddlePosition,Monster_Eldritch_Minor_RoundStart,Monster_Eldritch_Minor_NextHead	1			
5128	奥赛尔老婆右头标记	MonsterAffix_Eldritch_Minor_RightPosition	1			
5129	狗子活动可捕捉小动物提示特效	MonsterAffix_HintEffect_CatchRangeHint01	1			
5130	2.3雪山活动任务线大骗骗花削弱	MonsterAffix_Monster_Mimik_Fel_ReducedShield	1	1		
5131	武士狗活动战斗关卡动物3秒消失	MonsterAffix_Inu_Shihandai_Event_KillSelf	1			
5132	2.4自选挑战根据地城顺序增加怪物词缀	MonsterAffix_AdditionalHPAndAttack_ForSelfPickChallenge	1			
5133	2.4渊下宫水龙蜥近战词缀	MonsterAffix_Drake_DeepSea_WaterJumpAlertPos1	1	1		
5134	2.4渊下宫水龙蜥远程词缀	MonsterAffix_Drake_DeepSea_WaterJumpAlertPos2	1	1		
5135	2.5渊下宫怪物黑夜词缀	MonsterAffix_Monster_AbyssalPalace_SpecialForce	1	1		
5136	2.5百人一揆第二期怪物词缀-第一关	MonsterAffix_Activity_Sumov2_Stage1	1	1		
5137	2.5百人一揆第二期怪物词缀-第二关	MonsterAffix_Activity_Sumov2_Stage2	1	1		
5138	2.5百人一揆第二期怪物词缀-第三关	MonsterAffix_Activity_Sumov2_Stage3	1	1		
5139	2.5百人一揆第二期怪物词缀-第四关	MonsterAffix_Activity_Sumov2_Stage4	1	1		
5140	2.5百人一揆第二期怪物词缀-第五关	MonsterAffix_Activity_Sumov2_Stage5	1	1		
5141	2.5百人一揆第二期怪物词缀-第六关	MonsterAffix_Activity_Sumov2_Stage6	1	1		
5142	2.6 没吃饭的盗宝团	MonsterAffix_Thoarder_Property_Weaken	1			
5143	2.5渊下宫龙蜥boss难度2词缀	MonsterAffix_Monster_Drake_DeepSea_Level2	1	1		
5144	2.5渊下宫龙蜥boss难度3词缀	MonsterAffix_Monster_Drake_DeepSea_Level3	1	1		
5145	2.5同生共死弱化版	MonsterAffix_Monster_Drake_DeepSea_DieTogether_TypeOne	1	1		
5146	2.5同生共死高难版	MonsterAffix_Monster_Drake_DeepSea_DieTogether_TypeTwo	1	1		
5147	2.5同生共死深境版	MonsterAffix_Monster_Drake_DeepSea_DieTogether_TypeThree	1	1		
5148	2.5渊下宫boss简单难度词缀	MonsterAffix_Monster_Drake_DeepSea_Level1	1	1		
5149	2.5剧情一次性boss属性调整词缀	MonsterAffix_Monster_HPDown	1	1		
5150	2.5 渊下宫 假同生共死 词缀	MonsterAffix_Monster_DieTogether_Fake	1	1		
5151	奥赛尔老婆任务主头残血	MonsterAffix_Eldritch_Minor_MiddlePosition_LowHP	1	1		
5152	影响黑貉队是否会对2.4打捞活动的烟花有反应	MonsterAffix_Activity_Thoarder_Elite_Tag	1	1		
5153	怪物冰冻回血-塔防	MonsterAffix_Activity_TowerDefenseV3_FrozenRevive	1	1		
5154	怪物毁灭光环-塔防	MonsterAffix_Activity_TowerDefenseV3_DestroyTower	1	1		
5155	2.4海上活动飘浮灵HP下降90%	MonsterAffix_Property_HpDown_Sylph	1	1		
5156	遗迹重机临时去ragdoll	MonsterAffix_Konungmathr_None_DieSwitch	1			
5157	CD降低	MonsterAffix_Monster_Planelurker_CDDecrease	1	1		
5158	愚人众背包	Monster_Megamoth_Accessory_Fatuus	1	1		
5159	盗宝团背包	Monster_Megamoth_Accessory_Thoarder	1	1		
5160	丘丘人1背包	Monster_Megamoth_Accessory_Hili01	1	1		
5161	丘丘人2背包	Monster_Megamoth_Accessory_Hili02	1	1		
5162	2.6剑道挑战难度1	MonsterAffix_Monster_BladeMaster_Level1	1	1		
5163	2.6剑道挑战难度2	MonsterAffix_Monster_BladeMaster_Level2	1	1		
5164	2.6剑道挑战难度3	MonsterAffix_Monster_BladeMaster_Level3	1	1		
5165	遗迹巨蛇WQ锁血	MonsterAffix_Nithhoggr_WQTrigger	1			
5166	成年体型驮兽	Monster_Megamoth_AdultSize	1	1		
5167	巨大体型驮兽	Monster_Megamoth_GiantSize	1	1		
5168	2.6机关棋谭三期怪物词缀-掉落死亡	MonsterAffix_Activity_TowerDefenseV3_DieFall	1	1		
5169	2.5爬塔黄金王兽血量词缀1	MonsterAffix_Tower_SpecailHPRatio1	1	1		
5170	2.5爬塔龙蜥血量词缀2	MonsterAffix_Tower_SpecailHPRatio2	1	1		
5171	怪物冰冻强力回血-塔防	MonsterAffix_Activity_TowerDefenseV3_FrozenReviveStrong	1	1		
5172	怪物强力毁灭光环-塔防	MonsterAffix_Activity_TowerDefenseV3_DestroyTowerStrong	1	1		
5173	怪物减速15%-塔防	MonsterAffix_Activity_TowerDefenseV3_Monster15SpeedDown	1	1		
5174	怪物减速30%-塔防	MonsterAffix_Activity_TowerDefenseV3_Monster30SpeedDown	1	1		
5175	战斗一定时长后逃跑	Monster_Megamoth_None_Disappear	1			
5176	战斗一定时长后逃跑	Monster_Gator_Disappear	1			
5177	强化数值属性和攻击间隔	Monster_Megamoth_EnhanceVersion	1	1		
5178	Pose标记初见版	MonsterAffix_Crazy_Hatamoto_01	1	1		
5179	Pose标记二周目	MonsterAffix_Crazy_Hatamoto_02	1	1		
5180	战斗一定时长后逃跑	Monster_Panther_None_Disappear	1			
5181	3.0十三机兵-不入战	MonsterAffix_NeverCombat_ForMachinery	1	1		
5182	3.0十三机兵-恒常机关小怪攻击下降	MonsterAffix_Apparatus_Enigma_AttackDown_ForMachinery	1	1		
5183	3.0十三机兵-恒常机关小怪血量下降	MonsterAffix_Apparatus_Enigma_HPDown_ForMachinery	1	1		
5184	3.0十三机兵-恒常机关本体攻击下降	MonsterAffix_Apparatus_Perpetual_AttackDown_ForMachinery	1	1		
5185	3.0十三机兵-恒常机关本体血量下降	MonsterAffix_Apparatus_Perpetual_HPDown_ForMachinery	1	1		
5186	爬塔特供遗迹巨蛇	MonsterAffix_Nithhoggr_AbyssTag	1	1		
5187	3.4 结晶猎犬	MonsterAffix_Hound_Crystallized	1	1		
5188	提纳里个人线遗迹防卫者	MonsterAffix_Apparatus_Enigma_BionicInsecta_KarkataTag		1		
5189	战斗一定时长后逃跑	Monster_Scorpion_None_Disappear	1			
5190	3.1活动动物标记	MonsterAffix_Boar_Hunt_Mark	1	1		
5191	3.1营地挑战主人标记	MonsterAffix_Sovereign_Master_ValueChangeble	1	1		
5192	3.1营地挑战扈从标记	MonsterAffix_Sovereign_Slave_ValueChangeble	1	1		
5193	3.1营地挑战易伤	MonsterAffix_FallingAttack_DefenseDown	1	1		
5194	3.1百人一揆第三期怪物词缀-第一关	MonsterAffix_Activity_Sumov3_Stage1	1	1		
5195	3.1百人一揆第三期怪物词缀-第二关	MonsterAffix_Activity_Sumov3_Stage2	1	1		
5196	3.1百人一揆第三期怪物词缀-第三关	MonsterAffix_Activity_Sumov3_Stage3	1	1		
5197	3.1百人一揆第三期怪物词缀-第四关	MonsterAffix_Activity_Sumov3_Stage4	1	1		
5198	3.1百人一揆第三期怪物词缀-第五关	MonsterAffix_Activity_Sumov3_Stage5	1	1		
5199	3.1百人一揆第三期怪物词缀-第六关	MonsterAffix_Activity_Sumov3_Stage6	1	1		
5200	遗迹重机复活逻辑	Monster_Konungmathr_None_WQ_Limbo,Monster_Konungmathr_None_WQ_Limbo_StateChange				
5201	WQ深渊咏者·紫电-落石	MonsterAffix_Drop_Rock				
5202	3.1潜行玩法词缀	MonsterAffix_Sneak_ALBB_Sentry		1		
5203	3.1脱战词缀	MonsterAffix_OutOfBattle_Ordinator	1	1		
5204	3.2奇趣妙园特殊小史莱姆	MonsterAffix_Slime_SimpleStick				
5205	关卡激活元能	MonsterAffix_Ordinator_LevelGoBattle	1	1		
5206	3.0 动物通用血条显示控件	Monster_Animal_Common_BillboardControl	1	1		
5207	3.2无相挑战-无相草-技能防火	Monster_Effigy_Grass_ActivityVersion_AntiFire	1	1		
5208	3.0回流之柱WQ-遗迹守卫被兰那罗击倒	MonsterAffix_Monster_Defender_WQ_TiggerableBreak	1	1		
5209	3.0回流之柱WQ-小型蕈兽视野特效	MonsterAffix_Monster_Fungus_PatrolSightEffect	1	1		
5210	3.0回流之柱WQ-精英草蕈兽锁血	MonsterAffix_Monster_Fungus_Amanita_Unu_Grass_WQ_LockHP	1	1		
5211	3.0回流之柱WQ-精英草蕈兽扣血	MonsterAffix_Monster_Fungus_Amanita_Unu_Grass_WQ_LowHP	1	1		
5212	3.2蕈兽大活动-蕈兽抓捕	MonsterAffix_Monster_Fungus_Amanita_Catch	1	1		
5213	3.2蕈兽大活动-蕈兽CD重置	MonsterAffix_Monster_Fungus_Skill	1	1		
5214	3.2无相挑战-高难标记	MonsterAffix_Effigy_Elite_Difficulty	1	1		
5215	3.1吼叫版丛林豹标记	Monster_Panther_RoarVersion	1	1		
5216	3.1营地挑战属性1	MonsterAffix_CampChallenge_Boss_Property1	1	1		
5217	3.1营地挑战属性2	MonsterAffix_CampChallenge_Boss_Property2	1	1		
5218	3.1营地挑战属性3	MonsterAffix_CampChallenge_Boss_Property3	1	1		
5219	3.6结晶化怪物不入战	MonsterAffix_NeverCombat_ForCrystallization	1	1		
5220	3.2无相挑战-无相草-次高难度	Monster_Effigy_Grass_ActivityVersion_SecondHard	1	1		
5221	3.1wq元能标记	MonsterAffix_WQ_Monolith_Starchild	1	1		
5222	3.1爬塔元能标记	MonsterAffix_TowerSpecail_Monolith_Starchild	1	1		
5223	用于剧情关卡，可以动态为NPC的得意蕈兽挂上这个词缀，在指定情况下会向关卡发消息	Fungus_BVB_MyFavoriteFungus	1			
5224	拥有这个词缀的弯刀怪物(无论敌友) 都无法使用嘲讽	Affix_Eremite_Simitar_NeverTaunt	1			
5225	怪物周期为身边一定范围内的敌方单位上Dot	Affix_FungusFighter_Burning	1			
5226	3.2蕈兽大活动-怪物受嘲讽标记	MonsterAffix_Monster_Fungus_Taunt_Flag	1	1		
5227	爬塔清除特效子弹	MonsterAffix_Gargoyle_ForAbyss	1	1		
5228	爬塔的雷点树倒地时间为18s	MonsterAffix_Regisvine_Electric_Faint_AS	1	1		
5229	3.2奇趣妙园特殊大史莱姆	MonsterAffix_Slime_Large_SimpleStick				
5230	3.2无相挑战-无相冰-再生功能修改	MonsterAffix_Effigy_Ice_Elite_ReviveState		1		
5231	3.2无相挑战-无相冰-冰导弹功能	MonsterAffix_Effigy_Ice_RangeAtk_Activity		1		
5232	3.2无相挑战-难度1属性	MonsterAffix_Effigy_Elite_PropertyLevel1	1	1		
5233	3.2无相挑战-难度2属性	MonsterAffix_Effigy_Elite_PropertyLevel2	1	1		
5234	3.2无相挑战-难度3属性	MonsterAffix_Effigy_Elite_PropertyLevel3	1	1		
5235	3.2无相挑战-难度4属性	MonsterAffix_Effigy_Elite_PropertyLevel4	1	1		
5236	3.2无相挑战-狂暴	MonsterAffix_Effigy_Elite_Violent	1	1		
5237	3.2蕈兽大活动-Limbo	MonsterAffix_Monster_Fungus_Limbo	1	1		
5238	动态挂载与主角的飞行水上，用来发特殊的关卡消息	Fungus_BVB_Hero	1			
5239	3.2蕈兽大活动-冰冲击波	Affix_FungusFighter_LowImpulse_Ice	1			
5240	3.2蕈兽大活动-火增幅器	Affix_FungusFighter_AmplifierApplier_Fire	1			
5241	3.2蕈兽大活动-冰增幅器	Affix_FungusFighter_AmplifierApplier_Ice	1			
5242	3.2蕈兽大活动-雷增幅器	Affix_FungusFighter_AmplifierApplier_Electric	1			
5243	3.2蕈兽大活动-远程雷击	Affix_FungusFighter_ElectricRing	1			
5244	3.2蕈兽大活动-火焰流血	Affix_FungusFighter_FireBleeding	1			
5245	3.1wq精英元能标记1	MonsterAffix_WQ_Monolith_Oridinator_Mark1	1	1		
5246	3.1wq精英元能标记2	MonsterAffix_WQ_Monolith_Oridinator_Mark2	1	1		
5247	主线敌方蕈兽用，提升血量	Affix_FungusFighter_HPFix_Level_1	1			
5248	主线敌方蕈兽用，提升血量	Affix_FungusFighter_HPFix_Level_2	1	1		
5249	主线敌方蕈兽用，提升血量	Affix_FungusFighter_HPFix_Level_3	1	1		
5250	主线敌方蕈兽用，提升血量	Affix_FungusFighter_HPFix_Level_4	1	1		
5251	主线敌方蕈兽用，提升血量	Affix_FungusFighter_HPFix_Level_5	1	1		
5252	主线敌方蕈兽用，提升血量	Affix_FungusFighter_HPFix_Level_6	1	1		
5253	主线友方蕈兽用，提升血量	Affix_FungusFighter_HPFix_PlayerTeam	1	1		
5254	动态挂载与主角的飞行水上，用来发特殊的关卡消息(最后一个剧情关使用，血线调整到70%)	Fungus_BVB_Hero_FinalBattle	1			
5255	3.4连线挑战怪物词缀	MonsterAffix_ActivityTeamChainV3.4_Property1	1	1		
5256	3.4连线挑战怪物词缀	MonsterAffix_ActivityTeamChainV3.4_Property2	1	1		
5257	3.4连线挑战怪物词缀	MonsterAffix_ActivityTeamChainV3.4_Property3	1	1		
5258	3.4连线挑战怪物词缀	MonsterAffix_ActivityTeamChainV3.4_Property4	1	1		
5259	3.4连线挑战怪物词缀	MonsterAffix_ActivityTeamChainV3.4_Property5	1	1		
5260	海灯节_营地活动_怪物快速死亡	MonsterAffix_Activity_Quick_Death_Effect	1	1		
5261	海灯节_营地活动_怪物死亡创建爆炸Gadget	MonsterAffix_Activity_Deathrattle_Create_DoomGadget	1	1		
5262	3.4连线挑战 能量潮汐	MonsterAffix_ActivityTeamChainV3.4_UpDamage	1	1		
5263	3.4连线挑战 阵眼怪	MonsterAffix_ActivityTeamChainV3.4_Master	1	1		
5264	3.4连线挑战 从属怪	MonsterAffix_ActivityTeamChainV3.4_Slave	1	1		
5265	3.4连线挑战 隔山打牛	MonsterAffix_ActivityTeamChainV3.4_HitOtherMonster	1	1		
6001	元素V2白盒词缀-详见文档	MonsterAffix_IceDebuff_ForbidStaminaRecovery	1		Skill_S_Qin_01	
6101	冰伤害通用技能-详见文档	GeneralSkill_IceDamage_Prison	1		Skill_E_Ayaka	
6102	风伤害通用技能-详见文档	GeneralSkill_WindDamage_Vortex	1		Skill_E_Ayaka	
6103	岩伤害通用技能-详见文档	GeneralSkill_RockDamage_LowWave	1		Skill_E_Ayaka	
6104	电伤害通用技能-详见文档	GeneralSkill_ElecDamage_Arc	1		Skill_E_Ayaka	
6105	火伤害通用技能-详见文档	GeneralSkill_FireDamage_TracingImpulse	1		Skill_E_Ayaka	
6106	水伤害通用技能-详见文档	GeneralSkill_WaterDamage_Bubble	1		Skill_E_Ayaka	
6107	圆盘新增通用技能-详见文档	GeneralSkill_LowImpulse_Ice	1			
6108	圆盘新增通用技能-详见文档	GeneralSkill_WaterEnhance_SelfHeal	1			
6109	圆盘新增通用技能-详见文档	GeneralSkill_RockDamage_DeathRattleCrystal	1			
6110	圆盘新增通用技能-详见文档	GeneralSkill_Sovereign_Master	1			
6111	圆盘新增通用技能-详见文档	GeneralSkill_Sovereign_Slave	1			
6112	圆盘新增通用技能-详见文档	GeneralSkill_LowImpulse_Water	1			
6113	稻妻悬赏新增通用技能-详见文档	GeneralSkill_LowImpulse_Electric	1			
6114	稻妻悬赏新增通用技能-详见文档	GeneralSkill_ElecDamage_ThunderArea	1			
6115	深境螺旋-高攻速优势	GeneralSkill_SubHurtDelta_Periodicity	1			
6116	死域护盾效果，死域外用要看IP	GeneralSkill_DeathZone_Shield	1			
6117	死域重击效果，死域外用要看IP	GeneralSkill_DeathZone_ExtraAttack	1			
6118	周期以自身为中心触发一次脉冲波，对处于一定高度以下的玩家造成水元素伤害	MonsterAffix_LowImpulse_Water	1			
6119	周期以自身为中心触发一次脉冲波，对处于一定高度以下的玩家造成雷元素伤害	MonsterAffix_LowImpulse_Electric	1			
6120	首领脚底下有个圆环，如果玩家在环外，发落雷攻击玩家	MonsterAffix_ElecDamage_ThunderArea	1			
8001	怪物死亡掉落70330025	MonsterInfusionAffix_Crucible_Water_Small	1		Skill_E_Ayaka	
8002	怪物死亡掉落70330026	MonsterInfusionAffix_Crucible_Water_Big	1		Skill_E_Ayaka	
8003	怪物死亡掉落70330027	MonsterInfusionAffix_Crucible_Fire_Small	1		Skill_E_Ayaka	
8004	怪物死亡掉落70330028	MonsterInfusionAffix_Crucible_Fire_Big	1		Skill_E_Ayaka	
8005	怪物死亡掉落70330029	MonsterInfusionAffix_Crucible_Ice_Small	1		Skill_E_Ayaka	
8006	怪物死亡掉落70330030	MonsterInfusionAffix_Crucible_Ice_Big	1		Skill_E_Ayaka	
8007	怪物死亡掉落70330031	MonsterInfusionAffix_Crucible_Electric_Small	1		Skill_E_Ayaka	
8008	怪物死亡掉落70330032	MonsterInfusionAffix_Crucible_Electric_Big	1		Skill_E_Ayaka	
8009	怪物死亡掉落70330033	MonsterInfusionAffix_Crucible_Wind_Small	1		Skill_E_Ayaka	
8010	怪物死亡掉落70330034	MonsterInfusionAffix_Crucible_Wind_Big	1		Skill_E_Ayaka	
8011	怪物死亡掉落70330035	MonsterInfusionAffix_Crucible_Rock_Small	1		Skill_E_Ayaka	
8012	怪物死亡掉落70330036	MonsterInfusionAffix_Crucible_Rock_Big	1		Skill_E_Ayaka	
8013	怪物死亡掉落70330037	MonsterInfusionAffix_Crucible_Grass_Small	1		Skill_E_Ayaka	
8014	怪物死亡掉落70330038	MonsterInfusionAffix_Crucible_Grass_Big	1		Skill_E_Ayaka	
8015	怪物死亡随机掉落小球	MonsterInfusionAffix_Crucible_Random_Small	1		Skill_E_Ayaka	
8016	怪物死亡随机掉落大球	MonsterInfusionAffix_Crucible_Random_Big	1		Skill_E_Ayaka	
8017	怪物死亡掉落70330025 3个	MonsterInfusionAffix_Crucible_Water_Small_3	1		Skill_E_Ayaka	
8018	怪物死亡掉落70330026 3个	MonsterInfusionAffix_Crucible_Water_Big_3	1		Skill_E_Ayaka	
8019	怪物死亡掉落70330027 3个	MonsterInfusionAffix_Crucible_Fire_Small_3	1		Skill_E_Ayaka	
8020	怪物死亡掉落70330028 3个	MonsterInfusionAffix_Crucible_Fire_Big_3	1		Skill_E_Ayaka	
8021	怪物死亡掉落70330029 3个	MonsterInfusionAffix_Crucible_Ice_Small_3	1		Skill_E_Ayaka	
8022	怪物死亡掉落70330030 3个	MonsterInfusionAffix_Crucible_Ice_Big_3	1		Skill_E_Ayaka	
8023	陨石测试	MonsterAffix_Aster_Score	1		Skill_E_Ayaka	
8024	雪山-龙血结晶70590026	MonsterInfusionAffix_DulinsBlood	1		Skill_E_Ayaka	
9001	北风狼雷泽线任务标识	MonsterAffix_LupiBoreas_Razor		1	Skill_E_Ayaka	
9002	召唤怪跟随创建者的生命周期	MonsterAffix_Summon_Lifetime	1	1	Skill_E_Ayaka	
9003	盗宝鼬-等级1标识	MonsterAffix_Thoarder_Weasel_Level_01		1	Skill_E_Ayaka	
9004	盗宝鼬-等级2标识	MonsterAffix_Thoarder_Weasel_Level_02		1	Skill_E_Ayaka	
9005	盗宝鼬-等级3标识	MonsterAffix_Thoarder_Weasel_Level_03		1	Skill_E_Ayaka	
9006	风魔龙初见标识	MonsterAffix_Dvalin_S04_FirstSight		1	Skill_E_Ayaka	
9007	剧情任务-难度调节标签	MonsterAffix_Quest_Adjust		1	Skill_E_Ayaka	
9008	剧情任务-脱战逻辑标签	MonsterAffix_Quest_ReturnToBorn	1	1	Skill_E_Ayaka	
9009	快速死亡-TD总控	MonsterAffix_DieOptimize_LevelPlay	1			
20301	深渊咏者的精英化配置	MonsterAffix_Invoker_Deacon_Fire_Elite_Property,MonsterAffix_Invoker_Deacon_Fire_Elite_Summon,MonsterAffix_Invoker_Deacon_Fire_EliteSkill	1	1		
40103	遗迹重机挖矿活动-强化	Monster_Konungmathr_None_BattleState,Monster_Konungmathr_None_Enhance,Monster_Konungmathr_None_Enhance_CountDown,Monster_Konungmathr_None_Enhance_Tag,Monster_Konungmathr_None_Enhance_Keep,Monster_Konungmathr_None_Limbo,Monster_Konungmathr_None_Limbo_StateChange,Monster_Konungmathr_None_RealDie,Monster_Konungmathr_None_MachineCount_Improve,Monster_Konungmathr_None_Destroy_HatreControl,Monster_Konungmathr_None_Destroy_Move,Monster_Konungmathr_None_Destroy_Find,Monster_Konungmathr_None_DestroyLaser_Find,Monster_Konungmathr_None_Destroy_Laser,Monster_Konungmathr_None_Destroy_LaserDamage		1		
60203	雷电树3.0活动期间的Watcher触发动态词缀	Monster_Regisvine_Electric_Activity_WatcherHandle	1	1		
61101	超级蕈兽3.0活动期间的Watcher触发动态词缀	MonsterAffix_Activity_Fungus_Raptor_Watcher	1	1		
60401	岩龙蜥-水	Monster_Drake_Rock_WaterMode,Monster_Drake_Rock_WaterEnhance,Monster_Drake_Rock_CrushAtkCharging_Water,Monster_Drake_Rock_WaterEnhance_NormalAtkTrigger,Monster_Drake_Rock_WaterEnhance_SlapGround01Trigger,Monster_Drake_Rock_WaterEnhance_SlapGround02Trigger,Monster_Drake_Rock_WaterEnhance_SlapGround03Trigger,Monster_Drake_Rock_WaterEnhance_JumpAtkTrigger,Monster_Drake_Rock_WaterEnhance_JumpAtkFinalTrigger,Monster_Drake_Rock_WaterEnhance_Alert		1		
60402	岩龙蜥-火	Monster_Drake_Rock_FireMode,Monster_Drake_Rock_FireEnhance,Monster_Drake_Rock_JumpAtk_Alert_FireEnhance,Monster_Drake_Rock_JumpAtkFinal_Alert_FireEnhance,Monster_Drake_Rock_CrushAtkCharging_Fire,Monster_Drake_Rock_FireEnhance_JumpAtkTrigger,Monster_Drake_Rock_FireEnhance_JumpAtkFinalTrigger		1		
60403	岩龙蜥-冰	Monster_Drake_Rock_IceMode,Monster_Drake_Rock_IceEnhance,Monster_Drake_Rock_CrushAtkCharging_Ice,Monster_Drake_Rock_IceEnhance_NormalAtkTrigger,Monster_Drake_Rock_IceEnhance_SlapGround01Trigger,Monster_Drake_Rock_IceEnhance_SlapGround02Trigger,Monster_Drake_Rock_IceEnhance_SlapGround03Trigger,Monster_Drake_Rock_IceEnhance_JumpAtkTrigger,Monster_Drake_Rock_IceEnhance_JumpAtkFinalTrigger		1		
60404	岩龙蜥-电	Monster_Drake_Rock_ElecMode,Monster_Drake_Rock_ElecEnhance,Monster_Drake_Rock_CrushAtkCharging_Elec,Monster_Drake_Rock_ElecEnhance_NormalAtkTrigger,Monster_Drake_Rock_ElecEnhance_SlapGround01Trigger,Monster_Drake_Rock_ElecEnhance_SlapGround02Trigger,Monster_Drake_Rock_ElecEnhance_SlapGround03Trigger,Monster_Drake_Rock_ElecEnhance_JumpAtkTrigger,Monster_Drake_Rock_ElecEnhance_JumpAtkFinalTrigger		1		
60501	古岩龙蜥-水	Drake_Primo_Rock_SkinController_Water,Drake_Primo_Rock_Breathe_Water,Drake_Primo_Rock_ElementExplodeBS_Water,Drake_Primo_Rock_ScaleShot_Water,Drake_Primo_Rock_ScaleBurst_Water,Drake_Primo_Rock_BrokenH_Water			Skill_E_Ayaka	
