对话ID,触发方式,启用模式,[触发条件]组合,[触发条件]1类型,[触发条件]1参数1,[触发条件]1参数2,[触发条件]1参数3,[触发条件]2类型,[触发条件]2参数1,[触发条件]2参数2,[触发条件]2参数3,[触发条件]3类型,[触发条件]3参数1,[触发条件]3参数2,优先级,后续对话ID,初始台词ID,台词装饰ID,演员NpcID,专属父任务ID,额外加载标识ID,标识屏蔽NpcID,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2,[完成执行]1参数3,[完成执行]2类型,[完成执行]2参数1,[完成执行]2参数2,[完成执行]2参数3
31202,2,,,,,,,,,,,,,,1,,3120201,,35,,,,,,,,,,,
31234,2,,,,,,,,,,,,,,1,31235#31236,3123401,,86,,,,,,,,,,,
31235,,,,,,,,,,,,,,,,31237#31238#31239#31240#31241#31242,3123501,,86,,,,,,,,,,,
31236,,,,,,,,,,,,,,,,,3123601,,86,,,,,,,,,,,
31237,,,,,,,,,,,,,,,,31243,3123701,,86,,,,,,,,,,,
31238,,,,,,,,,,,,,,,,31243,3123801,,86,,,,,,,,,,,
31239,,,,,,,,,,,,,,,,31243,3123901,,86,,,,,,,,,,,
31240,,,,,,,,,,,,,,,,31243,3124001,,86,,,,,,,,,,,
31241,,,,,,,,,,,,,,,,31243,3124101,,86,,,,,,,,,,,
31242,,,,,,,,,,,,,,,,,3124201,,86,,,,,,,,,,,
31243,,,,,,,,,,,,,,,,31237#31238#31239#31240#31241#31242,3124301,,86,,,,,,,,,,,
31256,2,,,,,,,,,,,,,,4,,3125601,,93,,,,,,,,,,,
31257,,,,1,30904,3,,,,,,,,,5,,3125701,,93,,,,,,,,,,,
31258,2,,,,,,,,,,,,,,,,3125801,,94,,,,,,,,,,,
31259,2,,,1,800307,3,,,,,,,,,3,,3125901,,10922,,,,,,,,,,,
37002,2,1,,1,37002,2,,,,,,,,,1,,3700201,,1006,370,,,,,,,,,,
37005,2,1,,1,37005,2,,,,,,,,,1,,3700401,,1006,370,,,,,,,,,,
37003,2,1,1,1,99601,2,,,,,,,,,1,,9960101,,1004,,,,,,,,,,,
99401,2,1,1,1,99401,2,,,,,,,,,1,,3700104,,1006,,,,,,,,,,,
37101,2,1,1,1,37101,3,,1,37102,2,,,,,1,,3710101,,1243,371,,,,,,,,,,
37109,1,1,,1,37104,2,,,,,,,,,,,3710901,,1243,371,,,,,,,,,,
37115,2,1,1,1,37115,2,,1,37109,2,,,,,,,3711501,,1243,371,,,,,,,,,,
37201,2,1,,1,37203,2,,,,,,,,,,37203,,,1160,372,,,,,,,,,,
37203,,,,1,37203,2,,,,,,,,,,3720301,3720101,,1160,372,,,,,,,,,,
3720301,,,,1,37203,2,,,,,,,,,,,3720101,,1160,372,,,,,,,,,,
37302,2,1,,1,37302,2,,,,,,,,,,,3730201,,1001,373,,,,,,,,,,
37304,2,1,,1,37304,2,,,,,,,,,,,3730401,,1001,373,,,,,,,,,,
37310,2,1,1,1,37403,3,,2,37404,3,,,,,1,,3730901,,1161,374,,,,,,,,,,
37311,2,1,2,1,37501,2,,1,37502,2,,,,,1,,3730901,,1161,375,,,,,,,,,,
37312,2,1,1,1,37005,3,,2,37101,3,,,,,,,3730902,,1006,,,,,,,,,,,
37314,2,1,1,1,37005,3,,2,37101,3,,,,,,,3730926,,1007,,,,,,,,,,,
37407,2,1,,1,37407,2,,,,,,,,,1,,3740701,,1001,374,,,,,,,,,,
37402,1,1,1,1,37401,3,,1,37402,2,,,,,1,,3740201,,1001,374,,,,,,,,,,
37403,2,1,1,1,37403,3,,1,37404,2,,,,,1,,3740301,,1001,374,,,,,,,,,,
37404,2,1,1,1,37405,3,,1,37406,2,,,,,1,,3740401,,1161,374,,,,,,,,,,
37405,2,1,1,1,37404,3,,2,37405,3,,,,,1,,3740306,,1001,374,,,,,,,,,,
37406,2,1,1,1,37501,3,,2,37502,3,,,,,1,,3740306,,1001,375,,,,,,,,,,
37501,2,1,1,1,37406,3,,1,37501,2,,,,,1,,3750101,,1001,375,,,,,,,,,,
37503,1,1,,1,42101,2,,,,,,,,,1,,3750202,,1164,374,,,,,,,,,,
37504,1,1,,1,42101,2,,,,,,,,,1,,3750202,,1164,375,,,,,,,,,,
37505,1,1,,1,42101,2,,,,,,,,,1,,3750202,,1164,,,,,,,,,,,
37604,2,1,1,1,37604,3,,1,37605,2,,,,,1,,3760401,,1009,376,,,,,,,,,,
37605,2,1,,1,37606,2,,,,,,,,,1,,3760411,,1009,376,,,,,,,,,,
37606,2,1,1,1,37606,3,,1,37607,2,,,,,1,,3760601,,1009,376,,,,,,,,,,
37607,1,1,1,1,37607,3,,1,37608,2,,,,,1,,3760701,,1009,376,,,,,,,,,,
37702,2,1,1,1,37704,3,,1,37705,2,,,,,1,,3770201,,1009,377,,,,,,,,,,
37711,2,1,,1,37706,2,,,,,,,,,1,37712#37713,3770250,,1009,377,,,,,,,,,,
37712,,,,,,,,,,,,,,,,,3770251,,1009,377,,,,,,,,,,
37713,,,,,,,,,,,,,,,,,3770252,,1009,377,,,,,,,,,,
37703,2,1,1,1,37702,3,,1,37703,2,,,,,1,,3770301,,1009,,,,,,,,,,,
37704,2,1,1,1,37702,3,,1,37703,2,,,,,1,,3770302,,1001,,,,,,,,,,,
37705,2,1,2,1,37701,2,,1,37702,2,,,,,1,,3770303,,1009,,,,,,,,,,,
37706,2,1,2,1,37701,2,,1,37702,2,,,,,1,,3770304,,1001,,,,,,,,,,,
37902,2,1,1,1,37901,3,,1,37902,2,,,,,1,37903,3790201,,1001,379,,,,,,,,,,
37903,,1,,,,,,,,,,,,,1,,3790222,,1001,379,,,,,,,,,,
37904,1,1,,1,37904,2,,,,,,,,,1,,3790401,,1006,379,,,,,,,,,,
37905,2,1,1,1,38001,2,,1,38101,2,,,,,1,,3790501,,1001,380,,,,,,,,,,
37906,2,1,1,1,38001,2,,1,38101,2,,,,,,,3790502,,1006,380,,,,,,,,,,
37907,2,1,1,1,38001,2,,1,38101,2,,,,,,,3790503,,1009,380,,,,,,,,,,
38004,2,1,,1,38004,2,,,,,,,,,,,3810118,,1006,380,,,,,,,,,,
38105,2,1,,1,38105,2,,,,,,,,,,,3800113,,1006,381,,,,,,,,,,
38302,2,1,1,1,38301,3,,1,38302,2,,,,,1,38303,3830201,,1006,383,,,,,,,,,,
38303,,1,,,,,,,,,,,,,1,,3830211,,1001,383,,,,,,,,,,
38304,2,1,1,1,38303,3,,1,38304,2,,,,,1,,3830401,,1006,383,,,,,,,,,,
38305,2,1,2,1,38401,2,,1,38402,2,,,,,1,,3830501,,1001,,,,,,,,,,,
38306,2,1,2,1,38401,2,,1,38402,2,,,,,,,3830514,,1006,,,,,,,,,,,
38307,2,1,2,1,38401,2,,1,38402,2,,,,,,,3830527,,1009,,,,,,,,,,,
38402,2,1,1,1,38402,3,,1,38403,2,,,,,1,,3840201,,1001,384,,,,,,,,,,
38404,2,1,,1,38405,2,,,,,,,,,1,,3840401,,1001,384,,,,,,,,,,
38420,2,1,,1,38806,2,,,,,,,,,1,,3840803,,1009,388,,,,,,,,,,
38421,2,1,,1,38806,2,,,,,,,,,1,,3840801,,1001,388,,,,,,,,,,
38422,2,1,,1,38806,2,,,,,,,,,1,,3840802,,1006,388,,,,,,,,,,
39702,2,1,,1,39702,2,,,,,,,,,1,,3970201,,1009,397,,,,,,,,,,
39704,2,1,,1,39704,2,,,,,,,,,1,,3970401,,1001,397,,,,,,,,,,
38801,2,1,,1,38801,2,,,,,,,,,1,,3880101,,1001,388,,,,,,,,,,
38803,2,1,,1,38803,2,,,,,,,,,1,,3880301,,1001,388,,,,,,,,,,
38804,2,1,,1,38804,2,,,,,,,,,1,,3880401,,1001,388,,,,,,,,,,
38903,2,1,,1,38903,2,,,,,,,,,1,,3890301,,1001,389,,,,,,,,,,
38906,2,1,,1,38906,2,,,,,,,,,1,,3890601,,1001,389,,,,,,,,,,
39021,2,1,,1,39003,2,,,,,,,,,1,,3902101,,1009,390,,,,,,,,,,
39022,2,1,,1,39003,2,,,,,,,,,1,,3902201,,1001,390,,,,,,,,,,
39023,2,1,,1,39003,2,,,,,,,,,1,,3902301,,1006,390,,,,,,,,,,
39004,2,1,,1,39004,2,,,,,,,,,1,,3900401,,1001,390,,,,,,,,,,
39024,2,1,2,1,39005,2,,1,39006,2,,1,39007,2,1,,3902401,,1009,390,,,,,,,,,,
39025,2,1,2,1,39005,2,,1,39006,2,,1,39007,2,1,,3902501,,1001,390,,,,,,,,,,
39026,2,1,2,1,39005,2,,1,39006,2,,1,39007,2,1,,3902601,,1006,390,,,,,,,,,,
39301,2,1,,1,39303,2,,,,,,,,,1,,3930101,,1001,393,,,,,,,,,,
39801,1,1,,1,39801,2,,,,,,,,,5,,3980101,,1002,398,,,,,,,,,,
39802,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3980201,,142901,398,,,,,,,,,,
39803,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3980301,,146101,398,,,,,,,,,,
39804,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3980401,,140901,398,,,,,,,,,,
39807,1,1,,1,39807,2,,,,,,,,,5,,3980701,,1419#1004,398,,,,,,,,,,
39809,2,1,,1,39809,2,,,,,,,,,5,,3980901,,1002,398,,,,,,,,,,
39810,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3981001,,144301,398,,,,,,,,,,
39811,2,1,,1,39811,2,,,,,,,,,6,,3981101,,144301,398,,,,,,,,,,
39820,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3982001,,1002,398,,,,,,,,,,
39821,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3982101,,143301,398,,,,,,,,,,
39822,2,1,2,1,39802,2,,1,39803,2,,1,39804,2,5,,3982201,,144101,398,,,,,,,,,,
39602,1,1,,1,39602,2,,,,,,,,,5,,3960201,,1008,396,,,,,,,,,,
39605,1,1,,1,39605,2,,,,,,,,,5,,3960501,,1008,396,,,,,,,,,,
39600,2,1,,1,39604,2,,,,,,,,,5,,3960001,,1008,396,,,,,,,,,,
39606,2,1,,1,39604,2,,,,,,,,,5,39608,3960601,,1001,396,,,,,,,,,,
39607,2,1,,1,40001,2,,,,,,,,,5,,3960701,,1001,400,,,,,,,,,,
39608,,,,,,,,,,,,,,,,,3960701,,1001,396,,,,,,,,,,
40701,2,1,,1,40701,2,,,,,,,,,,40702#40901,4070101,,1105,,,,,,,,,,,
40702,,1,,,,,,,,,,,,,,,4070201,,1105,,,,,,,,,,,
40703,2,1,,1,40702,2,,,,,,,,,,,4070301,,1105,,,,,,,,,,,
40704,2,1,1,1,40702,4,,2,40703,3,,,,,,,4070401,,1105,,,,,,,,,,,
40705,2,1,1,1,40702,3,,2,40704,3,,,,,,,4070501,,1105,,,,,,,,,,,
40801,2,1,,1,40801,2,,,,,,,,,,40802#40803#40901,4080101,,1116,,,,,,,,,,,
40802,,1,,,,,,,,,,,,,,40804#40805#40809,4080201,,1116,,,,,,,,,,,
40803,,1,,,,,,,,,,,,,,40804#40805#40809,4080301,,1116,,,,,,,,,,,
40804,,1,,,,,,,,,,,,,,,4080401,,1116,,,,,,,,,,,
40805,,1,,,,,,,,,,,,,,,4080501,,1116,,,,,,,,,,,
40806,2,1,,1,40807,2,,,,,,,,,,,4080601,,1116,,,,,,,,,,,
40807,2,1,,1,40808,2,,,,,,,,,,,4080701,,1116,,,,,,,,,,,
40808,2,1,,1,40809,2,,,,,,,,,,,4080801,,1116,,,,,,,,,,,
40809,,1,,,,,,,,,,,,,,,4080901,,1116,,,,,,,,,,,
40810,2,1,,1,40806,2,,,,,,,,,,40804#40805#40809,4081001,,1116,,,,,,,,,,,
40811,2,1,1,1,40801,3,,1,40804,不能领取,,,,,,40802#40803#40901,4081101,,1116,,,,,,,,,,,
40901,,1,,,,,,,,,,,,,,,4090101,,1117,,,,,,,,,,,
40902,2,1,,1,40901,2,,,,,,,,,1,40903#40901,4090201,,1117,,,,,,,,,,,
40903,,1,,,,,,,,,,,,,,40907#40908,4090301,,1117,,,,,,,,,,,
40904,2,1,,1,40902,2,,,,,,,,,1,,4090401,,1117,,,,,,,,,,,
40905,2,1,1,1,40902,4,,2,40903,3,,,,,1,,4090501,,1117,,,,,,,,,,,
40906,2,1,1,1,40902,3,,2,40904,3,,,,,1,,4090601,,1117,,,,,,,,,,,
40907,,1,,,,,,,,,,,,,1,,4090701,,1117,,,,,,,,,,,
40908,,1,,,,,,,,,,,,,1,,4090801,,1117,,,,,,,,,,,
41802,2,1,,1,41801,2,,,,,,,,,5,,4180201,,1563,,,,,,,,,,,
41803,2,1,2,1,41802,2,,1,41805,2,,,,,5,,4180301,,1563,,,,,,,,,,,
42401,2,1,,1,42402,2,,,,,,,,,,42402#42403,4240101,,1220,,,,,,,,,,,
42402,,1,,,,,,,,,,,,,,,4240201,,1220,,,,,,,,,,,
42403,,1,,,,,,,,,,,,,,,4240301,,1220,,,,,,,,,,,
42404,2,1,,1,42403,2,,,,,,,,,,,4240401,,1220,,,,,,,,,,,
42405,,1,1,1,42403,4,,2,42404,3,,,,,,,4240501,,1220,,,,,,,,,,,
42406,2,1,1,1,42403,3,,2,42405,3,,,,,,,4240601,,1220,,,,,,,,,,,
42407,2,1,,1,42403,2,,,,,,,,,,,4240701,,1221,,,,,,,,,,,
42408,2,1,,1,42403,2,,,,,,,,,,,4240801,,1222,,,,,,,,,,,
42409,2,1,,1,42403,2,,,,,,,,,,,4240901,,1223,,,,,,,,,,,
42410,2,1,,1,42403,2,,,,,,,,,,,4241001,,1224,,,,,,,,,,,
42411,2,1,,1,42403,2,,,,,,,,,,,4241101,,1225,,,,,,,,,,,
42412,2,1,,1,42403,2,,,,,,,,,,,4241201,,1226,,,,,,,,,,,
42413,2,1,,1,42403,2,,,,,,,,,,,4241301,,1227,,,,,,,,,,,
42414,2,1,,1,42403,2,,,,,,,,,,,4241401,,1228,,,,,,,,,,,
42415,2,1,,1,42403,2,,,,,,,,,,,4241501,,1229,,,,,,,,,,,
42416,2,1,,1,42403,2,,,,,,,,,,,4241601,,1230,,,,,,,,,,,
42417,2,1,,1,42403,2,,,,,,,,,,,4241701,,1231,,,,,,,,,,,
42418,2,1,1,1,42403,2,,1,42406,3,,,,,,,4241801,,1235,,,,,,,,,,,
42419,2,1,1,1,42403,2,,1,42406,3,,,,,,,4241901,,1236,,,,,,,,,,,
42420,2,1,1,1,42403,2,,1,42406,3,,,,,,,4242001,,1237,,,,,,,,,,,
42421,2,1,1,1,42403,2,,1,42407,3,,,,,,,4242101,,1238,,,,,,,,,,,
42422,2,1,1,1,42403,2,,1,42407,3,,,,,,,4242201,,1239,,,,,,,,,,,
42423,2,1,1,1,42403,2,,1,42406,2,,,,,,,4242301,,1235,,,,,,,,,,,
42424,2,1,1,1,42403,2,,1,42406,2,,,,,,,4242401,,1236,,,,,,,,,,,
42425,2,1,1,1,42403,2,,1,42406,2,,,,,,,4242501,,1237,,,,,,,,,,,
42426,2,1,1,1,42403,2,,1,42407,2,,,,,,,4242601,,1238,,,,,,,,,,,
42427,2,1,1,1,42403,2,,1,42407,2,,,,,,,4242701,,1239,,,,,,,,,,,
42502,2,1,,1,42502,2,,,,,,,,,,42503#42504,4250201,,1160,425,,,,,,,,,,
42503,,1,,,,,,,,,,,,,,,4250202,,1160,425,,,,,,,,,,
42504,,1,,,,,,,,,,,,,,,4250203,,1160,425,,,,,,,,,,
42505,2,1,,1,42504,2,,,,,,,,,,42506#42507,4250301,,1160,425,,,,,,,,,,
42506,,1,,,,,,,,,,,,,,,4250302,,1160,425,,,,,,,,,,
42507,,1,,,,,,,,,,,,,,,4250303,,1160,425,,,,,,,,,,
42702,2,1,,1,42701,2,,,,,,,,,,,4270201,,1002,427,,,,,,,,,,
4270301,2,1,,1,42703,2,,,,,,,,,,4270303#4270305,4270301,,1002,427,,,,,,,,,,
4270303,,,,,,,,,,,,,,,,,4270303,,1002,427,,,,,,,,,,
4270305,,,,,,,,,,,,,,,,,4270305,,1002,427,,,,,,,,,,
4270601,2,1,,1,42706,2,,,,,,,,,,4270602#4270604,4270601,,1002,427,,,,,,,,,,
4270602,,,,,,,,,,,,,,,,,4270602,,1002,427,,,,,,,,,,
4270604,,,,,,,,,,,,,,,,,4270604,,1002,427,,,,,,,,,,
42704,2,1,,1,42704,2,,,,,,,,,,,4270401,,1002,427,,,,,,,,,,
42708,2,1,,1,42708,2,,,,,,,,,,,4270801,,1483,427,,,,,,,,,,
45101,1,1,,1,45107,2,,,,,,,,,1,,4510101,,1005,451,,,,,,,,,,
45103,2,1,,1,45104,2,,,,,,,,,,,4510301,,1011,451,,,,,,,,,,
45105,2,1,,1,45105,2,,,,,,,,,,,4510501,,1011,451,,,,,,,,,,
45106,2,1,1,1,45106,2,,3,100061,3,,,,,,,4510601,,1011,451,,,,,,,,,,
45107,2,1,1,1,45106,2,,8,100061,3,,,,,,,4510501,,1011,451,,,,,,,,,,
42601,2,1,,1,42602,2,,,,,,,,,,,4260101,,1005,426,,,,,,,,,,
45201,2,1,,1,45201,2,,,,,,,,,1,,4520101,,1002,452,,,,,,,,,,
45202,1,1,,1,45203,2,,,,,,,,,,,4520201,,1002,452,,,,,,,,,,
45203,2,1,,1,45205,2,,,,,,,,,,,4520301,,163101,452,,,,,,,,,,
45204,2,1,,1,45204,2,,,,,,,,,,,4520401,,1002,452,,,,,,,,,,
45301,1,1,,1,45301,2,,,,,,,,,,,4530101,,153701,453,,,,,,,,,,
45305,2,1,,1,45305,2,,,,,,,,,,,4530501,,1002,453,,,,,,,,,,
45306,1,1,,1,45306,2,,,,,,,,,,,4530601,,154301,453,,,,,,,,,,
45307,1,1,,1,45307,2,,,,,,,,,,,4530701,,1005,453,,,,,,,,,,
45308,1,1,,1,45308,2,,,,,,,,,,,4530801,,1005,453,,,,,,,,,,
45401,1,1,,1,45401,2,,,,,,,,,,,4540101,,1011,454,,,,,,,,,,
45402,2,1,,1,45402,2,,,,,,,,,,,4540201,,1002,454,,,,,,,,,,
45405,2,1,,1,45402,2,,,,,,,,,,,4540202,,1011,454,,,,,,,,,,
45403,2,1,1,1,45403,2,,3,100021,1,,,,,,,4540301,,1011,454,,,,,,,,,,
45404,2,1,1,1,45403,2,,8,100021,1,,,,,,,4540201,,1002,454,,,,,,,,,,
45407,2,1,1,1,45403,2,,8,100021,1,,,,,,,4540202,,1011,454,,,,,,,,,,
45406,1,1,,1,45406,2,,,,,,,,,,,4540601,,1011,454,,,,,,,,,,
45411,1,1,,1,45411,2,,,,,,,,,,,4541101,,1002,454,,,,,,,,,,
45413,1,1,,1,45413,2,,,,,,,,,,,4541301,,1011,454,,,,,,,,,,
45415,1,1,,1,45415,2,,,,,,,,,,,4541501,,1011,454,,,,,,,,,,
46101,2,1,,1,46101,2,,,,,,,,,5,,4610101,,1004,461,,,,,,,,,,
46102,2,1,,1,46109,2,,,,,,,,,5,,4610201,,1004,461,,,,,,,,,,
46115,2,1,2,1,46103,2,,1,46107,2,,,,,5,46111#46110#40215#40216#40217,4611501,,1409,461,,,,,,,,,,
46104,2,1,,1,46104,2,,,,,,,,,1,,4610404,,1409,461,,,,,,,,,,
46110,2,1,,1,46104,2,,,,,,,,,1,46104,4610403,,1409,461,,,,,,,,,,
46111,2,1,1,1,46104,3,,2,46107,3,,,,,1,46112,4611101,,1409,461,,,,,,,,,,
46112,2,1,1,1,46104,3,,2,46107,3,,,,,1,,4611201,,1409,461,,,,,,,,,,
46116,2,1,2,1,46103,2,,1,46107,2,,,,,5,46113#46105#40221#40223,4611601,,1411,461,,,,,,,,,,
46105,2,1,1,1,46105,2,,2,46103,3,,,,,1,,4610513,,1411,461,,,,,,,,,,
46113,2,1,1,1,46105,3,,2,46103,3,,,,,1,,4611301,,1411,461,,,,,,,,,,
46117,2,1,2,1,46103,2,,1,46107,2,,,,,5,46114#46106#40224#40225#40226,4611701,,1413,461,,,,,,,,,,
46106,2,1,1,1,46106,2,,2,46103,3,,,,,1,,4610612,,1413,461,,,,,,,,,,
46114,2,1,1,1,46106,3,,2,46103,3,,,,,1,,4611401,,1413,461,,,,,,,,,,
46108,1,1,,1,46107,2,,,,,,,,,5,,4610801,,1004,461,,,,,,,,,,
46109,2,1,1,1,46102,3,,2,46103,3,,,,,4,,4610901,,1004,461,,,,,,,,,,
46202,,1,,1,46202,2,,,,,,,,,5,,4620201,,1213,462,,,,,,,,,,
46203,2,1,,1,46203,2,,,,,,,,,5,,4620301,,1213,462,,,,,,,,,,
46204,2,1,1,1,46210,2,,1,46204,3,,2,46206,3,3,,4620401,,1005,462,,,,,,,,,,
46205,2,1,1,1,46205,2,,2,46204,3,,,,,5,,4620501,,1004,462,,,,,,,,,,
46207,2,1,1,1,46207,2,,2,46206,3,,,,,5,,4620701,,1004,462,,,,,,,,,,
46208,2,1,1,1,46107,3,,2,46203,3,,,,,4,,4620801,,1004,462,,,,,,,,,,
46209,2,1,,1,46208,2,,,,,,,,,4,,4620901,,1004,462,,,,,,,,,,
46210,2,1,,1,46209,2,,,,,,,,,4,,4621001,,1004,462,,,,,,,,,,
46211,2,1,,1,46203,3,,,,,,,,,4,,4621101,,1213,462,,,,,,,,,,
46300,2,1,,1,46300,2,,,,,,,,,4,,4630001,,1005,463,,,,,,,,,,
46301,2,1,,1,46307,2,,,,,,,,,5,,4630101,,1005,463,,,,,,,,,,
46303,2,1,,1,46303,2,,,,,,,,,5,,4630301,,1005,463,,,,,,,,,,
46305,2,1,,1,46305,2,,,,,,,,,4,,4630501,,1005,463,,,,,,,,,,
46306,2,1,1,1,46305,2,,1,46205,2,,1,46207,2,5,,4630601,,1005,463,,,,,,,,,,
46401,2,1,,1,46401,2,,,,,,,,,5,,4640101,,1465,464,,,,,,,,,,
46402,2,1,,1,46402,2,,,,,,,,,5,,4640201,,1431,464,,,,,,,,,,
46403,2,1,,1,46403,2,,,,,,,,,5,,4640301,,1439,464,,,,,,,,,,
46404,2,1,,1,46404,2,,,,,,,,,5,,4640401,,1427,464,,,,,,,,,,
46405,2,1,,1,46407,2,,,,,,,,,5,,4640501,,1009,464,,,,,,,,,,
46406,,,,1,46402,2,,,,,,,,,1,,4640601,,1423,464,,,,,,,,,,
46407,,,1,1,46402,2,,1,46403,2,,1,46404,2,1,,4640701,,1435,464,,,,,,,,,,
46408,2,1,2,1,46403,2,,1,46404,2,,,,,5,,4640801,,1401,464,,,,,,,,,,
46409,2,1,2,1,46403,2,,1,46404,2,,,,,5,,4640901,,1403,464,,,,,,,,,,
46410,,,,1,46404,2,,,,,,,,,1,,4641001,,1425,464,,,,,,,,,,
46411,,,1,1,46402,2,,1,46403,2,,1,46404,2,1,,4641101,,1417,464,,,,,,,,,,
46412,2,1,,1,46409,2,,,,,,,,,5,,4641201,,1218,464,,,,,,,,,,
46413,,,,1,46402,2,,,,,,,,,1,,4641301,,1405,464,,,,,,,,,,
46414,,,,1,46402,2,,,,,,,,,1,,4641401,,1455,464,,,,,,,,,,
46415,,,,1,46402,2,,,,,,,,,1,,4641501,,1461,464,,,,,,,,,,
46416,,,,1,46402,2,,,,,,,,,1,,4641601,,1463,464,,,,,,,,,,
46417,,,,1,46402,2,,,,,,,,,1,,4641701,,1419,464,,,,,,,,,,
46418,,,1,1,46402,2,,1,46403,2,,1,46404,2,1,,4641801,,1469,464,,,,,,,,,,
46419,,,,1,46403,2,,,,,,,,,1,,4641901,,1437,464,,,,,,,,,,
46501,2,1,,1,46503,2,,,,,,,,,5,,4650101,,1218,465,,,,,,,,,,
46502,2,1,,1,46505,2,,,,,,,,,5,,4650201,,1009,465,,,,,,,,,,
46503,2,1,2,1,46507,2,,1,46508,2,,,,,5,,4650301,,1009,465,,,,,,,,,,
46504,2,1,,1,46510,2,,,,,,,,,5,,4650401,,1219,465,,,,,,,,,,
46505,2,1,,1,46513,2,,,,,,,,,5,,4650501,,1218,465,,,,,,,,,,
46520,2,1,,1,46524,2,,,,,,,,,5,,4652001,,1009,465,,,,,,,,,,
46601,2,1,,1,46602,2,,,,,,,,,5,,4660101,,1009,466,,,,,,,,,,
46602,2,1,,1,46605,2,,,,,,,,,5,,4660201,,1009,466,,,,,,,,,,
46603,2,1,,1,46607,2,,,,,,,,,5,,4660301,,1009,466,,,,,,,,,,
46604,2,1,,1,46610,2,,,,,,,,,5,,4660401,,1009,466,,,,,,,,,,
46605,2,1,,1,46613,2,,,,,,,,,5,,4660501,,1009,466,,,,,,,,,,
46606,2,1,,1,46616,2,,,,,,,,,5,,4660601,,1009,466,,,,,,,,,,
46607,2,1,,1,46618,2,,,,,,,,,5,,4660701,,1009,466,,,,,,,,,,
46608,2,1,2,1,46621,2,,1,46622,2,,,,,4,,4660801,,1009,466,,,,,,,,,,
46609,2,1,1,1,46622,2,,3,100052,4,,,,,5,,4660901,,1009,466,,,,,,,,,,
46610,2,1,2,1,46622,2,,1,46604,2,,1,46605,2,4,,4661001,,10022,466,,,,,,,,,,
46611,2,1,,1,46620,2,,,,,,,,,4,,4661101,,1009,466,,,,,,,,,,
46612,2,1,,1,46620,2,,,,,,,,,4,,4661201,,1218,466,,,,,,,,,,
46613,2,1,,1,46606,2,,,,,,,,,4,,4661301,,1009,466,,,,,,,,,,
46701,2,1,,1,46702,2,,,,,,,,,5,,4670101,,1479,467,,,,,,,,,,
46702,2,1,1,1,46703,2,,3,100011,1,,3,100064,1,4,,4670201,,1479,467,,,,,,,,,,
46703,2,1,1,1,46703,2,,3,108011,1,,,,,5,,4670301,,1479,467,,,,,,,,,,
46711,2,1,1,1,46703,2,,3,108012,1,,,,,5,,4671101,,1479,467,,,,,,,,,,
46712,2,1,1,1,46703,2,,3,108013,1,,,,,5,,4671201,,1479,467,,,,,,,,,,
46713,2,1,1,1,46703,2,,3,108014,1,,,,,5,,4671301,,1479,467,,,,,,,,,,
46708,,1,,1,46703,2,,,,,,,,,3,,4670801,,1479,467,,,,,,,,,,
46709,,1,,1,46703,2,,,,,,,,,3,,4670901,,1479,467,,,,,,,,,,
46710,,1,,1,46703,2,,,,,,,,,3,,4671001,,1479,467,,,,,,,,,,
46801,2,1,,1,46801,2,,,,,,,,,5,46802#46803,4680101,,1533,468,,,,,,,,,,
46802,2,1,,1,46801,2,,,,,,,,,,,4680201,,1533,468,,,,,,,,,,
46803,2,1,,1,46801,2,,,,,,,,,,,4680301,,1533,468,,,,,,,,,,
46804,2,1,,1,46802,3,,,,,,,,,5,,4680401,,1533,468,,,,,,,,,,
46805,2,1,,1,46802,2,,,,,,,,,5,,4680501,,1533,468,,,,,,,,,,
47001,2,1,,1,47002,2,,,,,,,,,,,4700101,,1005,470,,,,,,,,,,
47002,2,1,,1,47004,2,,,,,,,,,,,4700201,,1005,470,,,,,,,,,,
48101,2,1,,1,48101,2,,,,,,,,,,,4810101,,1002,481,,,,,,,,,,
48001,2,1,,1,48001,2,,,,,,,,,,,4800101,,1002,480,,,,,,,,,,
4800301,2,1,,1,48003,2,,,,,,,,,,4800302#4800303,4800301,,1002,480,,,,,,,,,,
4800302,,1,,,,,,,,,,,,,,,4800303,,1002,480,,,,,,,,,,
4800303,,1,,,,,,,,,,,,,,,4800305,,1002,480,,,,,,,,,,
48004,2,1,,1,48004,2,,,,,,,,,,,4800401,,1002,480,,,,,,,,,,
48402,2,1,,1,48402,2,,,,,,,,,,,4840201,,1002,484,,,,,,,,,,
48409,2,1,,1,48409,2,,,,,,,,,,,4840601,,1002,484,,,,,,,,,,
48410,2,1,,1,48410,2,,,,,,,,,,,4840401,,1002,484,,,,,,,,,,
48422,2,1,,1,48423,2,,,,,,,,,,,4842201,,1002,484,,,,,,,,,,
48435,2,1,,1,48432,2,,,,,,,,,,,4843101,,1002,484,,,,,,,,,,
48436,2,1,,1,48432,3,,,,,,,,,,,4843121,,1256,484,,,,,,,,,,
