ID,类型,子类型,是否忽略navmesh,开启空间寻路,NavmeshMode,LevelEntityConfig,entity排序,指定角色列表,指定角色上限,是否检查关卡产出配置,保底拉回ScenePoint,联机模式,是否支持自定义地图标记,是否删除自定义地图标记,地城场景入口点,工具用地城类型,是否废弃blockbin,是否废弃SceneBin,关联场景ID
40034,2,,,,,,,,,1,,,,,,,,,
40035,2,,,,,,,,,1,,,,,,,,,
40036,2,,,,,,,,,1,,,,,,,,,
40037,2,,,,,,,,,1,,,,,,,,,
40038,2,,,,,,,,,1,,,,,,,,,
40039,2,,,,,,,,,1,,,,,,,,,
40040,2,,,,,,,,,1,,,,,,,,,
40041,2,,,,,,,,,1,,,,,,,,,
40042,2,,,,,,,,,1,,,,,,,,,
40043,2,,,,,,,,,1,,,,,,,,,
40044,2,,,,,,,,,1,,,,,,,,,
40045,2,,,,,,,,,1,,,,,,,,,
40046,2,,,,,,,,,1,,,,,,,,,
40047,2,,,,,,,,,1,,,,,,,,,
40048,2,,,,,,,,,1,,,,,,,,,
40049,2,,,,,,,,,1,,,,,,,,,
40050,2,,,,,,,,,1,,,,,,,,,
40051,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
40052,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
40053,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
40054,2,,,,,Level_Dungeon,,,,1,,,,,,,,,
40055,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40056,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40057,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40058,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40059,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40060,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40061,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40062,2,,,,,Level_EffigyChallenge,,,,1,,,,,,,,,
40100,2,,,,,,,,,1,,,,,,,,,
40101,2,,,,,,,,,1,,,,,,,,,
40102,2,,,,,,,,,1,,,,,,,,,
40103,2,,,,,,,,,0,,,,,,,,,
40104,2,,,,,,,,,0,,,,,,,,,
40105,2,,,,,,,,,1,,,,,,,,,
40200,2,,,,,,,,,1,,,,,,,,,
40201,2,,,,,,,,,1,,,,,,,,,
40202,2,,,,,,,,,1,,,,,,,,,
40203,2,,,,,,,,,1,,,,,,,,,
40300,2,,,,,,,,,1,,,,,,,,,
40301,2,,,,,,,,,1,,,,,,,,,
40302,2,,,,,,,,,1,,,,,,,,,
40303,2,,,,,,,,,1,,,,,,,,,
40400,2,,,,,,,,,1,,,,,,,,,
40401,2,,,,,,,,,1,,,,,,,,,
40402,2,,,,,,,,,1,,,,,,,,,
40403,2,,,,,,,,,1,,,,,,,,,
40404,2,,,,,,,,,1,,,,,,,,,
40405,2,,,,,,,,,0,,,,,,,,,
40406,2,,,,,,,,,0,,,,,,,,,
40407,2,,,,,,,,,0,,,,,,,,,
40408,2,,,,,,,,,1,,,,,,,,,
40409,2,,,,,,,,,1,,,,,,,,,
40410,2,,,,,,,,,1,,,,,,,,,
40500,2,,,,,,,,,1,,,,,,,,,
40501,2,,,,,,,,,1,,,,,,,,,
40502,2,,,,,,,,,1,,,,,,,,,
40503,2,,,,,,,,,1,,,,,,,,,
40504,2,,,,,,,,,1,,,,,,,,,
40505,2,,,,,,,,,1,,,,,,,,,
40506,2,,,,,,,,,1,,,,,,,,,
40507,2,,,,,,,,,0,,,,,,,,,
40508,2,,,,,,,,,1,,,,,,,,,
40509,2,,,,,,,,,1,,,,,,,,,
40510,2,,,,,,,,,1,,,,,,,,,
40511,2,,,,,,,,,1,,,,,,,,,
40512,2,,,,,,,,,1,,,,,,,,,
40513,2,,,,,,,,,0,,,,,,,,,
40514,2,,,,,,,,,1,,,,,,,,,
40515,2,,,,,,,,,1,,,,,,,,,
40516,2,,,,,,,,,1,,,,,,,,,
40517,2,,,,,,,,,1,,,,,,,,,
40600,2,,,,,,,,,1,,,,,,,,,
40601,2,,,,,,,,,1,,,,,,,,,
40602,2,,,,,,,,,1,,,,,,,,,
40603,2,,,,,,,,,1,,,,,,,,,
40604,2,,,,,,,,,1,,,,,,,,,
40605,2,,,,,,,,,1,,,,,,,,,
40606,2,,,,,,,,,0,,,,,,,,,
40607,2,,,,,,,,,1,,,,,,,,,
40608,2,,,,,,,,,1,,,,,,,,,
40609,2,,,,,,,,,1,,,,,,,,,
40610,2,,,,,,,,,1,,,,,,,,,
40611,2,,,,,,,,,0,,,,,,,,,
40612,2,,,,,,,,,1,,,,,,,,,
40613,2,,,,,,,,,1,,,,,,,,,
40614,2,,,,,,,,,1,,,,,,,,,
40615,2,,,,,,,,,1,,,,,,,,,
40616,2,,,,,,,,,0,,,,,,,,,
40617,2,,,,,,,,,1,,,,,,,,,
40618,2,,,,,,,,,1,,,,,,,,,
40619,2,,,,,,,,,1,,,,,,,,,
40620,2,,,,,,,,,1,,,,,,,,,
40650,2,,,,,,,,,1,,,,,,,,,
40651,2,,,,,,,,,1,,,,,,,,,
40652,2,,,,,,,,,1,,,,,,,,,
40653,2,,,,,,,,,1,,,,,,,,,
40700,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40701,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40702,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40703,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40750,2,,,,,,,,,1,,,,,,,,,
40751,2,,,,,,,,,1,,,,,,,,,
40752,2,,,,,,,,,1,,,,,,,,,
40753,2,,,,,,,,,1,,,,,,,,,
40754,2,,,,,,,,,1,,,,,,,,,
40755,2,,,,,,,,,1,,,,,,,,,
40756,2,,,,,,,,,1,,,,,,,,,
40757,2,,,,,,,,,1,,,,,,,,,
40800,2,,,,,,,,,0,,,,,,,,,
40801,2,,,,,,,,,1,,,,,,,,,
40802,2,,,,,,,,,1,,,,,,,,,
40803,2,,,,,,,,,1,,,,,,,,,
40804,2,,,,,,,,,1,,,,,,,,,
40805,2,,,,,,,,,0,,,,,,,,,
40806,2,,,,,,,,,1,,,,,,,,,
40807,2,,,,,,,,,1,,,,,,,,,
40808,2,,,,,,,,,1,,,,,,,,,
40809,2,,,,,,,,,1,,,,,,,,,
40900,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40901,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40902,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40903,2,,,,,TestLevel_Element_Evn_Rock,,,,1,,,,,,,,,
40950,2,,,,,,,,,1,,,,,,,,,
40951,2,,,,,,,,,1,,,,,,,,,
40952,2,,,,,,,,,1,,,,,,,,,
40953,2,,,,,,,,,1,,,,,,,,,
41000,2,,,,,,,,,1,,,,,,,,,
41001,2,,,,,,,,,1,,,,,,,,,
41002,2,,,,,,,,,1,,,,,,,,,
41003,2,,,,,,,,,1,,,,,,,,,
41004,2,,,,,,,,,1,,,,,,,,,
41005,2,,,,,,,,,1,,,,,,,,,
41006,2,,,,,,,,,1,,,,,,,,,
41007,2,,,,,,,,,1,,,,,,,,,
41008,2,,,,,,,,,1,,,,,,,,,
41009,2,,,,,,,,,1,,,,,,,,,
41010,2,,,,,,,,,1,,,,,,,,,
41011,2,,,,,,,,,1,,,,,,,,,
41012,2,,,,,,,,,1,,,,,,,,,
41013,2,,,,,,,,,1,,,,,,,,,
41014,2,,,,,,,,,1,,,,,,,,,
41015,2,,,,,,,,,1,,,,,,,,,
41016,2,,,,,,,,,1,,,,,,,,,
41017,2,,,,,,,,,1,,,,,,,,,
41018,2,,,,,,,,,1,,,,,,,,,
41019,2,,,,,,,,,1,,,,,,,,,
41020,2,,,,,,,,,1,,,,,,,,,
41021,2,,,,,,,,,1,,,,,,,,,
41022,2,,,,,,,,,1,,,,,,,,,
41023,2,,,,,,,,,1,,,,,,,,,
41024,2,,,,,,,,,1,,,,,,,,,
41025,2,,,,,,,,,1,,,,,,,,,
41026,2,,,,,,,,,1,,,,,,,,,
41027,2,,,,,,,,,1,,,,,,,,,
41028,2,,,,,,,,,1,,,,,,,,,
41029,2,,,,,,,,,1,,,,,,,,,
41030,2,,,,,,,,,1,,,,,,,,,
41031,2,,,,,,,,,1,,,,,,,,,
41032,2,,,,,,,,,1,,,,,,,,,
41033,2,,,,,,,,,1,,,,,,,,,
41034,2,,,,,,,,,1,,,,,,,,,
41035,2,,,,,,,,,1,,,,,,,,,
41036,2,,,,,,,,,1,,,,,,,,,
41037,2,,,,,,,,,1,,,,,,,,,
41038,2,,,,,,,,,1,,,,,,,,,
41039,2,,,,,,,,,1,,,,,,,,,
41040,2,,,,,,,,,1,,,,,,,,,
41041,2,,,,,,,,,1,,,,,,,,,
41042,2,,,,,,,,,1,,,,,,,,,
41043,2,,,,,,,,,1,,,,,,,,,
41044,2,,,,,,,,,1,,,,,,,,,
41045,2,,,,,,,,,1,,,,,,,,,
41046,2,,,,,,,,,1,,,,,,,,,
41047,2,,,,,,,,,1,,,,,,,,,
41048,2,,,,,,,,,1,,,,,,,,,
41049,2,,,,,,,,,1,,,,,,,,,
41050,2,,,,,,,,,1,,,,,,,,,
41051,2,,,,,,,,,1,,,,,,,,,
41052,2,,,,,,,,,1,,,,,,,,,
41053,2,,,,,,,,,1,,,,,,,,,
41054,2,,,,,,,,,1,,,,,,,,,
41055,2,,,,,,,,,1,,,,,,,,,
41056,2,,,,,,,,,1,,,,,,,,,
41057,2,,,,,,,,,1,,,,,,,,,
41058,2,,,,,,,,,1,,,,,,,,,
42001,2,,,,,,,,,1,,,,,,,,,
42002,2,,,,,,,,,1,,,,,,,,,
42003,2,,,,,,,,,1,,,,,,,,,
42004,2,,,,,,,,,1,,,,,,,,,
42005,2,,,,,,,,,1,,,,,,,,,
42006,2,,,,,,,,,1,,,,,,,,,
42007,2,,,,,,,,,1,,,,,,,,,
42008,2,,,,,,,,,1,,,,,,,,,
42009,2,,,,,,,,,1,,,,,,,,,
42010,2,,,,,,,,,1,,,,,,,,,
42011,2,,,,,,,,,1,,,,,,,,,
42012,2,,,,,,,,,1,,,,,,,,,
42013,2,,,,,,,,,1,,,,,,,,,
42014,2,,,,,,,,,1,,,,,,,,,
43001,2,,,,,,,,,1,,,,,,,,,
43002,2,,,,,,,,,1,,,,,,,,,
43003,2,,,,,,,,,1,,,,,,,,,
43004,2,,,,,,,,,1,,,,,,,,,
43005,2,,,,,,,,,1,,,,,,,,,
43006,2,,,,,,,,,1,,,,,,,,,
43007,2,,,,,,,,,1,,,,,,,,,
43008,2,,,,,,,,,1,,,,,,,,,
43009,2,,,,,,,,,1,,,,,,,,,
43010,2,,,,,,,,,1,,,,,,,,,
43011,2,,,,,,,,,1,,,,,,,,,
43012,2,,,,,,,,,1,,,,,,,,,
43013,2,,,,,,,,,1,,,,,,,,,
44001,2,,,,,,,,,1,,,,,,,,,
44002,2,,,,,,,,,1,,,,,,,,,
44003,2,,,,,,,,,1,,,,,,,,,
44004,2,,,,,,,,,1,,,,,,,,,
44005,2,,,,,,,,,1,,,,,,,,,
44006,2,,,,,,,,,1,,,,,,,,,
44007,2,,,,,,,,,1,,,,,,,,,
44011,2,,,,,,,,,1,,,,,,,,,
44012,2,,,,,,,,,1,,,,,,,,,
44013,2,,,,,,,,,1,,,,,,,,,
45000,2,,,,,,,,,1,,,,,,,,,
45001,2,,,,,,,,,1,,,,,,,,,
45002,2,,,,,,,,,1,,,,,,,,,
45003,2,,,,,,,,,1,,,,,,,,,
45004,2,,,,,,,,,1,,,,,,,,,
45005,2,,,,,,,,,1,,,,,,,,,
45006,2,,,,,,,,,1,,,,,,,,,
45007,2,,,,,,,,,1,,,,,,,,,
45008,2,,,,,,,,,1,,,,,,,,,
45009,2,,,,,,,,,1,,,,,,,,,
45010,2,,,,,,,,,1,,,,,,,,,
45011,2,,,,,,,,,1,,,,,,,,,
45012,2,,,,,,,,,1,,,,,,,,,
45013,2,,,,,,,,,1,,,,,,,,,
45014,2,,,,,,,,,1,,,,,,,,,
45015,2,,,,,,,,,1,,,,,,,,,
45016,2,,,,,,,,,1,,,,,,,,,
45017,2,,,,,,,,,1,,,,,,,,,
45018,2,,,,,,,,,1,,,,,,,,,
45019,2,,,,,,,,,1,,,,,,,,,
45020,2,,,,,,,,,1,,,,,,,,,
45050,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45051,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45052,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45053,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45054,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45055,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45056,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45057,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45058,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
45059,2,,,,,Level_UGC_Dungeon,,,,1,,,,,,,,,
46001,2,,,,,,,,,1,,,,,,,,,
46101,2,,,,,,,,,1,,,,,,,,,
46201,2,,,,,LevelEntity_Activity_V2_7_CYRogue_46201,,,,1,,,,,,,,,
46202,2,,,,,LevelEntity_Activity_V2_7_CYRogue_46202,,,,1,,,,,,,,,
46203,2,,,,,LevelEntity_Activity_V2_7_CYRogue_46203,,,,1,,,,,,,,,
46300,2,,,,,,,,,1,,,,,,,,,
46301,2,,,,,,,,,1,,,,,,,,,
46302,2,,,,,,,,,1,,,,,,,,,
46303,2,,,,,,,,,1,,,,,,,,,
46304,2,,,,,,,,,1,,,,,,,,,
46305,2,,,,,,,,,1,,,,,,,,,
46306,2,,,,,,,,,1,,,,,,,,,
47001,2,,,,,,,,,1,,,,,,,,,
47002,2,,,,,,,,,1,,,,,,,,,
47003,2,,,,,,,,,1,,,,,,,,,
47004,2,,,,,,,,,1,,,,,,,,,
47005,2,,,,,,,,,1,,,,,,,,,
47006,2,,,,,,,,,1,,,,,,,,,
47007,2,,,,,,,,,1,,,,,,,,,
47008,2,,,,,,,,,1,,,,,,,,,
47009,2,,,,,,,,,1,,,,,,,,,
47010,2,,,,,,,,,1,,,,,,,,,
47011,2,,,,,,,,,0,,,,,,,,,
47012,2,,,,,,,,,0,,,,,,,,,
47013,2,,,,,,,,,0,,,,,,,,,
47014,2,,,,,,,,,0,,,,,,,,,
47015,2,,,,,,,,,0,,,,,,,,,
47016,2,,,,,,,,,0,,,,,,,,,
47017,2,,,,,,,,,0,,,,,,,,,
47018,2,,,,,,,,,0,,,,,,,,,
47019,2,,,,,,,,,0,,,,,,,,,
47020,2,,,,,,,,,0,,,,,,,,,
47021,2,,,,,,,,,1,,,,,,,,,
47022,2,,,,,,,,,1,,,,,,,,,
47023,2,,,,,,,,,1,,,,,,,,,
47024,2,,,,,,,,,1,,,,,,,,,
47025,2,,,,,,,,,1,,,,,,,,,
47101,2,,,,,LevelEntity_Activity_V3_2_MushroomBeastBattle,,,,,,,,,,,,,
47102,2,,,,,LevelEntity_Activity_V3_2_MushroomBeastBattle,,,,,,,,,,,,,
47103,2,,,,,LevelEntity_Activity_V3_2_MushroomBeastBattle,,,,,,,,,,,,,
50002,2,,,,,TestLevel_Cold,,,,0,,,,,,,,,
50003,2,,,,,,,,,0,,,,,,,,,
50004,2,,,,,,,,,0,,,,,,,,,
50005,2,,,,,,,,,0,,,,,,,,,
50006,2,,,,,,,,,0,,,,,,,,,
50007,2,,,,,Level_ClimbTest1,,,,0,,,,,,,,,
50008,2,,,,,,,,,0,,,,,,,,,
50009,2,,,,,,,,,0,,,,,,,,,
50010,2,,,,,,,,,0,,,,,,,,,
50011,2,,,,,Level_Explode_Test,,,,0,,,,,,,,,
50012,2,,,,,Level_Swril_Test,,,,0,,,,,,,,,
50013,2,,,,,Level_Melt_Test,,,,0,,,,,,,,,
50014,2,,,,,,,,,0,,,,,,,,,
50015,2,,,,,,,,,0,,,,,,,,,
50016,2,,,,,,,,,0,,,,,,,,,
50017,2,,,,,,,,,0,,,,,,,,,
50018,2,,,,,,,,,0,,,,,,,,,
50019,2,,,,,TestLevel_Element_Evn_Rock,,,,0,,,,,,,,,
50020,1,,,,,,,,,0,,,,,,,,,
50021,2,,,,,,,,,0,,,,,,,,,
50022,2,,,,,,,,,0,,,,,,,,,
50023,2,,,,,,,,,0,,,,,,,,,
50024,2,,,,,LevelEntity_TowerBuff_ElementReactionHurt_Melt,,,,0,,,,,,,,,
50025,2,,,,,,,,,0,,,,,,,,,
50026,2,,,,,,,,,0,,,,,,,,,
50027,2,,,,,,,,,0,,,,,,,,,
50028,2,,,,,,,,,0,,,,,,,,,
50029,2,,,,,,,,,0,,,,,,,,,
50030,2,,,,,,,,,0,,,,,,,,,
50031,2,,,,,,,,,0,,,,,,,,,
50032,2,,,,,,,,,0,,,,,,,,,
50033,2,,,,,,,,,0,,,,,,,,,
50034,2,,,,,,,,,0,,,,,,,,,
50041,2,,,,,,,,,0,,,,,,,,,
50042,2,,,,,,,,,0,,,,,,,,,
50043,2,,,,,,,,,0,,,,,,,,,
50044,2,,,,,,,,,0,,,,,,,,,
50045,2,,,,,,,,,0,,,,,,,,,
50046,2,,,,,,,,,0,,,,,,,,,
50047,2,,,,,,,,,0,,,,,,,,,
50048,2,,,,,,,,,0,,,,,,,,,
50049,2,,,,,,,,,0,,,,,,,,,
50050,2,,,,,,,,,0,,,,,,,,,
50051,2,,,,,,,,,0,,,,,,,,,
50052,2,,,,,,,,,0,,,,,,,,,
50053,2,,,,,,,,,0,,,,,,,,,
50054,2,,,,,,,,,0,,,,,,,,,
50055,2,,,,,,,,,0,,,,,,,,,
50056,2,,,,,,,,,0,,,,,,,,,
50057,2,,,,,,,,,0,,,,,,,,,
50058,2,,,,,Level_Monster_Shougun_Setting,,,,0,,,,,,,,,
50059,2,,,,,Level_Monster_Shougun_Setting,,,,0,,,,,,,,,
50060,2,,,,,,,,,0,,,,,,,,,
50061,2,,,,,,,,,,,,,,,,,,
50062,2,,,,,,,,,0,,,,,,,,,
50063,2,,,,,,,,,0,,,,,,,,,
50064,2,,,,,,,,,0,,,,,,,,,
50065,2,,,,,,,,,0,,,,,,,,,
50066,2,,,,,,,,,0,,,,,,,,,
50067,2,,,,,,,,,0,,,,,,,,,
50068,2,,,,,,,,,,,,,,,,,,
50069,1,,,,,,,,,0,,,,,,,,,
50070,2,,,,,,,,,0,,,,,,,,,
50071,1,,,,,,,,,0,,,,,,,,,
50072,2,,,,,,,,,0,,,,,,,,,
50073,1,,,,,,,,,0,,,,,,,,,
50074,2,,,,,,,,,0,,,,,,,,,
50075,2,,,,,,,,,0,,,,,,,,,
50076,2,,,,,,,,,0,,,,,,,,,
50077,2,,,,,,,,,,,,,,,,,,
50078,2,1,,,,,,,,0,,,,,,,,,
50079,2,1,,,,Level_DreamDungeon_Mona,,,,0,,,,,,,,,
50080,2,1,,,,,,,,0,,,,,,,,,
50081,2,1,,,,Level_DreamDungeon_Mona,,,,0,,,,,,,,,
50082,2,1,,,,,,,,,,,,,,,,,
50083,2,1,,,,,,,,,,,,,,,,,
50084,2,1,,,,,,,,,,,,,,,,,
50085,2,1,,,,,,,,0,,,,,,,,,
50086,2,1,,,,,,,,0,,,,,,,,,
50087,2,1,,,,,,,,0,,,,,,,,,
50088,2,1,,,,,,,,,,,,,,,,,
50089,2,1,,,,,,,,,,,,,,,,,
50090,2,,,,,,,,,0,,,,,,,,,
50091,2,,,,,,,,,0,,,,,,,,,
50092,2,,,,,,,,,0,,,,,,,,,
50093,2,,,,,,,,,0,,,,,,,,,
50094,2,,,,,,,,,1,,,,,,,,,
50095,2,,,,,,,,,1,,,,,,,,,
50096,2,,,,,,,,,1,,,,,,,,,
50097,2,,,,,,,,,1,,,,,,,,,
50098,2,,,,,,,,,1,,,,,,,,,
50099,2,,,,,,,,,1,,,,,,,,,
51000,2,,,,,,,,,1,,,,,,,,,
51001,2,,,,,,,,,1,,,,,,,,,
51002,2,,,,,,,,,1,,,,,,,,,
51003,2,,,,,,,,,1,,,,,,,,,
51004,2,,,,,,,,,1,,,,,,,,,
51005,2,,,,,,,,,1,,,,,,,,,
51006,2,,,,,,,,,0,,,,,,,,,
51007,2,,,,,Level_BigWorld,,,,,,,,,,1,,,3
51008,2,,,,,Level_CharAmusement_Dungeon,,,,,,,,,,,,,
51009,2,,,,,LevelEntity_Activity_V3_2_MushroomBeastBattle,,,,,,,,,,,,,
