ID	AbilityName	[参数信息]1参数名	[参数信息]1参数	[参数信息]2参数名	[参数信息]2参数	[参数信息]3参数名	[参数信息]3参数	[参数信息]4参数名	[参数信息]4参数	[参数信息]5参数名	[参数信息]5参数	参数名列表	参数值列表	是否刷新所有AbilitySpecials
100148	LevelEntity_TowerBuff_AvatarHitMonsterHasElec_ImpactDamage	LevelEntity_ImpactDamage	6	ImpactDamageCD	2							LevelEntity_ImpactDamage,ImpactDamageCD	6,2	
100149	LevelEntity_TowerBuff_ElecAddHurtDelta	ElecSubHurtDelta	-0.1	StackingCD	1.2	MaxStackingNum	4	StackDuring	10			ElecSubHurtDelta,StackingCD,MaxStackingNum,StackDuring	-0.1,1.2,4,10	
100150	ActivityAbility_CrystalLink_Trigger_UltimateSkillHitDamage	TriggerCD	3									TriggerCD	3	
100151	ActivityAbility_CrystalLink_Trigger_UseSkill	TriggerCD	3									TriggerCD	3	
100152	ActivityAbility_CrystalLink_Trigger_OnAvatarIn	TriggerCD	3									TriggerCD	3	
100153	ActivityAbility_CrystalLink_Action_UltimateSkillDamageUp	UltimateSkillDamageUpLevel1	0.4	UltimateSkillDamageUpLevel2	0.6	UltimateSkillDamageUpLevel3	0.7	BuffDuration	20			UltimateSkillDamageUpLevel1,UltimateSkillDamageUpLevel2,UltimateSkillDamageUpLevel3,BuffDuration	0.4,0.6,0.7,20	
100154	ActivityAbility_CrystalLink_Action_IncreaseElemMastery	ElemMasteryUpValue1	80	ElemMasteryUpValue2	120	ElemMasteryUpValue3	140	BuffDuration	20			ElemMasteryUpValue1,ElemMasteryUpValue2,ElemMasteryUpValue3,BuffDuration	80,120,140,20	
100155	ActivityAbility_CrystalLink_Action_ChargeEfficiencyUp	ChargeEfficiencyUpRate1	0.5	ChargeEfficiencyUpRate2	0.75	ChargeEfficiencyUpRate3	0.875	BuffDuration	20			ChargeEfficiencyUpRate1,ChargeEfficiencyUpRate2,ChargeEfficiencyUpRate3,BuffDuration	0.5,0.75,0.875,20	
100156	ActivityAbility_CrystalLink_UltimateSkill_AttackUp	AttackUpDuration	15	AttackUpRate	0.05	UltimateAttackUpMaxLevel	8					AttackUpDuration,AttackUpRate,UltimateAttackUpMaxLevel	15,0.05,8	
100157	ActivityAbility_CrystalLink_Trigger_UseSkill_Level2	TriggerCD	3									TriggerCD	3	
100158	ActivityAbility_CrystalLink_Trigger_NormalAttackLanded_Counter	NormalAttack_MaxTime	4	TriggerCD	3							NormalAttack_MaxTime,TriggerCD	4,3	
100159	ActivityAbility_CrystalLink_Trigger_NormalAttackElementalDamage	TriggerCD	3									TriggerCD	3	
100160	ActivityAbility_CrystalLink_Action_NormalAttackDamageUp	NormalAttackDamageUpRate1	0.4	NormalAttackDamageUpRate2	0.6	NormalAttackDamageUpRate3	0.7	BuffDuration	20			NormalAttackDamageUpRate1,NormalAttackDamageUpRate2,NormalAttackDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100161	ActivityAbility_CrystalLink_Action_AllElementalDamageUp	AllElementalDamageUpRate1	0.4	AllElementalDamageUpRate2	0.6	AllElementalDamageUpRate3	0.7	BuffDuration	20			AllElementalDamageUpRate1,AllElementalDamageUpRate2,AllElementalDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100162	ActivityAbility_CrystalLink_Action_AttackSpeedUp	AttackSpeedUpRate1	0.2	AttackSpeedUpRate2	0.3	AttackSpeedUpRate3	0.35	BuffDuration	20			AttackSpeedUpRate1,AttackSpeedUpRate2,AttackSpeedUpRate3,BuffDuration	0.2,0.3,0.35,20	
100163	ActivityAbility_CrystalLink_QuicklyAttack	AddBuffCD	1	AtkUpRate	0.1	AtkUpDuration	8	MaxLevel	5			AddBuffCD,AtkUpRate,AtkUpDuration,MaxLevel	1,0.1,8,5	
100164	ActivityAbility_CrystalLink_Trigger_ElectricReaction	TriggerCD	3									TriggerCD	3	
100165	ActivityAbility_CrystalLink_Trigger_UseSkill_Level3	TriggerCD	3									TriggerCD	3	
100166	ActivityAbility_CrystalLink_Trigger_ElectricDamage	TriggerCD	3									TriggerCD	3	
100167	ActivityAbility_CrystalLink_Action_SkillDamageUp	SkillDamageUp1	0.4	SkillDamageUp2	0.6	SkillDamageUp3	0.7	BuffDuration	20			SkillDamageUp1,SkillDamageUp2,SkillDamageUp3,BuffDuration	0.4,0.6,0.7,20	
100168	ActivityAbility_CrystalLink_Action_IncreaseElemMastery_Level3	ElemMasteryUpValue1	80	ElemMasteryUpValue2	120	ElemMasteryUpValue3	140	BuffDuration	20			ElemMasteryUpValue1,ElemMasteryUpValue2,ElemMasteryUpValue3,BuffDuration	80,120,140,20	
100169	ActivityAbility_CrystalLink_Action_UltimateSkillDamageUp_Level3	UltimateSkillDamageUpLevel1	0.4	UltimateSkillDamageUpLevel2	0.6	UltimateSkillDamageUpLevel3	0.7	BuffDuration	20			UltimateSkillDamageUpLevel1,UltimateSkillDamageUpLevel2,UltimateSkillDamageUpLevel3,BuffDuration	0.4,0.6,0.7,20	
100170	ActivityAbility_CrystalLink_ElectricDamageUp	ElecAddHurtRate	0.4									ElecAddHurtRate	0.4	
100171	ActivityAbility_CrystalLink_Trigger_RockDamage	TriggerCD	3									TriggerCD	3	
100172	ActivityAbility_CrystalLink_Trigger_Crystallize	TriggerCD	3									TriggerCD	3	
100173	ActivityAbility_CrystalLink_Trigger_RockGadgetDestroyed	TriggerCD	3									TriggerCD	3	
100174	ActivityAbility_CrystalLink_Action_RockDamageUp	RockDamageUpRate1	0.4	RockDamageUpRate2	0.6	RockDamageUpRate3	0.7	BuffDuration	20			RockDamageUpRate1,RockDamageUpRate2,RockDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100175	ActivityAbility_CrystalLink_Action_DefenceUp	DefenceUpValue1	0.4	DefenceUpValue2	0.6	DefenceUpValue3	0.7	BuffDuration	20			DefenceUpValue1,DefenceUpValue2,DefenceUpValue3,BuffDuration	0.4,0.6,0.7,20	
100176	ActivityAbility_CrystalLink_Action_CriticalUp	CriticalUpValue1	0.25	CriticalUpValue2	0.375	CriticalUpValue3	0.4375	BuffDuration	20			CriticalUpValue1,CriticalUpValue2,CriticalUpValue3,BuffDuration	0.25,0.375,0.4375,20	
100177	ActivityAbility_CrystalLink_GetRockSeed_DamageUp	DamageUpRate	0.15	DamageUpDuration	8	RockSeedMaxLevel	3					DamageUpRate,DamageUpDuration,RockSeedMaxLevel	0.15,8,3	
100178	ActivityAbility_CrystalLink_Trigger_BeingHealed	TriggerCD	3									TriggerCD	3	
100179	ActivityAbility_CrystalLink_Trigger_HPDown	TriggerCD	3									TriggerCD	3	
100180	ActivityAbility_CrystalLink_Trigger_UseSkill_Level5	TriggerCD	3									TriggerCD	3	
100181	ActivityAbility_CrystalLink_Action_MaxHPUp	MaxHPUpValue1	0.4	MaxHPUpValue2	0.6	MaxHPUpValue3	0.7	BuffDuration	20			MaxHPUpValue1,MaxHPUpValue2,MaxHPUpValue3,BuffDuration	0.4,0.6,0.7,20	
100182	ActivityAbility_CrystalLink_Action_AttackUp	AttackUpValue1	0.35	AttackUpValue2	0.535	AttackUpValue3	0.6225	BuffDuration	20			AttackUpValue1,AttackUpValue2,AttackUpValue3,BuffDuration	0.35,0.535,0.6225,20	
100183	ActivityAbility_CrystalLink_Action_WaterDamageUp	WaterDamageUpRate1	0.4	WaterDamageUpRate2	0.6	WaterDamageUpRate3	0.7	BuffDuration	20			WaterDamageUpRate1,WaterDamageUpRate2,WaterDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100184	ActivityAbility_CrystalLink_Skill_UltimateSkill_DamageUp_ByCurHP	UltimateSkillDamageUpRatio	0.5	SkillDamageUpRatio	0.5							UltimateSkillDamageUpRatio,SkillDamageUpRatio	0.5,0.5	
100185	ActivityAbility_CrystalLink_DeathRattle_Corruption_LogicGadget	LoseHP_Amount	25	LoseHP_AmountRatio	0.0025	LoseHPBuff_duration	8	Backstage_HPRatio	0.15			LoseHP_Amount,LoseHP_AmountRatio,LoseHPBuff_duration,Backstage_HPRatio	25,0.0025,8,0.15	
100186	ActivityAbility_CrystalLink_Trigger_HitFrozenTarget	TriggerCD	3									TriggerCD	3	
100187	ActivityAbility_CrystalLink_Trigger_FrozenBroken	TriggerCD	3									TriggerCD	3	
100188	ActivityAbility_CrystalLink_Trigger_Frozen	TriggerCD	3									TriggerCD	3	
100189	ActivityAbility_CrystalLink_Action_WaterDamageUp_Level6	WaterDamageUpRate1	0.4	WaterDamageUpRate2	0.6	WaterDamageUpRate3	0.7	BuffDuration	20			WaterDamageUpRate1,WaterDamageUpRate2,WaterDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100190	ActivityAbility_CrystalLink_Action_IceDamageUp	IceDamageUpRate1	0.4	IceDamageUpRate2	0.6	IceDamageUpRate3	0.7	BuffDuration	20			IceDamageUpRate1,IceDamageUpRate2,IceDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100191	ActivityAbility_CrystalLink_Action_FrozenDamageUp	FrozenDamageUpRate1	0.4	FrozenDamageUpRate2	0.6	FrozenDamageUpRate3	0.7	BuffDuration	20			FrozenDamageUpRate1,FrozenDamageUpRate2,FrozenDamageUpRate3,BuffDuration	0.4,0.6,0.7,20	
100192	ActivityAbility_CrystalLink_FrozenTarget_DefenceDown	DefecnceDownRate	0.5	DefenceDownDuration	3							DefecnceDownRate,DefenceDownDuration	0.5,3	
100193	LevelEntity_LoopDungeon_UseSkill_GenerateBlastWave	BlastWaveDamageValue	4									BlastWaveDamageValue	4	
100194	ActivityAbility_CrystalLink_FeverUp_CriticalHurtUp	CriticalHurtUp_Level1	0.2	CriticalHurtUp_Level2	0.4	CriticalHurtUp_Level3	0.6	CriticalHurtUp_Level4	0.8			CriticalHurtUp_Level1,CriticalHurtUp_Level2,CriticalHurtUp_Level3,CriticalHurtUp_Level4	0.2,0.4,0.6,0.8	
100195	ActivityAbility_CrystalLink_Trigger_UseSkill_Level6	TriggerCD	3									TriggerCD	3	
100196	ActivityAbility_CrystalLink_Trigger_UseSkill_Level4	TriggerCD	3									TriggerCD	3	
100197	ActivityAbility_CrystalLink_Action_AttackUp_Level4	AttackUpValue1	0.35	AttackUpValue2	0.535	AttackUpValue3	0.6225	BuffDuration	20			AttackUpValue1,AttackUpValue2,AttackUpValue3,BuffDuration	0.35,0.535,0.6225,20	
100198	LevelEntity_TowerAvatarBuff_ClaymoreAddHurt	LevelEntity_ClaymoreAddHurt	0.75									LevelEntity_ClaymoreAddHurt	0.75	
100199	LevelEntity_TowerBuff_UseSkill_AddNormalAtkDamage	NormalAtk_AddHurt_Ratio	0.16	NormalAtk_AddHurt_Time	8	NormalAtk_AddHurt_Nums	3					NormalAtk_AddHurt_Ratio,NormalAtk_AddHurt_Time,NormalAtk_AddHurt_Nums	0.16,8,3	
100200	LevelEntity_TowerBuff_UseSkillHit_DecreaseTargetSubHurt	UseSkillHit_SubHurtDelta_Ratio	-0.12	UseSkillHit_SubHurtDelta_Time	8	UseSkillHit_SubHurtDelta_Nums	3					UseSkillHit_SubHurtDelta_Ratio,UseSkillHit_SubHurtDelta_Time,UseSkillHit_SubHurtDelta_Nums	-0.12,8,3	
100201	LevelEntity_TowerBuff_AvatarElementArt_HitMonster_ImpactDamage	LevelEntity_ImpactDamage_Ratio	6	ImpactDamageCD	1.2							LevelEntity_ImpactDamage_Ratio,ImpactDamageCD	6,1.2	
100202	ActivityAbility_ArenaChallenge_UltimateSkillDamageUp	DamageUpRatio	0.5	DamageUpRatioLV2	0.75							DamageUpRatio,DamageUpRatioLV2	0.5,0.75	
100203	ActivityAbility_ArenaChallenge_ReviveEnergy	ReviveInterval	2	EnergyValue	3							ReviveInterval,EnergyValue	2,3	
100204	ActivityAbility_ArenaChallenge_Steam_Melt_DamageUp	SteamDamageUp	0.4	MeltDamageUp	0.4							SteamDamageUp,MeltDamageUp	0.4,0.4	
100205	ActivityAbility_ArenaChallenge_Purple_After_Steam_Melt	PurpleDamageValue	26	GenerateCDTime	4							PurpleDamageValue,GenerateCDTime	26,4	
100206	ActivityAbility_ArenaChallenge_TriggerReact_Steam_Melt	Steam_Melt_CD	1									Steam_Melt_CD	1	
100207	ActivityAbility_ArenaChallenge_ElectricReact_EnermyDefenceDown	DefecnceDownRatio	0.5	DefenceDownDuration	4	DefecnceDownRatio_LV2	0.7					DefecnceDownRatio,DefenceDownDuration,DefecnceDownRatio_LV2	0.5,4,0.7	
100208	ActivityAbility_ArenaChallenge_ElectricReact_GenerateEnergyBall	EnergyBall_CD	4									EnergyBall_CD	4	
100209	ActivityAbility_ArenaChallenge_TriggerReact_Electric	ElectricReact_CD	1									ElectricReact_CD	1	
100210	ActivityAbility_ArenaChallenge_SwirlReact_DamageUp	DamageUpRatio	0.5	DamageUpDuration	4	DamageUpRatio_LV2	0.75					DamageUpRatio,DamageUpDuration,DamageUpRatio_LV2	0.5,4,0.75	
100211	ActivityAbility_ArenaChallenge_SwirlReact_GenerateEnergyBall	EnergyBall_CD	4									EnergyBall_CD	4	
100212	ActivityAbility_ArenaChallenge_TriggerReact_Swirl	SwirlReact_CD	1									SwirlReact_CD	1	
100213	ActivityAbility_ArenaChallenge_Claymore_DamageUp	ClaymoreDamageUpRatio	0.5									ClaymoreDamageUpRatio	0.5	
100214	ActivityAbility_ArenaChallenge_Claymore_AtkSpeedUp	AtkSpeedUpRatio	0.4									AtkSpeedUpRatio	0.4	
100215	ActivityAbility_ArenaChallenge_Claymore_AtkLand	Claymore_AtkLand_CD	1									Claymore_AtkLand_CD	1	
100216	ActivityAbility_ArenaChallenge_NormalAtkDamageUp	NormalAtkDamageUpRatio	0.5	NormalAtkDamageUpRatio_LV2	0.75							NormalAtkDamageUpRatio,NormalAtkDamageUpRatio_LV2	0.5,0.75	
100217	ActivityAbility_ArenaChallenge_NormalAttackLand_ReviveEnergy	ReviveEnergyAmount	4	ReviveEnergyCD	2							ReviveEnergyAmount,ReviveEnergyCD	4,2	
100218	ActivityAbility_ArenaChallenge_NormalAtkDamageLand	NormalAttackLand_CD	1									NormalAttackLand_CD	1	
100219	ActivityAbility_ArenaChallenge_HitFrozenTarget_DamageUp	DamageUpRate_Frozen	0.5									DamageUpRate_Frozen	0.5	
100220	ActivityAbility_ArenaChallenge_FrozenReact_DefenceDown	FrozenDefenceDownRate	0.6	FrozenDuration	4							FrozenDefenceDownRate,FrozenDuration	0.6,4	
100221	ActivityAbility_ArenaChallenge_TriggerReact_Freeze	Freeze_CD	1									Freeze_CD	1	
100222	ActivityAbility_RogueV2_StrengthenNormalAttack	RogueV2_StrengthenNormalAttack_AtkSpeed	0.3	RogueV2_StrengthenNormalAttack_HealMaxHpRatio	0.05	RogueV2_StrengthenNormalAttack_CDTime	3					RogueV2_StrengthenNormalAttack_AtkSpeed,RogueV2_StrengthenNormalAttack_HealMaxHpRatio,RogueV2_StrengthenNormalAttack_CDTime	0.3,0.05,3	
100223	ActivityAbility_RogueV2_ExtraAttack	RogueV2_ExtraAttack_Ratio	0.4									RogueV2_ExtraAttack_Ratio	0.4	
100224	ActivityAbility_RogueV2_ReviveEnergy	RogueV2_ReviveEnergy	3									RogueV2_ReviveEnergy	3	
100225	ActivityAbility_RogueV2_FallingWindZone	RogueV2_WindZone_CD	2									RogueV2_WindZone_CD	2	
100226	ActivityAbility_RogueV2_RockGadgetUp	RogueV2_RockResonance_ThinkInterval	3	RogueV2_RockResonance_Damage	10							RogueV2_RockResonance_ThinkInterval,RogueV2_RockResonance_Damage	3,10	
100227	ActivityAbility_RogueV2_EnergyMax_Strengthen	RogueV2_EnergyMax_Critical	0.3									RogueV2_EnergyMax_Critical	0.3	
100228	ActivityAbility_RogueV2_ChangeAvatarCD	RogueV2_ChangeAvatarCD_HealMaxHpRatio	0.15	RogueV2_ChangeAvatarCD_MoveSpeed	0.15	RogueV2_ChangeAvatarCD_AttackSpeedRatio	0.15					RogueV2_ChangeAvatarCD_HealMaxHpRatio,RogueV2_ChangeAvatarCD_MoveSpeed,RogueV2_ChangeAvatarCD_AttackSpeedRatio	0.15,0.15,0.15	
100229	ActivityAbility_RogueV2_HealAndHolyNova	Time	4	DamageRatio	0.6	MaxHealAmount	80000	RogueV2_HealAndHolyNova_CDTime	4			Time,DamageRatio,MaxHealAmount,RogueV2_HealAndHolyNova_CDTime	4,0.6,80000,4	
100230	ActivityAbility_RogueV2_Blue_NormalAttackDamageUp	RogueV2_Blue_NormalAttackDamageUp	0.15	RogueV2_Blue_NormalAttackBuffMaxCount	4	RogueV2_Blue_NormalAttack_BuffTime	5					RogueV2_Blue_NormalAttackDamageUp,RogueV2_Blue_NormalAttackBuffMaxCount,RogueV2_Blue_NormalAttack_BuffTime	0.15,4,5	
100231	ActivityAbility_RogueV2_Blue_ExtraAttackDamageUp	RogueV2_Blue_ExtraAttackDamageUp	0.2	RogueV2_Blue_ExtraAttackBuffMaxCount	3	RogueV2_Blue_ExtraAttack_BuffTime	8					RogueV2_Blue_ExtraAttackDamageUp,RogueV2_Blue_ExtraAttackBuffMaxCount,RogueV2_Blue_ExtraAttack_BuffTime	0.2,3,8	
100232	ActivityAbility_RogueV2_Blue_ExtraAttackGenerateBall	RogueV2_Blue_ExtraAttackGenerateBall_CD	1									RogueV2_Blue_ExtraAttackGenerateBall_CD	1	
100233	ActivityAbility_RogueV2_Blue_FallingAttackDamageUp	RogueV2_Blue_FallingAttackDamageUp	0.2	RogueV2_Blue_FallingAttackBuffMaxCount	3	RogueV2_Blue_FallingAttack_BuffTime	8					RogueV2_Blue_FallingAttackDamageUp,RogueV2_Blue_FallingAttackBuffMaxCount,RogueV2_Blue_FallingAttack_BuffTime	0.2,3,8	
100234	ActivityAbility_RogueV2_Blue_FallingAttack_ReviveEnergy	RogueV2_Blue_FallingAttack_ReviveEnergy	3	RogueV2_Blue_FallingAttack_ReviveEnergy_CD	1.5	RogueV2_Blue_FallingAttack_HealMaxHpRatio	0.03					RogueV2_Blue_FallingAttack_ReviveEnergy,RogueV2_Blue_FallingAttack_ReviveEnergy_CD,RogueV2_Blue_FallingAttack_HealMaxHpRatio	3,1.5,0.03	
100235	ActivityAbility_RogueV2_Blue_AfterUseUltimateSkill	RogueV2_Blue_AfterUseUltimateSkill_Ratio	0.5	RogueV2_Blue_AfterUseUltimateSkill_BuffTime	6							RogueV2_Blue_AfterUseUltimateSkill_Ratio,RogueV2_Blue_AfterUseUltimateSkill_BuffTime	0.5,6	
100236	ActivityAbility_RogueV2_Blue_ElecSubHurtDelta	RogueV2_Blue_ElecSubHurtDelta_Ratio	-0.4	RogueV2_Blue_ElecSubHurtDelta_Duration	5							RogueV2_Blue_ElecSubHurtDelta_Ratio,RogueV2_Blue_ElecSubHurtDelta_Duration	-0.4,5	
100237	ActivityAbility_RogueV2_Blue_CalculateWaterElecAvatar	RogueV2_Blue_WaterElecAddHurt_Ratio	0.2									RogueV2_Blue_WaterElecAddHurt_Ratio	0.2	
100238	ActivityAbility_RogueV2_Blue_PickUpCrystal	RogueV2_Blue_PickUpCrystal_HurtRatio	0.5	RogueV2_Blue_PickUpCrystal_Duration	6							RogueV2_Blue_PickUpCrystal_HurtRatio,RogueV2_Blue_PickUpCrystal_Duration	0.5,6	
100239	ActivityAbility_RogueV2_Blue_ShieldBeingHitDoAttack	RogueV2_Blue_ShieldCostMinusRatio	0.4	RogueV2_Blue_ShieldBeingHitDoAttack_Dmg	33.28	RogueV2_Blue_ShieldBeingHitDoAttack_CD	5					RogueV2_Blue_ShieldCostMinusRatio,RogueV2_Blue_ShieldBeingHitDoAttack_Dmg,RogueV2_Blue_ShieldBeingHitDoAttack_CD	0.4,33.28,5	
100240	ActivityAbility_RogueV2_Blue_ArtDamageUp	RogueV2_Blue_ArtDamageUp_Ratio	0.5	RogueV2_Blue_ArtDamageUp_Duration	6							RogueV2_Blue_ArtDamageUp_Ratio,RogueV2_Blue_ArtDamageUp_Duration	0.5,6	
100241	ActivityAbility_RogueV2_Blue_BeingHealed_MaxHpUp	RogueV2_Blue_BeingHealed_MaxHpUp_MaxHPRatio	0.6	RogueV2_Blue_BeingHealed_MaxHpUp_Duration	6							RogueV2_Blue_BeingHealed_MaxHpUp_MaxHPRatio,RogueV2_Blue_BeingHealed_MaxHpUp_Duration	0.6,6	
100242	ActivityAbility_RogueV2_Blue_BeingHealed_AtkUp	RogueV2_Blue_BeingHealed_AtkUp_HpRate	0.7	RogueV2_Blue_BeingHealed_AtkUp_Ratio	0.8	RogueV2_Blue_BeingHealed_AtkUp_Duration	5					RogueV2_Blue_BeingHealed_AtkUp_HpRate,RogueV2_Blue_BeingHealed_AtkUp_Ratio,RogueV2_Blue_BeingHealed_AtkUp_Duration	0.7,0.8,5	
100243	ActivityAbility_RogueV2_Blue_LoseHp_CritDmgUp	RogueV2_Blue_LoseHp_HPRatio	0.03	RogueV2_Blue_LoseHp_CriticalHurtDelta	0.8							RogueV2_Blue_LoseHp_HPRatio,RogueV2_Blue_LoseHp_CriticalHurtDelta	0.03,0.8	
100244	ActivityAbility_RogueV2_Blue_ElementalDamageUp	RogueV2_Blue_ElementalDamageUp	0.5									RogueV2_Blue_ElementalDamageUp	0.5	
100245	ActivityAbility_RogueV2_Blue_SwirlIncreaseWindDmg	RogueV2_Blue_SwirlIncreaseWindDmg	0.8	RogueV2_Blue_SwirlIncreaseWindDmg_Time	8							RogueV2_Blue_SwirlIncreaseWindDmg,RogueV2_Blue_SwirlIncreaseWindDmg_Time	0.8,8	
100246	ActivityAbility_RogueV2_Blue_WeaponCheck	RogueV2_Blue_WeaponCheck_AtkRate	0.6									RogueV2_Blue_WeaponCheck_AtkRate	0.6	
100247	ActivityAbility_RogueV2_Blue_NormalAttack_CJB	RogueV2_Blue_NormalAttack_CJB_MaxCount	3	RogueV2_Blue_NormalAttack_CJB_CD	2	RogueV2_Blue_NormalAttack_CJB_Damage	6.65					RogueV2_Blue_NormalAttack_CJB_MaxCount,RogueV2_Blue_NormalAttack_CJB_CD,RogueV2_Blue_NormalAttack_CJB_Damage	3,2,6.65	
100248	ActivityAbility_RogueV2_Blue_BigCDmgUp	RogueV2_Blue_BigCDmgUp_Ratio	0.25	RogueV2_Blue_BigCDmgUp_ThinkInterval	3	RogueV2_Blue_BigCDmgUp_Multiple	3					RogueV2_Blue_BigCDmgUp_Ratio,RogueV2_Blue_BigCDmgUp_ThinkInterval,RogueV2_Blue_BigCDmgUp_Multiple	0.25,3,3	
100249	ActivityAbility_SummerTimeV2_KazuhaAOE	ImpactDamageValue	55	ImpactDamageValue2	45	ImpactDamageValue3	40	ImpactDamageValue4	35			ImpactDamageValue,ImpactDamageValue2,ImpactDamageValue3,ImpactDamageValue4	55,45,40,35	
100250	ActivityAbility_SummerTimeV2_Dungeon_FallingAttackLand_CDDown	CDDown_Interval	2	CDDown_Duration	12							CDDown_Interval,CDDown_Duration	2,12	
100251	ActivityAbility_SummerTimeV2_Dungeon_SkillCDMinusRatioUp	SkillCDMinusRatioUp	0.2	DecreaseCDDuration	8							SkillCDMinusRatioUp,DecreaseCDDuration	0.2,8	
100252	ActivityAbility_SummerTimeV2_Dungeon_Kazuha_DamageUp	DamageUpRate	0.3	IncreaseDamageDuration	8							DamageUpRate,IncreaseDamageDuration	0.3,8	
100253	ActivityAbility_SummerTimeV2_Dungeon_Trigger_Skill_UltimateSkill_CDDown	SkillCD	3	UltimateSkillCD	3							SkillCD,UltimateSkillCD	3,3	
100254	ActivityAbility_SummerTimeV2_Kazuha_CDManager_Team	CDDown_Value1	1	CDDown_Value2	1	CDDown_Value3	0.5					CDDown_Value1,CDDown_Value2,CDDown_Value3	1,1,0.5	
100255	ActivityAbility_SummerTimeV2_Dungeon_AttackFrozenEnemy_IncreaseDamage	DamageUpRate	0.5	DamageUpDuration	8							DamageUpRate,DamageUpDuration	0.5,8	
100256	ActivityAbility_SummerTimeV2_Dungeon_Mona_StruggleBubble	BubbleDuration	8									BubbleDuration	8	
100257	ActivityAbility_SummerTimeV2_Dungeon_ElectricZone	Attack_Interval	2	Damage	6.5	Duration	8					Attack_Interval,Damage,Duration	2,6.5,8	
100258	ActivityAbility_SummerTimeV2_Dungeon_Fishcl_Crow	Crow_LifeTime	10	Crow_AttackInterval	1.5							Crow_LifeTime,Crow_AttackInterval	10,1.5	
100259	ActivityAbility_SummerTimeV2_Dungeon_Fishcl_Crow_Bullet	BulletDamage	5									BulletDamage	5	
100260	ActivityAbility_SummerTimeV2_Dungeon_FallingAttack_Impact	ImpactDamageValue	17	ImpactCD	2	BuffDuration	14					ImpactDamageValue,ImpactCD,BuffDuration	17,2,14	
100261	ActivityAbility_SwimStamina_Reduction	CostDownRatio	-0.3									CostDownRatio	-0.3	
100262	ActivityAbility_InstableSpray_FireDamageUp	FireDamageUp	1.1									FireDamageUp	1.1	
100263	ActivityAbility_InstableSpray_GrassDamageUp	GrassDamageUp	1.1									GrassDamageUp	1.1	
100264	ActivityAbility_InstableSpray_ElecDamageUp	ElecDamageUp	1.1									ElecDamageUp	1.1	
100265	ActivityAbility_InstableSpray_WaterDamageUp	WaterDamageUp	1.1									WaterDamageUp	1.1	
100266	ActivityAbility_InstableSpray_IceDamageUp	IceDamageUp	1.1									IceDamageUp	1.1	
100267	ActivityAbility_InstableSpray_ElemMasteryUp	ElemMasteryUp	200									ElemMasteryUp	200	
100268	ActivityAbility_InstableSpray_GrassReaction_ElemResistance_Down	SubHurtDownRate	0.4	SubHurtDownDuration	4							SubHurtDownRate,SubHurtDownDuration	0.4,4	
100269	ActivityAbility_InstableSpray_AttackUp	AttackUp	0.5									AttackUp	0.5	
100270	ActivityAbility_InstableSpray_ElecReaction_ReviveEnergy	ReviveValue	10	ReviveInterval	7							ReviveValue,ReviveInterval	10,7	
100271	ActivityAbility_InstableSpray_Frozen_DefenceDown	FrozenDefenceDownRate	0.25	FrozenDefenceDownDuration	10							FrozenDefenceDownRate,FrozenDefenceDownDuration	0.25,10	
100272	ActivityAbility_InstableSpray_Frozen_DamageUp	DamageUpValue	0.5									DamageUpValue	0.5	
100273	ActivityAbility_InstableSpray_Steam_Impact	ImpactDamage	18	ImpactInterval	5							ImpactDamage,ImpactInterval	18,5	
100274	ActivityAbility_InstableSpray_CriticalUp	CriticalUp	0.35									CriticalUp	0.35	
100275	ActivityAbility_InstableSpray_NormalAttack	NormalAttack	1.1									NormalAttack	1.1	
100276	ActivityAbility_InstableSpray_ExtraAttack	ExtraAttack	1.1									ExtraAttack	1.1	
100277	ActivityAbility_InstableSpray_ElementalArt	ImpactDamage	18	ImpactInterval	5							ImpactDamage,ImpactInterval	18,5	
100278	ActivityAbility_InstableSpray_FallingAttack_Impact	ImpactDamage	18	ImpactInterval	5							ImpactDamage,ImpactInterval	18,5	
100279	ActivityAbility_InstableSpray_ElemAddHurt_Up	ElemAddHurtUpRatio	0.5									ElemAddHurtUpRatio	0.5	
100280	ActivityAbility_InstableSpray_SpeedUp	AtkSpeedUpRatio	0.25									AtkSpeedUpRatio	0.25	
100281	Activity_Muqadas_Potion_Day_1_Normal_Gadget	DamageRatio	80									DamageRatio	80	
100282	Activity_Muqadas_Potion_Day_1_Enhanced_Gadget	DamageRatio	200									DamageRatio	200	
100283	Activity_Muqadas_Potion_Day_2_Normal_Gadget	DamageRatio	100									DamageRatio	100	
100284	Activity_Muqadas_Potion_Day_2_Enhanced_Gadget	DamageRatio	250									DamageRatio	250	
100285	Activity_Gadget_Muqadas_Potion_Water_Attacker	DamageRatio	15	Duration	5							DamageRatio,Duration	15,5	
100286	Activity_Gadget_Muqadas_Potion_Water_Attacker_Enhanced	DamageRatio	40	Duration	5							DamageRatio,Duration	40,5	
