挂节点类型	ID	区域ID	采集物ID	获得物品ID	额外获得物品ID	挂接位置	刷新CD	刷新优先级	刷新ID	[区块]1ID	[区块]1数量	初始不可交互	禁止客机交互	存档类型	禁止联机模式下交互	是否为多态采集物	能否被草神扫描
7004	77304004		77304004	100030		0	1	10		1004	1		1				
7005	77304005		77304005	100024		0	1	10		1004	1		1				
7006	77304006		77304006	100031		0	1	10		1004	1		1				
7007	77304007		77304007	100034		0	1	10		1004	1		1				
7008	77304008		77304008	100022		0	1	10		1004	1		1				
7009	77304009		77304009	100055		0	1	10		1004	1		1				
7010	77304010		77304010	100027		0	1	10		1004	1		1				
7011	77304011		77304011	100013		0	1	10		1004	1		1				
7012	77304012		77304012	100014		0	1	10		1004	1		1				
7013	77304013		77304013	100016		0	1	10		1004	1		1				
7014	77304014		77304014	100011		0	1	10		1004	1		1				
7015	77304015		77304015	101205		0	1	10		1004	1		1				
7016	77304016		77304016	100032		0	1	10		1004	1		1				
7017	77304017		77304017	100015		0	1	10		1004	1		1				
7018	77304018		77304018	100026		0	1	10		1004	1		1				
7019	77304019		77304019	100056		0	1	10		1004	1		1				
7020	77304020		77304020	101210		0	1	10		1004	1		1				
7021	77304021		77304021	101206		0	1	10		1004	1		1				
7022	77304022		77304022	373801		0	1	10		1004	1		1				
7023	77304023		77304023	373802		0	1	10		1004	1		1				
7024	77304024		77304024	373803		0	1	10		1004	1		1				
7025	77304025		77304025	373804		0	1	10		1004	1		1				
7026	77304026		77304026	373805		0	1	10		1004	1		1				
7027	77304027		77304027	373806		0	1	10		1004	1		1				
7028	77304028		77304028	373807		0	1	10		1004	1		1				
7029	77304029		77304029	373808		0	1	10		1004	1		1				
7030	77304030		77304030	373809		0	1	10		1004	1		1				
7031	77304031		77304043	101216		0	1	10	0	1004	1		1				
7032	77304032		77304044	101218		0	1	10	0	1004	1		1				
7033	77304033		77304045	101219		0	1	10		1004	1		1				
