最小等级,总索引,掉落ID,掉落次数
25,深渊使徒,345000500,1
30,深渊使徒,345000600,1
35,深渊使徒,345000700,1
40,深渊使徒,345000800,1
45,深渊使徒,345000900,1
50,深渊使徒,345001000,1
55,深渊使徒,345001100,1
60,深渊使徒,345001200,1
65,深渊使徒,345001300,1
70,深渊使徒,345001400,1
75,深渊使徒,345001500,1
80,深渊使徒,345001600,1
85,深渊使徒,345001700,1
90,深渊使徒,345001800,1
93,深渊使徒,345001900,1
100,深渊使徒,345002000,1
105,深渊使徒,345002100,1
110,深渊使徒,345002200,1
115,深渊使徒,345002300,1
120,深渊使徒,345002400,1
1,异化蕈兽,346000000,1
5,异化蕈兽,346000100,1
10,异化蕈兽,346000200,1
15,异化蕈兽,346000300,1
20,异化蕈兽,346000400,1
25,异化蕈兽,346000500,1
30,异化蕈兽,346000600,1
35,异化蕈兽,346000700,1
40,异化蕈兽,346000800,1
45,异化蕈兽,346000900,1
50,异化蕈兽,346001000,1
55,异化蕈兽,346001100,1
60,异化蕈兽,346001200,1
65,异化蕈兽,346001300,1
70,异化蕈兽,346001400,1
75,异化蕈兽,346001500,1
80,异化蕈兽,346001600,1
85,异化蕈兽,346001700,1
90,异化蕈兽,346001800,1
93,异化蕈兽,346001900,1
100,异化蕈兽,346002000,1
105,异化蕈兽,346002100,1
110,异化蕈兽,346002200,1
115,异化蕈兽,346002300,1
120,异化蕈兽,346002400,1
1,大异化蕈兽,347000000,1
5,大异化蕈兽,347000100,1
10,大异化蕈兽,347000200,1
15,大异化蕈兽,347000300,1
20,大异化蕈兽,347000400,1
25,大异化蕈兽,347000500,1
30,大异化蕈兽,347000600,1
35,大异化蕈兽,347000700,1
40,大异化蕈兽,347000800,1
45,大异化蕈兽,347000900,1
50,大异化蕈兽,347001000,1
55,大异化蕈兽,347001100,1
60,大异化蕈兽,347001200,1
65,大异化蕈兽,347001300,1
70,大异化蕈兽,347001400,1
75,大异化蕈兽,347001500,1
80,大异化蕈兽,347001600,1
85,大异化蕈兽,347001700,1
90,大异化蕈兽,347001800,1
93,大异化蕈兽,347001900,1
100,大异化蕈兽,347002000,1
105,大异化蕈兽,347002100,1
110,大异化蕈兽,347002200,1
115,大异化蕈兽,347002300,1
120,大异化蕈兽,347002400,1
1,遗迹龙兽,348000000,1
5,遗迹龙兽,348000100,1
10,遗迹龙兽,348000200,1
15,遗迹龙兽,348000300,1
20,遗迹龙兽,348000400,1
25,遗迹龙兽,348000500,1
30,遗迹龙兽,348000600,1
35,遗迹龙兽,348000700,1
40,遗迹龙兽,348000800,1
45,遗迹龙兽,348000900,1
50,遗迹龙兽,348001000,1
55,遗迹龙兽,348001100,1
60,遗迹龙兽,348001200,1
65,遗迹龙兽,348001300,1
70,遗迹龙兽,348001400,1
75,遗迹龙兽,348001500,1
80,遗迹龙兽,348001600,1
85,遗迹龙兽,348001700,1
90,遗迹龙兽,348001800,1
93,遗迹龙兽,348001900,1
100,遗迹龙兽,348002000,1
105,遗迹龙兽,348002100,1
110,遗迹龙兽,348002200,1
115,遗迹龙兽,348002300,1
120,遗迹龙兽,348002400,1
1,元能构装体,349000000,1
5,元能构装体,349000100,1
10,元能构装体,349000200,1
15,元能构装体,349000300,1
20,元能构装体,349000400,1
25,元能构装体,349000500,1
30,元能构装体,349000600,1
35,元能构装体,349000700,1
40,元能构装体,349000800,1
45,元能构装体,349000900,1
50,元能构装体,349001000,1
55,元能构装体,349001100,1
60,元能构装体,349001200,1
65,元能构装体,349001300,1
70,元能构装体,349001400,1
75,元能构装体,349001500,1
80,元能构装体,349001600,1
85,元能构装体,349001700,1
90,元能构装体,349001800,1
93,元能构装体,349001900,1
100,元能构装体,349002000,1
105,元能构装体,349002100,1
110,元能构装体,349002200,1
115,元能构装体,349002300,1
120,元能构装体,349002400,1
1,采集动物,381000000,1
5,采集动物,381000100,1
10,采集动物,381000200,1
15,采集动物,381000300,1
20,采集动物,381000400,1
25,采集动物,381000500,1
30,采集动物,381000600,1
35,采集动物,381000700,1
40,采集动物,381000800,1
45,采集动物,381000900,1
50,采集动物,381001000,1
55,采集动物,381001100,1
60,采集动物,381001200,1
65,采集动物,381001300,1
70,采集动物,381001400,1
75,采集动物,381001500,1
80,采集动物,381001600,1
85,采集动物,381001700,1
90,采集动物,381001800,1
93,采集动物,381001900,1
100,采集动物,381002000,1
105,采集动物,381002100,1
110,采集动物,381002200,1
115,采集动物,381002300,1
120,采集动物,381002400,1
1,走兽,382000000,1
5,走兽,382000100,1
10,走兽,382000200,1
15,走兽,382000300,1
20,走兽,382000400,1
25,走兽,382000500,1
30,走兽,382000600,1
35,走兽,382000700,1
40,走兽,382000800,1
45,走兽,382000900,1
50,走兽,382001000,1
55,走兽,382001100,1
60,走兽,382001200,1
65,走兽,382001300,1
70,走兽,382001400,1
75,走兽,382001500,1
80,走兽,382001600,1
85,走兽,382001700,1
90,走兽,382001800,1
93,走兽,382001900,1
100,走兽,382002000,1
105,走兽,382002100,1
110,走兽,382002200,1
115,走兽,382002300,1
120,走兽,382002400,1
1,鸟类,383000000,1
5,鸟类,383000100,1
10,鸟类,383000200,1
15,鸟类,383000300,1
20,鸟类,383000400,1
25,鸟类,383000500,1
30,鸟类,383000600,1
35,鸟类,383000700,1
40,鸟类,383000800,1
45,鸟类,383000900,1
50,鸟类,383001000,1
55,鸟类,383001100,1
60,鸟类,383001200,1
65,鸟类,383001300,1
70,鸟类,383001400,1
75,鸟类,383001500,1
80,鸟类,383001600,1
85,鸟类,383001700,1
90,鸟类,383001800,1
93,鸟类,383001900,1
100,鸟类,383002000,1
105,鸟类,383002100,1
110,鸟类,383002200,1
115,鸟类,383002300,1
120,鸟类,383002400,1
1,水族,384000000,1
5,水族,384000100,1
10,水族,384000200,1
15,水族,384000300,1
20,水族,384000400,1
25,水族,384000500,1
30,水族,384000600,1
35,水族,384000700,1
40,水族,384000800,1
45,水族,384000900,1
50,水族,384001000,1
55,水族,384001100,1
60,水族,384001200,1
65,水族,384001300,1
70,水族,384001400,1
75,水族,384001500,1
80,水族,384001600,1
85,水族,384001700,1
90,水族,384001800,1
93,水族,384001900,1
100,水族,384002000,1
105,水族,384002100,1
110,水族,384002200,1
115,水族,384002300,1
120,水族,384002400,1
1,魔法生物,385000000,1
5,魔法生物,385000100,1
10,魔法生物,385000200,1
15,魔法生物,385000300,1
20,魔法生物,385000400,1
25,魔法生物,385000500,1
30,魔法生物,385000600,1
35,魔法生物,385000700,1
40,魔法生物,385000800,1
45,魔法生物,385000900,1
50,魔法生物,385001000,1
55,魔法生物,385001100,1
60,魔法生物,385001200,1
65,魔法生物,385001300,1
70,魔法生物,385001400,1
75,魔法生物,385001500,1
80,魔法生物,385001600,1
85,魔法生物,385001700,1
90,魔法生物,385001800,1
93,魔法生物,385001900,1
100,魔法生物,385002000,1
105,魔法生物,385002100,1
110,魔法生物,385002200,1
115,魔法生物,385002300,1
120,魔法生物,385002400,1
