流水ID,牌库ID,牌子品级,概率,牌子ID,权重
1150,19,2,94,39,10
1151,19,2,94,40,10
1152,19,2,94,43,10
1153,19,2,94,44,10
1154,19,2,94,47,10
1155,19,2,94,49,10
1156,19,2,94,51,10
1157,19,2,94,53,10
1158,19,2,94,55,10
1159,19,2,94,57,10
1160,19,2,94,59,10
1161,19,2,94,61,10
1162,19,2,94,8,15
1163,19,2,94,9,15
1164,19,2,94,10,15
1165,19,2,94,11,15
1166,20,1,15,1,20
1167,20,1,15,2,20
1168,20,1,15,12,20
1169,20,1,15,13,20
1170,20,1,15,74,10
1171,20,1,15,77,5
1172,20,1,15,80,10
1173,20,1,15,83,40
1174,20,1,15,86,10
1175,20,1,15,89,5
1176,20,1,15,92,15
1177,20,1,15,105,10
1178,20,1,15,106,10
1179,20,1,15,107,10
1180,20,1,15,108,10
1181,20,1,15,109,10
1182,20,1,15,110,5
1183,20,1,15,111,10
1184,20,1,15,112,10
1185,20,2,85,3,10
1186,20,2,85,6,10
1187,20,2,85,7,10
1188,20,2,85,22,25
1189,20,2,85,62,10
1190,20,2,85,63,10
1191,20,2,85,64,10
1192,20,2,85,65,10
1193,20,2,85,66,10
1194,20,2,85,67,10
1195,20,2,85,68,10
1196,20,2,85,69,10
1197,20,2,85,70,10
1198,20,2,85,71,10
1199,20,2,85,75,10
1200,20,2,85,78,5
1201,20,2,85,81,10
1202,20,2,85,84,40
1203,20,2,85,87,10
1204,20,2,85,90,5
1205,20,2,85,93,15
1206,20,2,85,95,10
1207,20,2,85,96,10
1208,20,2,85,98,10
1209,20,2,85,113,5
1210,20,2,85,114,5
1211,20,2,85,115,10
