ID	类型	细分类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活间隔时间	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	结算倒计时	失败后退出等待时间	主动退出倒计时	结算显示1	结算显示2	结算显示3	结算显示4	结算后是否拦截主动复活	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	城市ID	地城状态
3031	17	0				35811		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3032	17	0				35812		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3033	17	0				35813		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3034	17	0				35814		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3035	17	0				35815		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3036	17	0				35816		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3037	17	0				35817		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3038	17	0				35818		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3040	24	0				35840		1	1	1	1	0			75			0	99			0	30	30	30						0	0	0	1689:100	2	1
3041	24	0				35841		1	1	1	1	0			75			0	99			0	30	30	30						0	0	0	1690:100	2	1
3042	24	0				35842		1	1	1	1	0			75			0	99			0	30	30	30						0	0	0	1691:100	2	1
3043	24	0				35843		1	1	1	1	0			75			0	99			0	30	30	30						0	0	0	1692:100	2	1
3044	24	0				35844		1	1	1	1	0			75			0	99			0	30	30	30						0	0	0	1693:100	2	1
3045	24	0				35845		1	1	1	1	0			75			0	99			0	30	30	30						0	0	0	1694:100	2	1
3310	6	0				33100		1	24	0	1	23			51			10				0	999	30	3						0	0	0		1	1
3311	6	0				33101		1	39	0	1	38			51			10				0	999	30	3						0	0	0		1	1
3312	6	0				33102		1	44	0	1	43			51			10				0	999	30	3						0	0	0		1	1
3313	6	0				33103		1	49	0	1	48			51			10				0	999	30	3						0	0	0		1	1
3410	6	0				34100		1	24	0	1	23			51			10				0	999	30	3						0	0	0		1	1
3411	6	0				34101		1	39	0	1	38			51			10				0	999	30	3						0	0	0		1	1
3412	6	0				34102		1	44	0	1	43			51			10				0	999	30	3						0	0	0		1	1
3413	6	0				34103		1	49	0	1	48			51			10				0	999	30	3						0	0	0		1	1
3510	6	0				35100		1	24	0	1	23			51			10				0	999	30	3						0	0	0		1	1
3511	6	0				35101		1	39	0	1	38			51			10				0	999	30	3						0	0	0		1	1
3512	6	0				35102		1	44	0	1	43			51			10				0	999	30	3						0	0	0		1	1
3513	6	0				35103		1	49	0	1	48			51			10				0	999	30	3						0	0	0		1	1
3341	6	0				33401		1	54	0	1	53			50			10				0	999	30	3						0	0	0		1	1
3342	6	0				33402		1	59	0	1	58			50			10				0	999	30	3						0	0	0		1	1
3343	6	0				33403		1	64	0	1	63			50			10				0	999	30	3						0	0	0		1	1
3344	6	0				33404		1	69	0	1	68			50			10				0	999	30	3						0	0	0		1	1
3441	6	0				34401		1	54	0	1	53			50			10				0	999	30	3						0	0	0		1	1
3442	6	0				34402		1	59	0	1	58			50			10				0	999	30	3						0	0	0		1	1
3443	6	0				34403		1	64	0	1	63			50			10				0	999	30	3						0	0	0		1	1
3444	6	0				34404		1	69	0	1	68			50			10				0	999	30	3						0	0	0		1	1
3541	6	0				35401		1	54	0	1	53			50			10				0	999	30	3						0	0	0		1	1
3542	6	0				35402		1	59	0	1	58			50			10				0	999	30	3						0	0	0		1	1
3543	6	0				35403		1	64	0	1	63			50			10				0	999	30	3						0	0	0		1	1
3544	6	0				35404		1	69	0	1	68			50			10				0	999	30	3						0	0	0		1	1
3370	6	0				33700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3371	6	0				33701		1	71	0	1	70			50			10				0	999	30	3						0	0	0		1	1
3372	6	0				33702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3373	6	0				33703		1	87	0	1	86			50			10				0	999	30	3						0	0	0		1	1
3374	6	0				33704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3375	6	0				33705		1	79	0	1	78			50			10				0	999	30	3						0	0	0		1	1
3376	6	0				33706		1	71	0	1	70			50			10				0	999	30	3						0	0	0		1	1
3377	6	0				33707		1	79	0	1	78			50			10				0	999	30	3						0	0	0		1	1
3378	6	0				33708		1	87	0	1	86			50			10				0	999	30	3						0	0	0		1	1
3379	6	0				33709		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3380	6	0				33710		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3381	6	0				33711		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3382	6	0				33712		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3383	6	0				33713		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3384	6	0				33714		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3385	6	0				33715		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3386	6	0				33716		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3387	6	0				33717		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3388	6	0				33718		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3389	6	0				33719		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3390	6	0				33720		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3391	6	0				33721		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3392	6	0				33722		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3393	6	0				33723		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3394	6	0				33724		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3395	6	0				33725		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3396	6	0				33726		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3397	6	0				33727		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3398	6	0				33728		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3399	6	0				33729		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3400	6	0				33730		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3401	6	0				33731		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3402	6	0				33732		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3403	6	0				33733		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3404	6	0				33734		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3405	6	0				33735		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3406	6	0				33736		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3407	6	0				33737		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3408	6	0				33738		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3409	6	0				33739		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3100	6	0				33740		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3101	6	0				33741		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3102	6	0				33742		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3103	6	0				33743		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3104	6	0				33744		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3470	6	0				34700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3471	6	0				34701		1	73	0	1	72			50			10				0	999	30	3						0	0	0		1	1
3472	6	0				34702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3473	6	0				34703		1	89	0	1	88			50			10				0	999	30	3						0	0	0		1	1
3474	6	0				34704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3475	6	0				34705		1	81	0	1	80			50			10				0	999	30	3						0	0	0		1	1
3476	6	0				34706		1	73	0	1	72			50			10				0	999	30	3						0	0	0		1	1
3477	6	0				34707		1	81	0	1	80			50			10				0	999	30	3						0	0	0		1	1
3478	6	0				34708		1	89	0	1	88			50			10				0	999	30	3						0	0	0		1	1
3479	6	0				34709		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3480	6	0				34710		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3481	6	0				34711		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3482	6	0				34712		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3483	6	0				34713		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3484	6	0				34714		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3485	6	0				34715		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3486	6	0				34716		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3487	6	0				34717		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3488	6	0				34718		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3489	6	0				34719		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3490	6	0				34720		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3491	6	0				34721		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3492	6	0				34722		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3493	6	0				34723		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3494	6	0				34724		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3495	6	0				34725		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3496	6	0				34726		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3497	6	0				34727		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3498	6	0				34728		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3499	6	0				34729		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3500	6	0				34730		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3501	6	0				34731		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3502	6	0				34732		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3503	6	0				34733		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3504	6	0				34734		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3505	6	0				34735		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3506	6	0				34736		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3507	6	0				34737		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3508	6	0				34738		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3509	6	0				34739		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3200	6	0				34740		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3201	6	0				34741		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3202	6	0				34742		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3203	6	0				34743		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3204	6	0				34744		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3570	6	0				35700		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3571	6	0				35701		1	75	0	1	74			50			10				0	999	30	3						0	0	0		1	1
3572	6	0				35702		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3573	6	0				35703		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3574	6	0				35704		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3575	6	0				35705		1	84	0	1	83			50			10				0	999	30	3						0	0	0		1	1
3576	6	0				35706		1	75	0	1	74			50			10				0	999	30	3						0	0	0		1	1
3577	6	0				35707		1	84	0	1	83			50			10				0	999	30	3						0	0	0		1	1
3578	6	0				35708		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3579	6	0				35709		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3580	6	0				35710		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3581	6	0				35711		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3582	6	0				35712		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3583	6	0				35713		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3584	6	0				35714		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3585	6	0				35715		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3586	6	0				35716		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3587	6	0				35717		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3588	6	0				35718		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3589	6	0				35719		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3590	6	0				35720		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3591	6	0				35721		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3592	6	0				35722		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3593	6	0				35723		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3594	6	0				35724		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3595	6	0				35725		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3596	6	0				35726		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3597	6	0				35727		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3598	6	0				35728		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3599	6	0				35729		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3600	6	0				35730		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3601	6	0				35731		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3602	6	0				35732		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3603	6	0				35733		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3604	6	0				35734		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3605	6	0				35735		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3606	6	0				35736		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3607	6	0				35737		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3608	6	0				35738		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3609	6	0				35739		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3300	6	0				35740		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3301	6	0				35741		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3302	6	0				35742		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3303	6	0				35743		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
3304	6	0				35744		1	90	0	1	89			50			10				0	999	30	3						0	0	0		1	1
4001	5	0				40001		1	8	1	1	7			14			5	3			0	60	30	3	1	3				0	0	0		1	2
4003	2	0				20010		1	12	3	1	11			15			5	3			0	60	30	3	1	3				0	0	0		1	2
4005	2	0				20014		1	21	12	1	20			11			5	3			0	60	30	3	1	3				0	0	0		1	2
4007	2	0				40008		1	25	16	15	24			65			5	3			230001	999	30	30	1	3				0	0	0		1	1
4010	2	0				40009		1	20	11	12	19			64			5	3			230000	999	30	30	1	3				0	0	0		1	1
4011	2	0				40014		1	30	21	18	29			66			5	3			230002	999	30	30	1	3				0	0	0		1	1
4012	2	0				40013		1	12	3	1	11			47			5	3			0	60	30	3	1	3				0	0	0		1	2
4013	2	0				40009		1	1	1	1	0			64			10	99			0	60	30	3						0	0	0		1	2
4014	2	0				40008		1	1	1	1	0			65			10	99			0	120	30	3						0	0	0		1	2
4015	2	0				40014		1	30	21	18	29			66			5	3			230002	999	30	3	1	3				0	0	0		1	2
4016	2	0				40015		1	70	61	35	69			71			10	99			230007	999	30	30						0	0	0		2	1
4017	2	0				40018		1	1	1	1	0			72			10	99			0	120	30	3						0	0	0		2	2
4018	2	0				40016		1	50	41	27	49			69			10	10			230005	999	30	30						0	0	0		2	1
4019	2	0				40017		1	60	51	1	59			70			10	10			0	120	30	3						0	0	0		2	2
4020	2	0				40019		1	60	51	30	59			73			10	10			230006	999	30	30						0	0	0		2	1
4021	2	0				40020		1	45	36	24	44			74			10	10			230004	999	30	30						0	0	0		2	1
4022	10	0				40026		1	20	11	16	19			87			10	99			226001	999	30	3						0	0	0		1	1
4023	10	0				40030		1	20	11	16	19			89			10	99			226002	999	30	3						0	0	0		1	1
4024	10	0				40031		1	20	11	16	19			90			10	99			226003	999	30	3						0	0	0		1	1
4025	10	0				40032		1	20	11	16	19			91			10	99			226004	999	30	3						0	0	0		1	1
4026	10	0				40033		1	20	11	16	19			92			10	99			226005	999	30	3						0	0	0		1	1
4027	10	0				40034		1	20	11	16	19			93			10	99			226006	999	30	3						0	0	0		1	1
4028	10	0				40035		1	20	11	16	19			94			10	99			226007	999	30	3						0	0	0		1	1
4029	10	0				40036		1	20	11	16	19			95			10	99			226008	999	30	3						0	0	0		1	1
4030	9	0				40037		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1551:100	2	1
4031	9	0				40038		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1551:100	2	1
4032	9	0				40039		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1553:100	2	1
4033	9	0				40040		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1553:100	2	1
4034	9	0				40041		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1552:100	2	1
4035	9	0				40042		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1552:100	2	1
4036	9	0				40043		2	0	1	1	0			165		10	999	999			0	999	30	30						0	0	0	1554:100	2	1
4037	2	0				40046		2	1	1	1	0			75			10	99			0	120	30	30						0	0	0		1	1
4038	2	0	1			40045		1	28	19	32	27			51			10	99			230202	120	30	3						0	0	0		3	1
4039	2	0	1			40047		1	30	21	35	29			51			10	99			230203	120	30	3						0	0	0		3	1
4040	2	0	1			40044		1	26	17	30	25			51			10	99			230201	120	30	3						0	0	0		3	1
4041	2	0	1			40048		1	32	23	38	31			51			10	99			230204	120	30	3						0	0	0		3	1
4042	2	0	1			40049		1	34	25	40	33			51			10	99			230205	120	30	3						0	0	0		3	1
4043	2	0	1			40050		1	34	25	40	33			51			5	99			0	120	30	3						0	0	0		3	1
4044	2	0	1			40051		1	28	19	24	27			247			10	99			230211	120	30	3						0	0	0		4	1
4045	2	0	1			40052		1	32	23	32	31			248			10	99			230213	120	30	3						0	0	0		4	1
4046	2	0	1			40053		1	26	17	20	25			249			10	99			230210	120	30	3						0	0	0	1737:100	4	1
4047	2	0	1			40054		1	30	21	28	29			250			10	99			230212	120	30	3						0	0	0	1736:100	4	1
4048	35	0				40059		2	0	1	1	0			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4049	35	0				40060		2	0	1	1	0			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4050	35	0				40061		2	0	1	1	0			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4051	35	0				40062		2	0	1	1	0			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4052	35	0	1			40055		2	30	21	1	29			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4053	35	0	1			40056		2	30	21	1	29			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4054	35	0	1			40057		2	30	21	1	29			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4055	35	0	1			40058		2	30	21	1	29			165		10	10	999			0	999	30	30					1	0	0	0		1	1
4601	2	0				50011		1	70	61	70	69			29			5	100			0	60	30	3	1	3				0	0	0		1	2
4602	2	0				50011		1	70	61	70	69			29			5	100			0	60	30	3	1	3				0	0	0		1	2
4603	2	0				50011		1	70	61	70	69			29			5	100			0	60	30	3	1	3				0	0	0		1	2
4200	3	2				40200		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82012700	1302:100	1	1
4201	3	2				40201		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82013300	1302:100	1	1
4202	3	2				40202		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82014100	1303:100	1	1
4203	3	2				40203		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82015000	1303:100	1	1
4210	3	2				40200		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82112700	1302:100	1	1
4211	3	2				40201		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82113300	1302:100	1	1
4212	3	2				40202		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82114100	1303:100	1	1
4213	3	2				40203		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82115000	1303:100	1	1
4220	3	2				40200		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82212700	1302:100	1	1
4221	3	2				40201		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82213300	1302:100	1	1
4222	3	2				40202		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82214100	1303:100	1	1
4223	3	2				40203		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82215000	1303:100	1	1
4230	3	2				40200		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82312700	1302:100	1	1
4231	3	2				40201		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82313300	1302:100	1	1
4232	3	2				40202		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82314100	1303:100	1	1
4233	3	2				40203		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82315000	1303:100	1	1
4300	3	3				40300		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83011300	1301:100	2	1
4301	3	3				40301		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83012600	1301:100	2	1
4302	3	3				40302		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83013500	1301:100	2	1
4303	3	3				40303		2	80	71	40	79			62			0	3			0	999	30	30	1					106	20	83014500	1301:100	2	1
4310	3	3				40300		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83111300	1301:100	2	1
4311	3	3				40301		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83112600	1301:100	2	1
4312	3	3				40302		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83113500	1301:100	2	1
4313	3	3				40303		2	80	71	40	79			62			0	3			0	999	30	30	1					106	20	83114500	1301:100	2	1
4320	3	3				40300		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83211300	1301:100	2	1
4321	3	3				40301		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83212600	1301:100	2	1
4322	3	3				40302		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83213500	1301:100	2	1
4323	3	3				40303		2	80	71	40	79			62			0	3			0	999	30	30	1					106	20	83214500	1301:100	2	1
4330	3	3				40300		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83311300	1301:100	2	1
4331	3	3				40301		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83312600	1301:100	2	1
4332	3	3				40302		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83313500	1301:100	2	1
4333	3	3				40303		2	80	71	40	79			62			0	3			0	999	30	30	1					106	20	83314500	1301:100	2	1
4340	3	3				40900		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83131300	1605:100	3	1
4341	3	3				40901		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83132600	1605:100	3	1
4342	3	3				40902		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83133500	1605:100	3	1
4343	3	3				40903		2	80	71	40	79			51			0	3			0	999	30	30	1					106	20	83134500	1605:100	3	1
4350	3	3				40900		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83231300	1605:100	3	1
4351	3	3				40901		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83232600	1605:100	3	1
4352	3	3				40902		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83233500	1605:100	3	1
4353	3	3				40903		2	80	71	40	79			51			0	3			0	999	30	30	1					106	20	83234500	1605:100	3	1
4360	3	3				40900		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83331300	1605:100	3	1
4361	3	3				40901		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83332600	1605:100	3	1
4362	3	3				40902		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83333500	1605:100	3	1
4363	3	3				40903		2	80	71	40	79			51			0	3			0	999	30	30	1					106	20	83334500	1605:100	3	1
4370	3	3				40754		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83141300	1726:100	4	1
4371	3	3				40755		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83142600	1726:100	4	1
4372	3	3				40756		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83143500	1726:100	4	1
4373	3	3				40757		2	80	71	40	79			51			0	3			0	999	30	30	1					106	20	83144500	1726:100	4	1
4374	3	3				40754		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83241300	1726:100	4	1
4375	3	3				40755		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83242600	1726:100	4	1
4376	3	3				40756		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83243500	1726:100	4	1
4377	3	3				40757		2	80	71	40	79			51			0	3			0	999	30	30	1					106	20	83244500	1726:100	4	1
4378	3	3				40754		2	15	6	1	14			51			0	3			0	999	30	30	1					106	20	83341300	1726:100	4	1
4379	3	3				40755		2	36	27	21	35			51			0	3			0	999	30	30	1					106	20	83342600	1726:100	4	1
4380	3	3				40756		2	59	50	30	58			51			0	3			0	999	30	30	1					106	20	83343500	1726:100	4	1
4381	3	3				40757		2	80	71	40	79			51			0	3			0	999	30	30	1					106	20	83344500	1726:100	4	1
4400	3	2				40950		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82132700	1604:100	3	1
4401	3	2				40951		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82133300	1604:100	3	1
4402	3	2				40952		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82134100	1604:100	3	1
4403	3	2				40953		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82135000	1604:100	3	1
4410	3	2				40950		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82232700	1604:100	3	1
4411	3	2				40951		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82233300	1604:100	3	1
4412	3	2				40952		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82234100	1604:100	3	1
4413	3	2				40953		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82235000	1604:100	3	1
4420	3	2				40950		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82332700	1604:100	3	1
4421	3	2				40951		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82333300	1604:100	3	1
4422	3	2				40952		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82334100	1604:100	3	1
4423	3	2				40953		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82335000	1604:100	3	1
4430	3	2				40750		2	38	29	1	37			51			0	3			0	999	30	30	1					106	20	82142700	1725:100	4	1
4431	3	2				40751		2	54	45	28	53			51			0	3			0	999	30	30	1					106	20	82143300	1725:100	4	1
4432	3	2				40752		2	71	62	36	70			51			0	3			0	999	30	30	1					106	20	82144100	1725:100	4	1
4433	3	2				40753		2	88	79	45	87			51			0	3			0	999	30	30	1					106	20	82145000	1725:100	4	1
