对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
6160610	2	1																			1		616061001		1606						
6160701	2	1																			3	6160705,6160702,6160703,6160704	616070101		1607						
6160702	2	1																			1		616070201		1607						
6160703	2	1																			1		616070301		1607						
6160704	2	1																			1		616070401		1607						
6160705	2	1		1	39403	3															1		616070501		1607						
6160801	2	1																			3	6160802,6160803,6160804	616080101		1608						
6160802	2	1																			1		616080201		1608						
6160803	2	1																			1		616080301		1608						
6160804	2	1																			1		616080401		1608						
6157701	2	1																			3	6157704,6157702,6157703	615770101		1577						
6157702	2	1																			1		615770201		1577						
6157703	2	1																			1		615770301		1577						
6157704	2	1		1	39403	3															1		615770401		1577						
6157401	2	1																			3	6157402,6157403	615740101		1574						
6157402	2	1																			1		615740201		1574						
6157403	2	1																			1		615740301		1574						
6159301	2	1																			3	6159302,6159303	615930101		1593						
6159302	2	1																			1		615930201		1593						
6159303	2	1																			1		615930301		1593						
6157801	2	1																			3	6157802,6157803	615780101		1578						
6157802	2	1																			1		615780201		1578						
6157803	2	1																			1		615780301		1578						
6160901	2	1																			3		616090101		1609						
6161001	2	1																			3		616090101		1610						
6242701	2	1																			3	6242702,6242703,6242704	624270101		2427						
6242702	2	1																			1		624270201		2427						
6242703	2	1																			1		624270301		2427						
6242704	2	1																			1		624270401		2427						
6230501	2	1																			3	2102144,6230502,6230503	623050101		2305						
6230502	2	1																			1	6230504,7192601	623050201		2305						
6230503	2	1																			1		623050301		2305						
6230504	2	1																			1		623050204		2305						
6162401	2	1																			3	1200005,6162402,6162403	616240101		1624						
6162402	2	1																			1		616240201		1624						
6162403	2	1																			1		616240301		1624						
6162405	2	1		1	1200309	3															4	1200005,6162406,6162407,6162408	616240501		1624						
6162406	2	1		1	1200309	3															1		616240601		1624						
6162407	2	1		1	1200309	3															1	6162409,6162410,7195201	616240701		1624						
6162408	2	1		1	1200309	3															1		616240801		1624						
6162409	2	1		1	1200309	3															1		616240706		1624						
6162410	2	1		1	1200309	3															1		616240710		1624						
6230601	2	1																			3	2102108,2102199,2102111,6230602,6230603,6230604	623060101		2306						
6230602	2	1																			1		623060201		2306						
6230603	2	1																			1	6230605	623060301		2306						
6230604	2	1																			1		623060401		2306						
6230605	2	1																			1	7192001	623060306		2306						
6230701	2	1																			3	4112605,6230702,6230703,6230704	623070101		2307						
6230702	2	1																			1		623070201		2307						
6230703	2	1																			1		623070301		2307						
6230704	2	1																			1		623070401		2307						
6230201	2	1																			3	7170801,6230202,6230203,6230204	623020101		2302						
6230202	2	1																			1	7192301	623020201		2302						
6230203	2	1																			1		623020301		2302						
6230204	2	1																			1		623020401		2302						
6163001	2	1																			3	6163002,6163003,6163004	616300101		1630						
6163002	2	1																			1		616300201		1630						
6163003	2	1																			1		616300301		1630						
6163004	2	1																			1		616300401		1630						
6163101	2	1																			3	6163102,6163103,6163104	616310101		1631						
6163102	2	1																			1		616310201		1631						
6163103	2	1																			1		616310301		1631						
6163104	2	1																			1		616310401		1631						
6163201	2	1																			3	6163202,6163203	616320101		1632						
6163202	2	1																			1		616320201		1632						
6163203	2	1																			1		616320301		1632						
6162501	2	1																			3	7180507,7180506,6162504,6162502,6162505,6162503	616250101		1625						
6162502	2	1																			1		616250201		1625						
6162503	2	1																			1		616250301		1625						
6162504	2	1																			1		616250401		1625						
6162505	2	1																			1	7191101	616250501		1625						
6162901	2	1																				6162905,6162902,6162903,6162904	616290101		2430						
6162902	2	1																					616290201		2430						
6162903	2	1																					616290301		2430						
6162904	2	1																					616290401		2430						
6162905	2	1																					616290501		2430						
6240001	2	1																			3	6240002,6240003,6240004	624000101		2400						
6240002	2	1																			1		624000201		2400						
6240003	2	1																			1		624000301		2400						
6240004	2	1																			1		624000401		2400						
6240101	2	1																			3	6240102,6240103,6240104	624010101		2401						
6240102	2	1																			1		624010201		2401						
6240103	2	1																			1		624010301		2401						
6240104	2	1																			1		624010401		2401						
6240201	2	1																			3	6240202,6240203	624020101		2402						
6240202	2	1																			1		624020201		2402						
6240203	2	1																			1		624020301		2402						
6240301	2	1																			3	6240302,6240306,6240303	624030101		2403						
6240302	2	1		46	71037	4															1	6240304	624030201		2403						
6240303	2	1																			1		624030301		2403						
6240304	2	1																			1	6240305,7193401	624030205		2403						
6240305	2	1																			1		624030208		2403						
6240401	2	1																			3	6240405,6240402,6240403,6240404	624040101		2404						
6240402	2	1																			1		624040201		2404						
6240403	2	1																			1		624040301		2404						
6240404	2	1																			1		624040401		2404						
6240405	2	1																			1		624040501		2404						
6240501	2	1																			3	6240502,6240503,6240504	624050101		2405						
6240502	2	1																			1		624050201		2405						
6240503	2	1																			1		624050301		2405						
6240504	2	1																			1		624050401		2405						
6240601	2	1																			3	6240602,6240603,6240604	624060101		2406						
6240602	2	1																			1		624060201		2406						
6240603	2	1																			1		624060301		2406						
6240604	2	1																			1		624060401		2406						
6240701	2	1																			3	6240702,6240703,6240704	624070101		2407						
6240702	2	1																			1		624070201		2407						
6240703	2	1																			1		624070301		2407						
6240704	2	1																			1		624070401		2407						
6240801	2	1																			3	6240802,6240803,6240804	624080101		2408						
6240802	2	1																			1		624080201		2408						
6240803	2	1																			1	7193501	624080301		2408						
6240804	2	1																			1		624080401		2408						
6240902	2	1																			1		624090201		2409						
6240903	2	1																			1		624090301		2409						
6240904	2	1																			1		624090401		2409						
6240905	2	1																			4	7100701,6240902,6240903,6240904	624090501		2409						
6241001	2	1																			3	6241002,6241003	624100101		2410						
6241002	2	1																			1		624100201		2410						
6241003	2	1																			1		624100301		2410						
6241101	2	1																			3	6241102,6241103	624110101		2411						
6241102	2	1																			1	6241104	624110201		2411						
6241103	2	1																			1		624110301		2411						
6241104	2	1																			1	6241105,7193701	624110205		2411						
6241105	2	1																			1		624110208		2411						
6241801	2	1																			3	6241802,6241803,6241804	624180101		2418						
6241802	2	1																			1		624180201		2418						
6241803	2	1																			1		624180301		2418						
6241804	2	1																			1		624180401		2418						
6241901	2	1																			3	6241902,6241905	624190101		2419						
6241902	2	1																			1	6241903,6241904,7193301	624190201		2419						
6241903	2	1																			1		624190203		2419						
6241904	2	1																			1		624190206		2419						
6241905	2	1																			1		624190301		2419						
6242001	2	1																			3	6242002,6242003,6242004	624200101		2420						
6242002	2	1																			1		624200201		2420						
6242003	2	1																			1		624200301		2420						
6242004	2	1																			1		624200401		2420						
6242101	2	1																			3	6242102,6242103	624210101		2421						
6242102	2	1																			1		624210201		2421						
6242103	2	1																			1		624210301		2421						
6242201	2	1																			3	6242202,6242203,6242204	624220101		2422						
6242202	2	1																			1	7193601	624220201		2422						
6242203	2	1																			1		624220301		2422						
6242204	2	1																			1		624220401		2422						
6220001	2	1																			3	6220002,6220003	622000101		2200						
6220002	2	1																			1	6220004,6220005	622000201		2200						
6220003	2	1																			1		622000301		2200						
6220004	2	1																			1	7192801	622000203		2200						
6220005	2	1																			1		622000207		2200						
6220101	2	1																			3	6220102,6220103	622010101		2201						
6220102	2	1																			1	6220104,7193001	622010201		2201						
6220103	2	1																			1		622010301		2201						
6220104	2	1																			1		622010205		2201						
6220201	2	1																			3	6220202,6220203,6220204	622020101		2202						
6220202	2	1																			1		622020201		2202						
6220203	2	1																			1		622020301		2202						
6220204	2	1																			1		622020401		2202						
6220301	2	1																			3	6220302,6220303	622030101		2203						
6220302	2	1																			1		622030201		2203						
6220303	2	1																			1		622030301		2203						
6220401	2	1																			3	4114103,4114403,4114703,4115003,4115303,4115603,4115903,7170501,7170601,7170701,6220402,6220403	622040101		2204						
6220402	2	1																			1		622040201		2204						
6220403	2	1																			1		622040301		2204						
6220405	2	1		1	100317	3															4	4114103,4114403,4114703,4115003,4115303,4115603,4115903,7170501,7170601,7170701,6220406,6220407	622040501		2204						
6220406	2	1		1	100317	3															1		622040601		2204						
6220407	2	1		1	100317	3															1		622040701		2204						
6220501	2	1																			3	6220502,6220504,6220503	622050101		2205						
6220502	2	1																			1		622050201		2205						
6220503	2	1																			1		622050301		2205						
6220504	2	1																			1		622050401		2205						
6230001	2	1																			3	2102188,6230005,6230002,6230003,6230004	623000101		2300						
6230002	2	1																			1		623000201		2300						
6230003	2	1																			1		623000301		2300						
6230004	2	1																			1		623000401		2300						
6230005	2	1																			1		623000501		2300						
6230801	2	1																			3	2102166,6230802,6230803,6230804	623080101		2308						
6230802	2	1																			1	6230805,7192401	623080201		2308						
6230803	2	1																			1		623080301		2308						
6230804	2	1																			1		623080401		2308						
6230805	2	1																			1		623080206		2308						
6230301	2	1																			3	2102155,6230302,6230303	623030101		2303						
6230302	2	1																			1		623030201		2303						
6230303	2	1																			1		623030301		2303						
6230401	2	1																			3	4112606,6230402,6230403	623040101		2304						
6230402	2	1																			1	7192501	623040201		2304						
6230403	2	1																			1		623040301		2304						
6230901	2	1																			3	2102177,6230902,6230903	623090101		2309						
6230902	2	1																			1		623090201		2309						
6230903	2	1																			1		623090301		2309						
6220601	2	1																			3	6220602,6220603	622060101		2206						
6220602	2	1																			1		622060201		2206						
6220603	2	1																			1		622060301		2206						
6220604		1																				6220605,6220606	622060401		2206						
6220605		1																					622060501		2206						
6220606		1																					622060601		2206						
6220701	2	1																			3	6220702,6220703	622070101		2207						
6220702	2	1																			1	6220704,7192901	622070201		2207						
6220703	2	1																			1		622070301		2207						
6220704	2	1																			1		622070203		2207						
6221101	2	1																			3	6221102,6221103	622110101		2211						
6221102	2	1																			1	7193101	622110201		2211						
6221103	2	1																			1		622110301		2211						
6220801	2	1	2	41	100317	1		1	100317	2											3	6220807,6220802,6220803,6220804	622080101		2208						
6220802	2	1																			1		622080201		2208						
6220803	2	1																			1		622080301		2208						
6220804	2	1																			1		622080401		2208						
6220805	2	1		1	100317	3															3	6220807,6220806,6220803,6220804	622080501		2208						
6220806	2	1		1	100317	3															1		622080601		2208						
6220807	2	1																			1		622080701		2208						
6221001	2	1																			3	6221002,6221003	622100101		2210						
6221002	2	1																			1		622100201		2210						
6221003	2	1																			1		622100301		2210						
6220901	2	1																			3	6220902,6220903	622090101		2209						
6220902	2	1																			1	6220904	622090201		2209						
6220903	2	1																			1		622090301		2209						
6220904	2	1																			1	6220905,7193201	622090203		2209						
6220905	2	1																			1		622090206		2209						
6201501	2	1		21	1																3		620150101		2015						
6201502	2	1		21	0																3	6201503,6201504	620150201		2015						
6201503	2	1		21	0																1		620150301		2015						
6201504	2	1		21	0																1		620150401		2015						
6201505	2	1		21	0																1		620150501		2015						
6200101	2	1		21	1																3		620150101		2001						
6200201	2	1																			3	6200202,6200206,6200203	620020101		2002						
6200202	2	1																			1	6200204,6200205	620020201		2002						
6200203	2	1																			1		620020301		2002						
6200204	2	1																			1	7090101	620020401		2002						
6200205	2	1																			1		620020501		2002						
6200206	2	1																			1		620020601		2002						
6200501	2	1																			3	6200502,6200504,6200503	620050101		2005						
6200502	2	1																			1		620050201		2005						
6200503	2	1																			1		620050301		2005						
6200504	2	1		1	100008	3															1		620050401		2005						
6201601	2	1																			3	6201602,6201610,6201603	620160101		2016						
6201602	2	1																			1		620160201		2016						
6201603	2	1																			1		620160301		2016						
6201604	2	1		44	10005	1															4	6201605,6201609	620160401		2016						
6201605	2	1		44	10005	1															1	6201606	620160501		2016						
6201606	2	1		44	10005	1															1	6201607,6201608	620160601		2016						
6201607	2	1		44	10005	1															1	7190301	620160701		2016						
6201608	2	1		44	10005	1															1		620160801		2016						
6201609	2	1		44	10005	1															1		620160901		2016						
6201610	2	1																			1		620161001		2016						
6201701	2	1																			3	6201702,6201703	620170101		2017						
6201702	2	1																			1		620170201		2017						
6201703	2	1																			1		620170301		2017						
6200801	2	1		21	1																3		620080101		2008						
6200802	2	1		21	0																3	6200803,6200804	620080201		2008						
6200803	2	1		21	0																1		620080301		2008						
6200804	2	1		21	0																1		620080401		2008						
6205301	2	1		21	1																3		620080101		2053						
6202101	2	1		21	1																3		620210101		2021						
6202102	2	1		21	0																3		620210201		2021						
6202103	2	1		21	0																1		620210301		2021						
6202104	2	1		21	0																1		620210401		2021						
6206001	2	1		21	1																3		620210101		2060						
6202001	2	1																			3	6202002,6202003,6202004,6202005	620200101		2020						
6202002	2	1		10	1009	1															1		620200201		2020						
6202003	2	1																			1		620200301		2020						
6202004	2	1																			1		620200401		2020						
6202005	2	1																			1		620200501		2020						
6202201	2	1																			3	6202202,6202203,6202204	620220101		2022						
6202202	2	1																			1		620220201		2022						
6202203	2	1																			1		620220301		2022						
6202204	2	1																			1		620220401		2022						
6202301	2	1		21	1																3	7227101,7227102,7101602,7101603,7100508,7100509,6202309,6202302,6202304,6202303	620230101		2023						
6202302	2	1		21	1																1		620230201		2023						
6202303	2	1		21	1																1		620230301		2023						
6202304	2	1		21	1																1		620230401		2023						
6202309	2	1	1	21	1			1	100008	3											1		620230901		2023						
6202305	2	1		21	0																3	7227101,7227102,7101602,7101603,7100508,7100509,6202308,6202306,6202307	620230501		2023						
6202306	2	1		21	0																1	7191401	620230601		2023						
6202307	2	1		21	0																1		620230701		2023						
6202308	2	1		21	0																1		620230801		2023						
6209101	2	1																			3	6209102,6209103	620910101		2091						
6209102	2	1																			1		620910201		2091						
6209103	2	1																			1		620910301		2091						
6209104	2	1																			1	6209105,6209106	620910401		2091						
6209105	2	1																			1		620910501		2091						
6209106	2	1																			1		620910601		2091						
6201201	2	1																			3	6201202,6201203	620120101		2012						
6201202	2	1																			1		620120201		2012						
6201203	2	1																			1		620120301		2012						
6201301	2	1																			3	7100507,7100503,1200204,6201302,6201303,6201304	620130101		2013						
6201302	2	1																			1		620130201		2013						
6201303	2	1																			1	6201306,7191601	620130301		2013						
6201306	2	1																			1		620130601		2013						
6201304	2	1																			1		620130401		2013						
6201305	2	1		1	101610	3															4	7100507,7100503,1200204,6201302,6201307,6201303,6201304	620130501		2013						
6201307	2	1		44	10007	1															1		620130701		2013						
6202601	2	1		1	99902	3															3	6202602,6202603	620260101		2026						
6202602	2	1		1	99902	3															1		620260201		2026						
6202603	2	1		1	99902	3															1		620260301		2026						
6202604	2	1		1	99902	3															3	6202605,6202606	620260401		2026						
6202605	2	1		1	99902	3															1		620260501		2026						
6202606	2	1		1	99902	3															1		620260601		2026						
6202701	2	1																			3		620270101		2027						
6202801	2	1																			3		620270101		2028						
6202702	2	1		1	1120212	3															4		620270201		2027						
6202802	2	1		1	1120212	3															4		620270201		2028						
6202901	2	1		21	1																3	6202907,6202902,6202903	620290101		2029						
6202902	2	1		21	1																1		620290201		2029						
6202903	2	1		21	1																1		620290301		2029						
6202907	2	1	1	21	1			44	10007	1											1		620290701		2029						
6202904	2	1		21	0																3	6202905,6202906	620290401		2029						
6202905	2	1		21	0																1		620290501		2029						
6202906	2	1		21	0																1		620290601		2029						
6202908	2	1	1	21	1			44	20014	1											4	6202907,6202909,6202903	620290801		2029						
6202909	2	1		21	1																1	6202910,6202911,6202912	620290901		2029						
6202910	2	1		21	1																1		620291001		2029						
6202911	2	1		21	1																1		620290209		2029						
6202912	2	1		21	1																1		620290214		2029						
6201401	2	1																			3	6201404,6201402,6201403	620140101		2014						
6201402	2	1																			1		620140201		2014						
6201403	2	1																			1		620140301		2014						
6201404	2	1		1	100008	3															1		620140401		2014						
6206201	2	1																			3		620620101		2062						
6162601	2	1																			3		620620101		1626						
6162701	2	1																			3	7181104,7181109,6162702,6162703,6162704	616270101		1627						
6162702	2	1																			1		616270201		1627						
6162703	2	1																			1		616270301		1627						
6162704	2	1																			1		616270401		1627						
6207301	2	1																			3	6207302,6207303,6207304	620730101		2073						
6207302	2	1																			1		620730201		2073						
6207303	2	1																			1		620730301		2073						
6207304	2	1																			1		620730401		2073						
6207305	2	1		1	1200309	3															4	6207306,6207303,6207304	620730501		2073						
6207306	2	1		1	1200309	3															1		620730601		2073						
6208401	2	1																			3	6208402,6208403	620840101		2084						
6208402	2	1																			1		620840201		2084						
6208403	2	1																			1		620840301		2084						
6205401	2	1																			3	6205405,6205406,6205402,6205403,6205404	620540101		2054						
6205402	2	1																			1		620540201		2054						
6205403	2	1																			1	7191201	620540301		2054						
6205404	2	1																			1		620540401		2054						
6205405	2	1																			1		620540501		2054						
6205406	2	1		44	10007	1															1		620540601		2054						
6204401	2	1																			3	6204405,6204402,6204403,6204404	620440101		2044						
6204402	2	1																			1	7190501	620440201		2044						
6204403	2	1		1	100008	3															1		620440301		2044						
6204404	2	1																			1		620440401		2044						
6204405	2	1																			1		620440501		2044						
6203301	2	1																			3	6203305,6203302,6203303,6203304	620330101		2033						
6203302	2	1																			1	7190201	620330201		2033						
6203303	2	1		1	100008	3															1		620330301		2033						
6203304	2	1																			1		620330401		2033						
6203305	2	1																			1		620330501		2033						
6208301	2	1																			3	6208302,6208303	620830101		2083						
6208302	2	1																			1		620830201		2083						
6208303	2	1																			1		620830301		2083						
6208304	2	1		44	10005	1															4	6208302,6208303	620830401		2083						
6203601	2	1		21	1																3	6203602,6203603,6203604	620360101		2036						
6203602	2	1		21	1																1		620360201		2036						
6203603	2	1	1	21	1			1	100008	3											1		620360301		2036						
6203604	2	1		21	1																1		620360401		2036						
6203605	2	1		21	0																3	6203606,6203607	620360501		2036						
6203606	2	1		21	0																1		620360601		2036						
6203607	2	1		21	0																1		620360701		2036						
6207601	2	1		21	1																3	6207602,6207603,6207604	620760101		2076						
6207602	2	1																			1		620760201		2076						
6207603	2	1		1	100008	3															1		620760301		2076						
6207604	2	1																			1		620760401		2076						
6207605	2	1		21	0																3		620370101		2076						
6205501	2	1		21	1																3	6205508,6205503,6205502,6205504	620550101		2055						
6205502	2	1		21	1																1		620550201		2055						
6205503	2	1	1	21	1			1	100008	3		44	10007	0							1		620550301		2055						
6205504	2	1		21	1																1		620550401		2055						
6205508	2	1		21	1			44	10007	1											1		620550801		2055						
6205505	2	1		21	0																3	6205506,6205507	620550501		2055						
6205506	2	1		21	0																1		620550601		2055						
6205507	2	1		21	0																1		620550701		2055						
6207401	2	1		44	2100001	0															3		620740101		2074						
6203001	2	1		44	2100001	0															3		620740101		2030						
6203101	2	1		44	2100001	0															3		620740101		2031						
6200301	2	1																			3	6200302,6200303,6200304	620030101		2003						
6200302	2	1																			1	7190101	620030201		2003						
6200303	2	1																			1		620030301		2003						
6200304	2	1																			1		620030401		2003						
6200305	2	1		44	20014	1															4	6200306,6200307,6200309,6200308	620030501		2003						
6200306	2	1																			1	7195301	620030601		2003						
6200307	2	1																			1		620030701		2003						
6200308	2	1																			1		620030801		2003						
6207701	2	1		44	72802	0															3	6207702,6207703,6207704	620770101		2077						
6207702	2	1		44	72802	0															1	6207705	620770201		2077						
6207703	2	1		44	72802	0															1		620770301		2077						
6207704	2	1		44	72802	0															1		620770401		2077						
6207705	2	1		44	72802	0															1	7192101	620770204		2077						
6200401	2	1		21	1																3	6200403,6200409,6200402,6200404	620040101		2004						
6200402	2	1		21	1																1		620040201		2004						
6200403	2	1	1	21	1			1	100008	3		44	10007	0							1		620040301		2004						
6200404	2	1		21	1																1		620040401		2004						
6200409	2	1		21	1			44	10007	1											1		620040901		2004						
6200405	2	1		21	0																3	6200406,6200407,6200408	620040501		2004						
6200406	2	1		21	0																1		620040601		2004						
6200407	2	1		21	0																1		620040701		2004						
6200408	2	1		21	0																1		620040801		2004						
6204001	2	1																			3		620400101		2040						
6207901	2	1																			3		620400101		2079						
6200601	2	1																			3	6200602,6200603,6200604	620060101		2006						
6200602	2	1																			1		620060201		2006						
6200603	2	1																			1		620060301		2006						
6200604	2	1																			1		620060401		2006						
6209201	2	1																			3	6209205,6209202,6209204,6209203	620920101		2092						
6209202	2	1																			1		620920201		2092						
6209203	2	1																			1		620920301		2092						
6209204	2	1																			1		620920401		2092						
6209205	2	1																			1		620920501		2092						
6201801	2	1		21	1																3		620180101		2018						
6200701	2	1		21	1																3	7171401	620180101		2007						
6200705	2	1		21	0																3	7171401,6200706,6200707,6200708	620070501		2007						
6200706	2	1		21	0																1		620070601		2007						
6200707	2	1	1	21	0			1	100008	3											1		620070701		2007						
6200708	2	1		21	0																1		620070801		2007						
6200901	2	1		21	1																3	6200902,6200903,6200904	620090101		2009						
6200902	2	1		21	1																1		620090201		2009						
6200903	2	1		21	1																1		620090301		2009						
6200904	2	1		21	1																1		620090401		2009						
6200905	2	1		21	0																3	6200906,6200907	620090501		2009						
6200906	2	1		21	0																1		620090601		2009						
6200907	2	1		21	0																1		620090701		2009						
6201001	2	1																			3	6201002,6201003	620100101		2010						
6201002	2	1																			1	7191301	620100201		2010						
6201003	2	1																			1		620100301		2010						
6201004	2	1																			3	6201005,6201006	620100401		2010						
6201005	2	1																			1		620100501		2010						
6201006	2	1																			1		620100601		2010						
6201007	2	1																			3	6201008,6201009	620100701		2010						
6201008	2	1																			1		620100801		2010						
6201009	2	1																			1		620100901		2010						
6201010	2	1																			3	6201011,6201012	620101001		2010						
6201011	2	1																			1		620101101		2010						
6201012	2	1																			1		620101201		2010						
6201013	2	1																			3	6201014,6201015	620101301		2010						
6201014	2	1																			1		620101401		2010						
6201015	2	1																			1		620101501		2010						
6201101	2	1		21	1																3	6201109,6201103,6201102,6201104	620110101		2011						
6201102	2	1		21	1																1		620110201		2011						
6201103	2	1	1	21	1			1	100008	3		44	10007	0							1		620110301		2011						
6201104	2	1		21	1																1		620110401		2011						
6201109	2	1		21	1			44	10007	1											1		620110901		2011						
6201105	2	1		21	0																3	6201106,6201107,6201110,6201108	620110501		2011						
6201106	2	1		21	0																1		620110601		2011						
6201107	2	1		21	0																1		620110701		2011						
6201108	2	1		21	0																1		620110801		2011						
6202501	2	1																			3	7170001,6202502,6202503	620250101		2025						
6202502	2	1																			1		620250201		2025						
6202503	2	1																			1		620250301		2025						
6209301	2	1																			3	6209302,6209303,6209304	620930101		2093						
6209302	2	1																			1		620930201		2093						
6209303	2	1																			1	6209306,7191801	620930301		2093						
6209306	2	1																			1		620930601		2093						
6209304	2	1																			1		620930401		2093						
6209305	2	1		44	10005	1															4	6209302,6209303,6209304	620930501		2093						
6209001	2	1																			3	1200205,6209002,6209007,6209004,6209003,6209006,6209005	620900101		2090						
6209002	2	1		10	1008	1															1		620900201		2090						
6209003	2	1																			1		620900301		2090						
6209004	2	1	1	1	100008	3		44	10007	0											1		620900401		2090						
6209005	2	1																			1		620900501		2090						
6209006	2	1																			1		620900601		2090						
6209007	2	1		44	10007	1															1		620900701		2090						
6207201	2	1																			3	1200206,6207202,6207203,6207204	620720101		2072						
6207202	2	1																			1		620720201		2072						
6207203	2	1																			1	7192201	620720301		2072						
6207204	2	1																			1		620720401		2072						
6242801	2	1																			3	6242802,6242803	624280101		2428						
6242802	2	1																			1		624280201		2428						
6242803	2	1																			1		624280301		2428						
6242901	2	1																			3	6242902,6242906,6242903	624290101		2429						
6242902	2	1																			1		624290201		2429						
6242903	2	1																			1		624290301		2429						
6242904	2	1	2	1	2100330	3		1	2100331	3		1	2100399	3							4	6242902,6242905,6242906,6242903	624290401		2429						
6242905	2	1	2	1	2100330	3		1	2100331	3		1	2100399	3							1		624290501		2429						
6242906	2	1																			1		624290601		2429						
6242401	2	1																			3	6242402,6242403	624240101		2424						
6242402	2	1																			1		624240201		2424						
6242403	2	1																			1		624240301		2424						
6242501	2	1																			3	6242502,6242503,6242504	624250101		2425						
6242502	2	1																			1		624250201		2425						
6242503	2	1																			1	7193901	624250301		2425						
6242504	2	1																			1		624250401		2425						
6243101	2	1																			3	8243101,6243102,6243103	624310101		2431						
6243102	2	1																			1	7194801	624310201		2431						
6243103	2	1																			1		624310301		2431						
8243101	2	1		10	1405	1															2	8243102;8243103;8243104;8243105;8243106;8243107;8243108;8243109;8243110;8243111;8243112;8243113;8243114;8243115;8243116;8243117;8243118;8243119;8243120;8243121;8243122;8243123;8243124	824310101		2431						
8243102	2	1		39																	1		824310201		2431						
8243103	2	1		40																	1		824310301		2431						
8243104	2	1		40																	1		824310401		2431						
8243105	2	1		40																	1		824310501		2431						
8243106	2	1		40																	1		824310601		2431						
8243107	2	1		40																	1		824310701		2431						
8243108	2	1		40																	1		824310801		2431						
8243109	2	1		40																	1		824310901		2431						
8243110	2	1		40																	1		824311001		2431						
8243111	2	1		40																	1		824311101		2431						
8243112	2	1		40																	1		824311201		2431						
8243113	2	1		40																	1		824311301		2431						
8243114	2	1		40																	1		824311401		2431						
8243115	2	1		40																	1		824311501		2431						
8243116	2	1		40																	1		824311601		2431						
8243117	2	1		40																	1		824311701		2431						
8243118	2	1		40																	1		824311801		2431						
8243119	2	1		40																	1		824311901		2431						
8243120	2	1		40																	1		824312001		2431						
8243121	2	1		40																	1		824312101		2431						
8243122	2	1		40																	1		824312201		2431						
8243123	2	1		40																	1		824312301		2431						
8243124	2	1		40																	1		824312401		2431						
6243201	2	1																			3	6243202,6243203	624320101		2432						
6243202	2	1																			1		624320201		2432						
6243203	2	1																			1		624320301		2432						
6209401	2	1																			3	6209405,6209403,6209402,6209404	620940101		2094						
6209402	2	1																			1		620940201		2094						
6209403	2	1	1	1	100008	3		44	10007	0											1		620940301		2094						
6209404	2	1																			1		620940401		2094						
6209405	2	1		44	10007	1															1		620940501		2094						
6207801	2	1																			3	2211102,2010136,2010137,2010138,6207804,6207805,2010141,2010142,6207802,6207803	620780101		2078						
6207802	2	1																			1		620780201		2078						
6207803	2	1																			1		620780301		2078						
6207804				14	0																2		620780401		2078						
6207805				14	1																2		620780501		2078						
6204801	2																				3	7171301,6204806,6204807,8204801,6204802,6204804,6204805	620480101		2048						
6204802	2			10	1003	1															1		620480201		2048						
6204803	2																				1		620480301		2048						
6204804	2																				1		620480401		2048						
6204805	2																				1		620480501		2048						
6204806	2		1	10	37	1		27	0												1		620480601		2048						
6204807	2		1	10	37	1		27	1												1		620480701		2048						
8204801	2			10	1405	1															2	8204802;8204803;8204804	820480101		2048						
8204802	2			39																	1		820480201		2048						
8204803	2			40																	1		820480301		2048						
8204804	2			40																	1		820480401		2048						
6231001	2	1																			3	2102133,6231005,6231002,6231003,6231006,6231004	623100101		2310						
6231002	2	1																			1		623100201		2310						
6231003	2	1	2	2	7109911	3		41	7109911	1											1		623100301		2310						
6231004	2	1																			1		623100401		2310						
6231005	2	1																			1		623100501		2310						
6162801	2	1		46	71037	4															3	8162801,6162802,6162803	616280101		1628						
6162802	2	1		46	71037	4															1		616280201		1628						
6162803	2	1		46	71037	4															1		616280301		1628						
8162801	2	1		10	1405	1															2	8162802;8162803;8162804;8162805;8162806;8162807;8162808;8162809;8162810;8162811;8162812	816280101		1628						
8162802	2	1		39																	1		816280201		1628						
8162803	2	1		40																	1		816280301		1628						
8162804	2	1		40																	1		816280401		1628						
8162805	2	1		40																	1		816280501		1628						
8162806	2	1		40																	1		816280601		1628						
8162807	2	1		40																	1		816280701		1628						
8162808	2	1		40																	1		816280801		1628						
8162809	2	1		40																	1		816280901		1628						
8162810	2	1		40																	1		816281001		1628						
8162811	2	1		40																	1		816281101		1628						
8162812	2	1		40																	1		816281201		1628						
6204101	2	1																			3	6204104,6204102,6204103	620410101		2041						
6204102	2	1																			1		620410201		2041						
6204103	2	1																			1		620410301		2041						
6204104	2	1		44	10007	1															1		620410401		2041						
6204201	2	1																			3	6204202,6204203	620420101		2042						
6204202	2	1																			1		620420201		2042						
6204203	2	1																			1		620420301		2042						
6205001	2	1																			3	6205002,6205003	620500101		2050						
6205002	2	1																			1		620500201		2050						
