角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	冒险等级要求
50	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
50	1		20000	104111	1	0	0	101209	3	112035	3	40	1	647.096832	7	47.025	4	12.63861	6	0	15
50	2		40000	104112	3	113024	2	101209	10	112035	15	50	1	1106.87616	7	80.4375	4	21.618675	6	0.06	25
50	3		60000	104112	6	113024	4	101209	20	112036	12	60	1	1719.915264	7	124.9875	4	33.592095	6	0.12	30
50	4		80000	104113	3	113024	8	101209	30	112036	18	70	1	2179.694592	7	158.4	4	42.57216	6	0.12	35
50	5		100000	104113	6	113024	12	101209	45	112037	12	80	1	2639.47392	7	191.8125	4	51.552225	6	0.18	40
50	6		120000	104114	6	113024	20	101209	60	112037	24	90	1	3099.253248	7	225.225	4	60.53229	6	0.24	50
51	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
51	1		20000	104161	1	0	0	100057	3	112005	3	40	1	882.776556	7	50.1201	4	22.828234	22	0	15
51	2		40000	104162	3	113020	2	100057	10	112005	15	50	1	1510.01253	7	85.73175	4	39.048295	22	0.096	25
51	3		60000	104162	6	113020	4	100057	20	112006	12	60	1	2346.327162	7	133.21395	4	60.675043	22	0.192	30
51	4		80000	104163	3	113020	8	100057	30	112006	18	70	1	2973.563136	7	168.8256	4	76.895104	22	0.192	35
51	5		100000	104163	6	113020	12	100057	45	112007	12	80	1	3600.79911	7	204.43725	4	93.115165	22	0.288	40
51	6		120000	104164	6	113020	20	100057	60	112007	24	90	1	4228.035084	7	240.0489	4	109.335226	22	0.384	50
52	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
52	1		20000	104141	1	0	0	101208	3	112044	3	40	1	861.524528	7	52.6851	4	22.508958	23	0	15
52	2		40000	104142	3	113029	2	101208	10	112044	15	50	1	1473.660377	7	90.11925	4	38.502165	23	0.08	25
52	3		60000	104142	6	113029	4	101208	20	112045	12	60	1	2289.841508	7	140.03145	4	59.826441	23	0.16	30
52	4		80000	104143	3	113029	8	101208	30	112045	18	70	1	2901.977357	7	177.4656	4	75.819648	23	0.16	35
52	5		100000	104143	6	113029	12	101208	45	112046	12	80	1	3514.113206	7	214.89975	4	91.812855	23	0.24	40
52	6		120000	104144	6	113029	20	101208	60	112046	24	90	1	4126.249054	7	252.3339	4	107.806062	23	0.32	50
53	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
53	1		20000	104151	1	0	0	101203	3	112038	3	40	1	742.45847	7	46.64025	4	15.29937	28	0	15
53	2		40000	104152	3	113022	2	101203	10	112038	15	50	1	1269.994752	7	79.779375	4	26.169975	28	24	25
53	3		60000	104152	6	113022	4	101203	20	112039	12	60	1	1973.376461	7	123.964875	4	40.664115	28	48	30
53	4		80000	104153	3	113022	8	101203	30	112039	18	70	1	2500.912742	7	157.104	4	51.53472	28	48	35
53	5		100000	104153	6	113022	12	101203	45	112040	12	80	1	3028.449024	7	190.243125	4	62.405325	28	72	40
53	6		120000	104154	6	113022	20	101203	60	112040	24	90	1	3555.985306	7	223.38225	4	73.27593	28	96	50
54	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	42	0	0
54	1		20000	104121	1	0	0	101207	3	112053	3	40	1	899.12427	7	43.8615	4	15.644524	42	0	15
54	2		40000	104122	3	113028	2	101207	10	112053	15	50	1	1537.975725	7	75.02625	4	26.76037	42	0.072	25
54	3		60000	104122	6	113028	4	101207	20	112054	12	60	1	2389.777665	7	116.57925	4	41.581498	42	0.144	30
54	4		80000	104123	3	113028	8	101207	30	112054	18	70	1	3028.62912	7	147.744	4	52.697344	42	0.144	35
54	5		100000	104123	6	113028	12	101207	45	112055	12	80	1	3667.480575	7	178.90875	4	63.81319	42	0.216	40
54	6		120000	104124	6	113028	20	101207	60	112055	24	90	1	4306.33203	7	210.0735	4	74.929036	42	0.288	50
55	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
55	1		20000	104171	1	0	0	101207	3	112053	3	40	1	599.416013	7	40.6125	4	11.441268	45	0	15
55	2		40000	104172	3	113023	2	101207	10	112053	15	50	1	1025.316864	7	69.46875	4	19.57059	45	0.06	25
55	3		60000	104172	6	113023	4	101207	20	112054	12	60	1	1593.184666	7	107.94375	4	30.409686	45	0.12	30
55	4		80000	104173	3	113023	8	101207	30	112054	18	70	1	2019.085517	7	136.8	4	38.539008	45	0.12	35
55	5		100000	104173	6	113023	12	101207	45	112055	12	80	1	2444.986368	7	165.65625	4	46.66833	45	0.18	40
55	6		120000	104174	6	113023	20	101207	60	112055	24	90	1	2870.887219	7	194.5125	4	54.797652	45	0.24	50
56	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
56	1		20000	104141	1	0	0	101204	3	112005	3	40	1	599.416013	7	39.33	4	12.239496	6	0	15
56	2		40000	104142	3	113029	2	101204	10	112005	15	50	1	1025.316864	7	67.275	4	20.93598	6	0.06	25
56	3		60000	104142	6	113029	4	101204	20	112006	12	60	1	1593.184666	7	104.535	4	32.531292	6	0.12	30
56	4		80000	104143	3	113029	8	101204	30	112006	18	70	1	2019.085517	7	132.48	4	41.227776	6	0.12	35
56	5		100000	104143	6	113029	12	101204	45	112007	12	80	1	2444.986368	7	160.425	4	49.92426	6	0.18	40
56	6		120000	104144	6	113029	20	101204	60	112007	24	90	1	2870.887219	7	188.37	4	58.620744	6	0.24	50
57	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
57	1		20000	104171	1	0	0	101201	3	112002	3	40	1	858.254985	7	64.0224	4	15.16561	20	0	15
57	2		40000	104172	3	113030	2	101201	10	112002	15	50	1	1468.067738	7	109.512	4	25.941175	20	0.048	25
57	3		60000	104172	6	113030	4	101201	20	112003	12	60	1	2281.151408	7	170.1648	4	40.308595	20	0.096	30
57	4		80000	104173	3	113030	8	101201	30	112003	18	70	1	2890.96416	7	215.6544	4	51.08416	20	0.096	35
57	5		100000	104173	6	113030	12	101201	45	112004	12	80	1	3500.776912	7	261.144	4	61.859725	20	0.144	40
57	6		120000	104174	6	113030	20	101201	60	112004	24	90	1	4110.589665	7	306.6336	4	72.63529	20	0.192	50
58	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
58	1		20000	104141	1	0	0	101206	3	112044	3	40	1	692.325688	7	37.962	4	22.668596	20	0	15
58	2		40000	104142	3	113031	2	101206	10	112044	15	50	1	1184.241308	7	64.935	4	38.77523	20	0.048	25
58	3		60000	104142	6	113031	4	101206	20	112045	12	60	1	1840.128802	7	100.899	4	60.250742	20	0.096	30
58	4		80000	104143	3	113031	8	101206	30	112045	18	70	1	2332.044422	7	127.872	4	76.357376	20	0.096	35
58	5		100000	104143	6	113031	12	101206	45	112046	12	80	1	2823.960043	7	154.845	4	92.46401	20	0.144	40
58	6		120000	104144	6	113031	20	101206	60	112046	24	90	1	3315.875663	7	181.818	4	108.570644	20	0.192	50
59	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	44	0	0
59	1		20000	104151	1	0	0	101201	3	112035	3	40	1	667.531469	7	42.8355	4	14.102028	44	0	15
59	2		40000	104152	3	113035	2	101201	10	112035	15	50	1	1141.830144	7	73.27125	4	24.12189	44	0.06	25
59	3		60000	104152	6	113035	4	101201	20	112036	12	60	1	1774.228378	7	113.85225	4	37.481706	44	0.12	30
59	4		80000	104153	3	113035	8	101201	30	112036	18	70	1	2248.527053	7	144.288	4	47.501568	44	0.12	35
59	5		100000	104153	6	113035	12	101201	45	112037	12	80	1	2722.825728	7	174.72375	4	57.52143	44	0.18	40
59	6		120000	104154	6	113035	20	101201	60	112037	24	90	1	3197.124403	7	205.1595	4	67.541292	44	0.24	50
60	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
60	1		20000	104121	1	0	0	100033	3	112032	3	40	1	964.515126	7	36.5769	4	16.283076	20	0	15
60	2		40000	104122	3	113035	2	100033	10	112032	15	50	1	1649.828505	7	62.56575	4	27.85263	20	0.048	25
60	3		60000	104122	6	113035	4	100033	20	112033	12	60	1	2563.579677	7	97.21755	4	43.278702	20	0.096	30
60	4		80000	104123	3	113035	8	100033	30	112033	18	70	1	3248.893056	7	123.2064	4	54.848256	20	0.096	35
60	5		100000	104123	6	113035	12	100033	45	112034	12	80	1	3934.206435	7	149.19525	4	66.41781	20	0.144	40
60	6		120000	104124	6	113035	20	100033	60	112034	24	90	1	4619.519814	7	175.1841	4	77.987364	20	0.192	50
62	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	46	0	0
62	1		20000	104161	1	0	0	101203	3	112053	3	40	1	727.473273	7	45.144	4	15.612596	46	0	15
62	2		40000	104162	3	113020	2	101203	10	112053	15	50	1	1244.362178	7	77.22	4	26.705757	46	0.072	25
62	3		60000	104162	6	113020	4	101203	20	112054	12	60	1	1933.547384	7	119.988	4	41.496638	46	0.144	30
62	4		80000	104163	3	113020	8	101203	30	112054	18	70	1	2450.436288	7	152.064	4	52.589798	46	0.144	35
62	5		100000	104163	6	113020	12	101203	45	112055	12	80	1	2967.325192	7	184.14	4	63.682959	46	0.216	40
62	6		120000	104164	6	113020	20	101203	60	112055	24	90	1	3484.214097	7	216.216	4	74.77612	46	0.288	50
63	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
63	1		20000	104161	1	0	0	100031	3	112038	3	40	1	867.246228	7	55.404	4	20.274026	6	0	15
63	2		40000	104162	3	113031	2	100031	10	112038	15	50	1	1483.447495	7	94.77	4	34.679255	6	0.072	25
63	3		60000	104162	6	113031	4	100031	20	112039	12	60	1	2305.049184	7	147.258	4	53.886227	6	0.144	30
63	4		80000	104163	3	113031	8	100031	30	112039	18	70	1	2921.250451	7	186.624	4	68.291456	6	0.144	35
63	5		100000	104163	6	113031	12	100031	45	112040	12	80	1	3537.451718	7	225.99	4	82.696685	6	0.216	40
63	6		120000	104164	6	113031	20	100031	60	112040	24	90	1	4153.652985	7	265.356	4	97.101914	6	0.288	50
64	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
64	1		20000	104171	1	0	0	100030	3	112005	3	40	1	667.531469	7	45.999	4	11.97342	23	0	15
64	2		40000	104172	3	113030	2	100030	10	112005	15	50	1	1141.830144	7	78.6825	4	20.48085	23	0.0667	25
64	3		60000	104172	6	113030	4	100030	20	112006	12	60	1	1774.228378	7	122.2605	4	31.82409	23	0.1333	30
64	4		80000	104173	3	113030	8	100030	30	112006	18	70	1	2248.527053	7	154.944	4	40.33152	23	0.1333	35
64	5		100000	104173	6	113030	12	100030	45	112007	12	80	1	2722.825728	7	187.6275	4	48.83895	23	0.2	40
64	6		120000	104174	6	113030	20	100030	60	112007	24	90	1	3197.124403	7	220.311	4	57.34638	23	0.2667	50
65	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
65	1		20000	104141	1	0	0	101205	3	112053	3	40	1	769.704653	7	47.025	4	13.3038	3	0	15
65	2		40000	104142	3	113035	2	101205	10	112053	15	50	1	1316.600064	7	80.4375	4	22.7565	3	0.06	25
65	3		60000	104142	6	113035	4	101205	20	112054	12	60	1	2045.793946	7	124.9875	4	35.3601	3	0.12	30
65	4		80000	104143	3	113035	8	101205	30	112054	18	70	1	2592.689357	7	158.4	4	44.8128	3	0.12	35
65	5		100000	104143	6	113035	12	101205	45	112055	12	80	1	3139.584768	7	191.8125	4	54.2655	3	0.18	40
65	6		120000	104144	6	113035	20	101205	60	112055	24	90	1	3686.480179	7	225.225	4	63.7182	3	0.24	50
66	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
66	1		20000	104121	1	0	0	101202	3	112044	3	40	1	915.471984	7	51.3	4	19.95475	22	0	15
66	2		40000	104122	3	113028	2	101202	10	112044	15	50	1	1565.93892	7	87.75	4	34.133125	22	0.096	25
66	3		60000	104122	6	113028	4	101202	20	112045	12	60	1	2433.228168	7	136.35	4	53.037625	22	0.192	30
66	4		80000	104123	3	113028	8	101202	30	112045	18	70	1	3083.695104	7	172.8	4	67.216	22	0.192	35
66	5		100000	104123	6	113028	12	101202	45	112046	12	80	1	3734.16204	7	209.25	4	81.394375	22	0.288	40
66	6		120000	104124	6	113028	20	101202	60	112046	24	90	1	4384.628976	7	245.7	4	95.57275	22	0.384	50
67	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
67	1		20000	104131	1	0	0	101213	3	112011	3	40	1	613.039104	7	37.62	4	12.505572	6	0	15
67	2		40000	104132	3	113036	2	101213	10	112011	15	50	1	1048.61952	7	64.35	4	21.39111	6	0.06	25
67	3		60000	104132	6	113036	4	101213	20	112012	12	60	1	1629.393408	7	99.99	4	33.238494	6	0.12	30
67	4		80000	104133	3	113036	8	101213	30	112012	18	70	1	2064.973824	7	126.72	4	42.124032	6	0.12	35
67	5		100000	104133	6	113036	12	101213	45	112013	12	80	1	2500.55424	7	153.45	4	51.00957	6	0.18	40
67	6		120000	104134	6	113036	20	101213	60	112013	24	90	1	2936.134656	7	180.18	4	59.895108	6	0.24	50
68	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
68	1		20000	104141	1	0	0	101217	3	112065	3	40	1	776.516198	7	45.315	4	13.96899	3	0	15
68	2		40000	104142	3	113037	2	101217	10	112065	15	50	1	1328.251392	7	77.5125	4	23.894325	3	0.06	25
68	3		60000	104142	6	113037	4	101217	20	112066	12	60	1	2063.898317	7	120.4425	4	37.128105	3	0.12	30
68	4		80000	104143	3	113037	8	101217	30	112066	18	70	1	2615.63351	7	152.64	4	47.05344	3	0.12	35
68	5		100000	104143	6	113037	12	101217	45	112067	12	80	1	3167.368704	7	184.8375	4	56.978775	3	0.18	40
68	6		120000	104144	6	113037	20	101217	60	112067	24	90	1	3719.103898	7	217.035	4	66.90411	3	0.24	50
69	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	43	0	0
69	1		20000	104131	1	0	0	101215	3	112059	3	40	1	724.20373	7	42.066	4	17.879456	43	0	15
69	2		40000	104132	3	113036	2	101215	10	112059	15	50	1	1238.769538	7	71.955	4	30.58328	43	0.072	25
69	3		60000	104132	6	113036	4	101215	20	112060	12	60	1	1924.857283	7	111.807	4	47.521712	43	0.144	30
69	4		80000	104133	3	113036	8	101215	30	112060	18	70	1	2439.423091	7	141.696	4	60.225536	43	0.144	35
69	5		100000	104133	6	113036	12	101215	45	112061	12	80	1	2953.9889	7	171.585	4	72.92936	43	0.216	40
69	6		120000	104134	6	113036	20	101215	60	112061	24	90	1	3468.554708	7	201.474	4	85.633184	43	0.288	50
70	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
70	1		20000	104121	1	0	0	101214	3	112059	3	40	1	1013.558268	7	48.6324	4	15.325248	3	0	15
70	2		40000	104122	3	113038	2	101214	10	112059	15	50	1	1733.71809	7	83.187	4	26.21424	3	0.072	25
70	3		60000	104122	6	113038	4	101214	20	112060	12	60	1	2693.931186	7	129.2598	4	40.732896	3	0.144	30
70	4		80000	104123	3	113038	8	101214	30	112060	18	70	1	3414.091008	7	163.8144	4	51.621888	3	0.144	35
70	5		100000	104123	6	113038	12	101214	45	112061	12	80	1	4134.25083	7	198.369	4	62.51088	3	0.216	40
70	6		120000	104124	6	113038	20	101214	60	112061	24	90	1	4854.410652	7	232.9236	4	73.399872	3	0.288	50
71	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
71	1		20000	104141	1	0	0	101225	3	112008	3	40	1	833.733414	7	57.3534	4	21.231854	22	0	15
71	2		40000	104142	3	113037	2	101225	10	112008	15	50	1	1426.122945	7	98.1045	4	36.317645	22	0.096	25
71	3		60000	104142	6	113037	4	101225	20	112009	12	60	1	2215.975653	7	152.4393	4	56.432033	22	0.192	30
71	4		80000	104143	3	113037	8	101225	30	112009	18	70	1	2808.365184	7	193.1904	4	71.517824	22	0.192	35
71	5		100000	104143	6	113037	12	101225	45	112010	12	80	1	3400.754715	7	233.9415	4	86.603615	22	0.288	40
71	6		120000	104144	6	113037	20	101225	60	112010	24	90	1	3993.144246	7	274.6926	4	101.689406	22	0.384	50
72	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
72	1		20000	104121	1	0	0	101220	3	112065	3	40	1	681.15456	7	42.75	4	13.3038	3	0	15
72	2		40000	104122	3	113039	2	101220	10	112065	15	50	1	1165.1328	7	73.125	4	22.7565	3	0.06	25
72	3		60000	104122	6	113039	4	101220	20	112066	12	60	1	1810.43712	7	113.625	4	35.3601	3	0.12	30
72	4		80000	104123	3	113039	8	101220	30	112066	18	70	1	2294.41536	7	144	4	44.8128	3	0.12	35
72	5		100000	104123	6	113039	12	101220	45	112067	12	80	1	2778.3936	7	174.375	4	54.2655	3	0.18	40
72	6		120000	104124	6	113039	20	101220	60	112067	24	90	1	3262.37184	7	204.75	4	63.7182	3	0.24	50
73	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
73	1		20000	104131	1	0	0	101217	3	112059	3	40	1	691.508302	7	42.066	4	19.95475	28	0	15
73	2		40000	104132	3	113040	2	101217	10	112059	15	50	1	1182.843149	7	71.955	4	34.133125	28	28.8	25
73	3		60000	104132	6	113040	4	101217	20	112060	12	60	1	1837.956277	7	111.807	4	53.037625	28	57.6	30
73	4		80000	104133	3	113040	8	101217	30	112060	18	70	1	2329.291123	7	141.696	4	67.216	28	57.6	35
73	5		100000	104133	6	113040	12	101217	45	112061	12	80	1	2820.625969	7	171.585	4	81.394375	28	86.4	40
73	6		120000	104134	6	113040	20	101217	60	112061	24	90	1	3311.960816	7	201.474	4	95.57275	28	115.2	50
74	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
74	1		20000	104161	1	0	0	101215	3	112008	3	40	1	694.777651	7	41.04	4	13.569876	3	0	15
74	2		40000	104162	3	113038	2	101215	10	112008	15	50	1	1188.435456	7	70.2	4	23.21163	3	0.06	25
74	3		60000	104162	6	113038	4	101215	20	112009	12	60	1	1846.645862	7	109.08	4	36.067302	3	0.12	30
74	4		80000	104163	3	113038	8	101215	30	112009	18	70	1	2340.303667	7	138.24	4	45.709056	3	0.12	35
74	5		100000	104163	6	113038	12	101215	45	112010	12	80	1	2833.961472	7	167.4	4	55.35081	3	0.18	40
74	6		120000	104164	6	113038	20	101215	60	112010	24	90	1	3327.619277	7	196.56	4	64.992564	3	0.24	50
