ID,效果JSON文件,[技能费用]1类型,[技能费用]1值,[技能费用]2类型,[技能费用]2值,[技能标签列表]1,[技能标签列表]2,使用后获得充能,阻塞技能AI的卡牌ID,技能是否隐藏,隐藏横幅提示,阻塞技能AI的卡牌列表,阻塞技能AI的卡牌数量,阻塞技能AI的召唤物数,此技能不计AI技能次数,统计伤害
3122021,Effect_Fix_Water_2,,,,,,,0,,,,,,,,
3123011,Effect_Cost_Fire_1,,,,,,,0,,,,,,,,
3123021,Effect_Fix_Fire_2,,,,,,,0,,,,,,,,
3124011,Effect_Cost_Elec_1,,,,,,,0,,,,,,,,
3124021,Effect_Fix_Elec_2,,,,,,,0,,,,,,,,
3125011,Effect_Cost_Wind_1,,,,,,,0,,,,,,,,
3125021,Effect_Fix_Wind_2,,,,,,,0,,,,,,,,
3126011,Effect_Cost_Rock_1,,,,,,,0,,,,,,,,
3126021,Effect_Fix_Rock_2,,,,,,,0,,,,,,,,
3127011,Effect_Cost_Grass_1,,,,,,,0,,,,,,,,
3127021,Effect_Fix_Grass_2,,,,,,,0,,,,,,,,
3210011,Card_Support_3210011,,,,,,,0,,,,,,,,
3210021,Card_Support_3210021,,,,,,,0,,,,,,,,
3210022,Card_Support_3210022,,,,,,,0,,,,,,,,
3210031,Card_Support_3210031,,,,,,,0,,,,,,,,
3210041,Card_Support_3210041,,,,,,,0,,,,,,,,
3210051,Card_Support_3210051,,,,,,,0,,,,,,,,
3210061,Card_Support_3210061,,,,,,,0,,,,,,,,
3220011,Card_Support_3220011,,,,,,,0,,,,,,,,
3220021,Card_Support_3220021,,,,,,,0,,,,,,,,
3220031,Card_Support_3220031,,,,,,,0,,,,,,,,
3220032,Card_Support_3220032,,,,,,,0,,,,,,,,
3220041,Card_Support_3220041,,,,,,,0,,,,,,,,
3220042,Card_Support_3220042,,,,,,,0,,,,,,,,
3220051,Card_Support_3220051,,,,,,,0,,,,,,,,
3220061,Card_Support_3220061,,,,,,,0,,,,,,,,
3220071,Card_Support_3220071,,,,,,,0,,,,,,,,
3220081,Card_Support_3220081,,,,,,,0,,,,,,,,
3220082,Card_Support_3220082,,,,,,,0,,,,,,,,
3220091,Card_Support_3220091,,,,,,,0,,,,,,,,
3220101,Card_Support_3220101,,,,,,,0,,,,,,,,
3220111,Card_Support_3220111,,,,,,,0,,,,,,,,
3220121,Card_Support_3220121,,,,,,,0,,,,,,,,
3230011,Card_Support_3230011,,,,,,,0,,,,,,,,
3230021,Card_Support_3230021,,,,,,,0,,,,,,,,
3311011,Card_Event_3311011,,,,,,,0,,,,,,,,
3311021,Card_Event_3311021,,,,,,,0,,,,,,,,
3031121,Card_Event_3031121,,,,,,,0,,,,,,,,
3312011,Card_Event_3312011,,,,,,,0,,,,,,,,
3312021,Card_Event_3312021,,,,,,,0,,,,,,,,
3313011,Card_Event_3313011,,,,,,,0,,,,,,,,
3313021,Card_Event_3313021,,,,,,,0,,,,,,,,
3031321,Card_Event_3031321,,,,,,,0,,,,,,,,
3314011,Card_Event_3314011,,,,,,,0,,,,,,,,
3314021,Card_Event_3314021,,,,,,,0,,,,,,,,
3315011,Card_Event_3315011,,,,,,,0,,,,,,,,
3315021,Card_Event_3315021,,,,,,,0,,,,,,,,
3316011,Card_Event_3316011,,,,,,,0,,,,,,,,
3316021,Card_Event_3316021,,,,,,,0,,,,,,,,
3317011,Card_Event_3317011,,,,,,,0,,,,,,,,
3317021,Card_Event_3317021,,,,,,,0,,,,,,,,
3031721,Card_Event_3031721,,,,,,,0,,,,,,,,
3320011,Card_Event_3320011,,,,,,,0,,,,,,,,
3320021,Card_Event_3320021,,,,,,,0,,,,,,,,
3032021,Card_Event_3032021,,,,,,,0,,,,,,,,
3320031,Card_Event_3320031,,,,,,,0,,,,,,,,
3320041,Card_Event_3320041,,,,,,,0,,,,,,,,
3320051,Card_Event_3320051,,,,,,,0,,,,,,,,
3320061,Card_Event_3320061,,,,,,,0,,,,,,,,
3032061,Card_Event_3032061,,,,,,,0,,,,,,,,
3320071,Card_Event_3320071,,,,,,,0,,,,,,,,
3032071,Card_Event_3032071,,,,,,,0,,,,,,,,
3320081,Card_Event_3320081,,,,,,,0,,,,,,,,
3032081,Card_Event_3032081,,,,,,,0,,,,,,,,
3032091,Card_Event_3032091,,,,,,,0,,,,,,,,
3320091,Card_Event_3320091,,,,,,,0,,,,,,,,
3320101,Card_Event_3320101,,,,,,,0,,,,,,,,
3320111,Card_Event_3320111,,,,,,,0,,,,,,,,
3320121,Card_Event_3320121,,,,,,,0,,,,,,,,
3320131,Card_Event_3320131,,,,,,,0,,,,,,,,
3320141,Card_Event_3320141,,,,,,,0,,,,,,,,
3320151,Card_Event_3320151,,,,,,,0,,,,,,,,
3032152,Card_Event_3032152,,,,,,,0,,,,,,,,
3032153,Card_Event_3032153,,,,,,,0,,,,,,,,
3032154,Card_Event_3032154,,,,,,,0,,,,,,,,
3032155,Card_Event_3032155,,,,,,,0,,,,,,,,
3330011,Card_Event_3330011,,,,,,,0,,,,,,,,
3330021,Card_Event_3330021,,,,,,,0,,,,,,,,
3330031,Card_Event_3330031,,,,,,,0,,,,,,,,
3330041,Card_Event_3330041,,,,,,,0,,,,,,,,
3330051,Card_Event_3330051,,,,,,,0,,,,,,,,
3330061,Card_Event_3330061,,,,,,,0,,,,,,,,
3330071,Card_Event_3330071,,,,,,,0,,,,,,,,
3330081,Card_Event_3330081,,,,,,,0,,,,,,,,
3033011,Card_Event_3033011,,,,,,,0,,,,,,,,
3033021,Card_Event_3033021,,,,,,,0,,,,,,,,
3033031,Card_Event_3033031,,,,,,,0,,,,,,,,
3033041,Card_Event_3033041,,,,,,,0,,,,,,,,
3033051,Card_Event_3033051,,,,,,,0,,,,,,,,
3033061,Card_Event_3033061,,,,,,,0,,,,,,,,
4210011,Card_Support_4210011,,,,,,,0,,,,,,,,
4210021,Card_Support_4210021,,,,,,,0,,,,,,,,
4210031,Card_Support_4210031,,,,,,,0,,,,,,,,
4210041,Card_Support_4210041,,,,,,,0,,,,,,,,
4210051,Card_Support_4210051,,,,,,,0,,,,,,,,
4210052,Card_Support_4210052,,,,,,,0,,,,,,,,
4210061,Card_Support_4210061,,,,,,,0,,,,,,,,
4210071,Card_Support_4210071,,,,,,,0,,,,,,,,
4210081,Card_Support_4210081,,,,,,,0,,,,,,,,
4210091,Card_Support_4210091,,,,,,,0,,,,,,,,
4220011,Card_Support_4220011,,,,,,,0,,,,,,,,
4220012,Card_Support_4220012,,,,,,,0,,,,,,,,
4220021,Card_Support_4220021,,,,,,,0,,,,,,,,
4220022,Card_Support_4220022,,,,,,,0,,,,,,,,
4220041,Card_Support_4220041,,,,,,,0,,,,,,,,
4220051,Card_Support_4220051,,,,,,,0,,,,,,,,
4220052,Card_Support_4220052,,,,,,,0,,,,,,,,
4220053,Card_Support_4220053,,,,,,,0,,,,,,,,
4220071,Card_Support_4220071,,,,,,,0,,,,,,,,
4230011,Card_Support_4230011,,,,,,,0,,,,,,,,
4230021,Card_Support_4230021,,,,,,,0,,,,,,,,
4230031,Card_Support_4230031,,,,,,,0,,,,,,,,
4230041,Card_Support_4230041,,,,,,,0,,,,,,,,
